Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Kh Qd 2h,6c5c,1.000,10.86,0.15262,23.4257,0.10,0.01,99.90,0.15
Kh Qd 2h,7c6c,1.000,9.96,0.10502,17.5662,0.09,0.08,99.91,0.11
Kh Qd 2h,8c7c,1.000,10.63,0.1107,17.3621,0.09,0.15,99.91,0.11
Kh Qd 2h,9c7c,1.000,11.05,0.10536,15.8883,0.09,0.18,99.91,0.11
Kh Qd 2h,9c8c,1.000,11.41,0.11493,16.7922,0.09,0.22,99.91,0.11
Kh Qd 2h,Tc7c,1.000,12.92,0.19736,25.4643,0.11,0.48,99.89,0.20
Kh Qd 2h,Tc8c,1.000,13.28,0.20668,25.945,0.11,0.50,99.89,0.21
Kh Qd 2h,Tc9c,1.000,23.27,0.45967,32.9257,0.22,0.94,99.78,0.46
Kh Qd 2h,Jc8c,1.000,14.35,0.23934,27.7892,0.12,0.55,99.88,0.24
Kh Qd 2h,Jc9c,1.000,24.58,0.50459,34.2141,0.26,1.00,99.74,0.50
Kh Qd 2h,JcTc,1.000,38.21,2.25606,98.4081,0.34,2.08,99.66,2.26
Kh Qd 2h,JcTd,1.000,38.24,2.2738,99.0926,0.32,2.33,99.68,2.27
Kh Qd 2h,JcTh,1.000,40.79,2.62884,107.404,0.37,2.58,99.63,2.63
Kh Qd 2h,JcTs,1.000,38.18,2.25409,98.3945,0.34,2.41,99.66,2.25
Kh Qd 2h,Qc6c,1.000,57.17,2.07535,60.4979,0.19,1.75,99.81,2.08
Kh Qd 2h,Qc7c,1.000,57.09,2.05497,59.995,0.19,1.72,99.81,2.06
Kh Qd 2h,Qc8c,1.000,56.92,1.99493,58.4105,0.19,1.81,99.81,2.00
Kh Qd 2h,Qc9c,1.000,57.20,1.86704,54.404,0.19,1.94,99.81,1.87
Kh Qd 2h,QcTc,1.000,59.26,1.99415,56.0839,0.19,1.92,99.81,1.99
Kh Qd 2h,QcJc,1.000,61.15,2.30343,62.7839,0.18,2.16,99.82,2.30
Kh Qd 2h,QcTd,1.000,59.35,2.02044,56.7334,0.19,1.94,99.81,2.02
Kh Qd 2h,QcJd,1.000,61.23,2.33173,63.4668,0.18,2.16,99.82,2.33
Kh Qd 2h,QcTh,1.000,61.60,2.44703,66.2125,0.18,1.70,99.82,2.45
Kh Qd 2h,QcJh,1.000,63.66,2.86181,74.9262,0.17,2.02,99.83,2.86
Kh Qd 2h,QcTs,1.000,59.28,1.99192,56.0001,0.19,1.92,99.81,1.99
Kh Qd 2h,QcJs,1.000,61.15,2.3034,62.7832,0.18,2.16,99.82,2.30
Kh Qd 2h,Kc2c,1.000,78.31,7.83773,166.809,0.65,7.06,99.35,7.84
Kh Qd 2h,Kc3c,1.000,65.75,3.50459,88.8338,0.22,2.94,99.78,3.51
Kh Qd 2h,Kc4c,1.000,65.75,3.50344,88.8046,0.22,2.95,99.78,3.50
Kh Qd 2h,Kc5c,1.000,65.75,3.50439,88.8288,0.22,2.94,99.78,3.51
Kh Qd 2h,Kc6c,1.000,65.73,3.48593,88.3892,0.23,2.79,99.77,3.49
Kh Qd 2h,Kc7c,1.000,65.66,3.4684,88.0357,0.24,2.74,99.76,3.47
Kh Qd 2h,Kc8c,1.000,65.54,3.36793,85.6491,0.25,2.66,99.75,3.37
Kh Qd 2h,Kc9c,1.000,66.05,3.34578,84.4213,0.24,2.87,99.76,3.35
Kh Qd 2h,KcTc,1.000,68.41,3.78344,92.1813,0.23,3.12,99.77,3.78
Kh Qd 2h,KcJc,1.000,70.45,4.33806,102.628,0.26,3.50,99.74,4.34
Kh Qd 2h,KcQc,1.000,82.97,9.66609,194.165,1.20,8.97,98.80,9.67
Kh Qd 2h,Kc8d,1.000,65.64,3.39722,86.2581,0.24,2.65,99.76,3.40
Kh Qd 2h,Kc9d,1.000,66.25,3.38607,85.1843,0.23,2.87,99.77,3.39
Kh Qd 2h,KcTd,1.000,68.60,3.83068,93.0663,0.22,3.15,99.78,3.83
Kh Qd 2h,KcJd,1.000,70.54,4.37435,103.352,0.25,3.50,99.75,4.38
Kh Qd 2h,Kc8h,1.000,67.82,3.85537,94.7499,0.25,3.03,99.75,3.86
Kh Qd 2h,Kc9h,1.000,68.39,3.81615,92.9977,0.26,3.00,99.74,3.82
Kh Qd 2h,KcTh,1.000,70.81,4.31661,101.594,0.26,3.30,99.74,4.32
Kh Qd 2h,KcJh,1.000,72.90,4.924,112.577,0.31,3.80,99.69,4.93
Kh Qd 2h,KcQh,1.000,85.04,10.0979,197.913,1.29,9.16,98.71,10.11
Kh Qd 2h,Kc8s,1.000,65.54,3.3679,85.6484,0.25,2.66,99.75,3.37
Kh Qd 2h,Kc9s,1.000,66.09,3.3467,84.3965,0.24,2.88,99.76,3.35
Kh Qd 2h,KcTs,1.000,68.45,3.78545,92.1711,0.23,3.12,99.77,3.79
Kh Qd 2h,KcJs,1.000,70.45,4.3381,102.629,0.26,3.51,99.74,4.34
Kh Qd 2h,KcQs,1.000,82.97,9.6659,194.161,1.20,8.97,98.80,9.67
Kh Qd 2h,Ac2c,1.000,36.02,0.49498,22.9019,0.28,0.98,99.72,0.49
Kh Qd 2h,Ac3c,1.000,19.39,0.16941,14.5595,0.10,0.43,99.90,0.17
Kh Qd 2h,Ac4c,1.000,19.72,0.17083,14.4407,0.10,0.45,99.90,0.17
Kh Qd 2h,Ac5c,1.000,20.28,0.17156,14.1022,0.10,0.50,99.90,0.17
Kh Qd 2h,Ac6c,1.000,19.69,0.15129,12.8047,0.09,0.59,99.91,0.15
Kh Qd 2h,Ac7c,1.000,20.55,0.15704,12.7382,0.09,0.69,99.91,0.16
Kh Qd 2h,Ac8c,1.000,21.47,0.17121,13.2892,0.09,0.69,99.91,0.17
Kh Qd 2h,Ac9c,1.000,23.55,0.19026,13.4646,0.09,0.63,99.91,0.19
Kh Qd 2h,AcTc,1.000,37.20,0.65498,29.3419,0.37,1.44,99.63,0.65
Kh Qd 2h,Ac2d,1.000,36.02,0.49969,23.1184,0.29,1.25,99.71,0.50
Kh Qd 2h,Ac3d,1.000,19.31,0.17141,14.7956,0.09,0.50,99.91,0.17
Kh Qd 2h,Ac4d,1.000,19.63,0.1729,14.6774,0.09,0.52,99.91,0.17
Kh Qd 2h,Ac5d,1.000,20.20,0.17352,14.3202,0.09,0.58,99.91,0.17
Kh Qd 2h,Ac6d,1.000,19.61,0.15221,12.9356,0.09,0.56,99.91,0.15
Kh Qd 2h,Ac7d,1.000,20.48,0.15711,12.7862,0.09,0.67,99.91,0.16
Kh Qd 2h,Ac8d,1.000,21.43,0.17197,13.3772,0.09,0.65,99.91,0.17
Kh Qd 2h,Ac9d,1.000,23.61,0.19496,13.7599,0.09,0.65,99.91,0.19
Kh Qd 2h,AcTd,1.000,37.28,0.67151,30.0232,0.37,1.48,99.63,0.67
Kh Qd 2h,AcJd,1.000,41.27,0.97084,39.2044,0.28,1.45,99.72,0.97
Kh Qd 2h,Ac3h,1.000,21.73,0.21372,16.3928,0.11,0.69,99.89,0.21
Kh Qd 2h,Ac4h,1.000,22.12,0.21606,16.2795,0.11,0.72,99.89,0.22
Kh Qd 2h,Ac5h,1.000,22.74,0.21938,16.0816,0.11,0.78,99.89,0.22
Kh Qd 2h,Ac6h,1.000,22.25,0.20111,15.0625,0.11,0.83,99.89,0.20
Kh Qd 2h,Ac7h,1.000,23.22,0.21183,15.2013,0.11,0.80,99.89,0.21
Kh Qd 2h,Ac8h,1.000,24.34,0.23262,15.931,0.11,0.65,99.89,0.23
Kh Qd 2h,Ac9h,1.000,26.51,0.26648,16.7539,0.11,0.78,99.89,0.27
Kh Qd 2h,AcTh,1.000,39.97,1.0063,41.9651,0.36,1.38,99.64,1.00
Kh Qd 2h,AcJh,1.000,44.02,1.3574,51.3909,0.35,1.40,99.65,1.36
Kh Qd 2h,Ac2s,1.000,35.95,0.4887,22.6537,0.28,1.36,99.72,0.49
Kh Qd 2h,Ac3s,1.000,19.24,0.16969,14.6956,0.09,0.40,99.91,0.17
Kh Qd 2h,Ac4s,1.000,19.57,0.17113,14.5743,0.09,0.42,99.91,0.17
Kh Qd 2h,Ac5s,1.000,20.13,0.17195,14.235,0.09,0.47,99.91,0.17
Kh Qd 2h,Ac6s,1.000,19.55,0.15013,12.8014,0.09,0.57,99.91,0.15
Kh Qd 2h,Ac7s,1.000,20.41,0.15523,12.6788,0.09,0.66,99.91,0.15
Kh Qd 2h,Ac8s,1.000,21.33,0.17133,13.3846,0.09,0.66,99.91,0.17
Kh Qd 2h,Ac9s,1.000,23.55,0.19026,13.4644,0.09,0.63,99.91,0.19
Kh Qd 2h,AcTs,1.000,37.20,0.65486,29.3364,0.37,1.44,99.63,0.65
Kh Qd 2h,AcJs,1.000,41.18,0.96838,39.1889,0.28,1.51,99.72,0.97
Kh Qd 2h,6d6c,1.000,36.18,0.41343,19.044,0.16,0.72,99.84,0.41
Kh Qd 2h,6d5d,1.000,14.70,0.28321,32.1046,0.13,0.20,99.87,0.28
Kh Qd 2h,7d7c,1.000,38.36,0.44277,19.237,0.16,0.88,99.84,0.44
Kh Qd 2h,7d6d,1.000,13.91,0.22127,26.518,0.11,0.18,99.89,0.22
Kh Qd 2h,8d8c,1.000,40.53,0.51683,21.2535,0.17,0.95,99.83,0.52
Kh Qd 2h,8d7d,1.000,14.57,0.22429,25.6509,0.11,0.27,99.89,0.22
Kh Qd 2h,9d9c,1.000,43.54,0.55481,21.2368,0.15,0.78,99.85,0.55
Kh Qd 2h,9d7d,1.000,14.95,0.20698,23.0823,0.11,0.32,99.89,0.21
Kh Qd 2h,9d8d,1.000,15.30,0.21947,23.9075,0.11,0.34,99.89,0.22
Kh Qd 2h,TdTc,1.000,49.81,0.92351,30.8991,0.27,1.24,99.73,0.92
Kh Qd 2h,Td7d,1.000,16.71,0.31,30.9184,0.14,0.65,99.86,0.31
Kh Qd 2h,Td8d,1.000,17.07,0.32069,31.3188,0.14,0.68,99.86,0.32
Kh Qd 2h,Td9d,1.000,26.52,0.59323,37.2764,0.45,1.23,99.55,0.59
Kh Qd 2h,JdTc,1.000,38.25,2.26715,98.787,0.34,2.39,99.66,2.27
Kh Qd 2h,Jd8d,1.000,18.15,0.363,33.3315,0.15,0.70,99.85,0.36
Kh Qd 2h,Jd9d,1.000,27.81,0.67323,40.3444,0.48,1.23,99.52,0.67
Kh Qd 2h,JdTd,1.000,40.76,2.81756,115.214,0.48,2.58,99.52,2.82
Kh Qd 2h,JdTh,1.000,40.86,2.64879,108.037,0.37,2.55,99.63,2.65
Kh Qd 2h,JdTs,1.000,38.25,2.26715,98.787,0.34,2.39,99.66,2.27
Kh Qd 2h,Kd8c,1.000,65.60,3.39304,86.2051,0.25,2.64,99.75,3.39
