Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Kh Qd 2h,6c5c,1.000,10.86,0.15046,23.0938,0.10,-2.23,99.90,0.15
Kh Qd 2h,7c6c,1.000,9.96,0.10281,17.1965,0.09,-2.38,99.91,0.11
Kh Qd 2h,8c7c,1.000,10.63,0.10837,16.9973,0.09,-2.42,99.91,0.11
Kh Qd 2h,9c7c,1.000,11.05,0.10309,15.5464,0.09,-2.47,99.91,0.11
Kh Qd 2h,9c8c,1.000,11.41,0.11256,16.4462,0.09,-2.49,99.91,0.11
Kh Qd 2h,Tc7c,1.000,12.92,0.19428,25.0681,0.11,-2.33,99.89,0.20
Kh Qd 2h,Tc8c,1.000,13.28,0.20358,25.5561,0.11,-2.33,99.89,0.21
Kh Qd 2h,Tc9c,1.000,23.27,0.45423,32.5367,0.22,-1.52,99.78,0.46
Kh Qd 2h,Jc8c,1.000,14.35,0.23604,27.4067,0.12,-2.24,99.88,0.24
Kh Qd 2h,Jc9c,1.000,24.58,0.49802,33.7683,0.26,-1.51,99.74,0.50
Kh Qd 2h,JcTc,1.000,38.21,2.25364,98.3025,0.34,1.37,99.66,2.26
Kh Qd 2h,JcTd,1.000,38.24,2.27061,98.9534,0.32,1.33,99.68,2.27
Kh Qd 2h,JcTh,1.000,40.79,2.62556,107.27,0.37,1.70,99.63,2.63
Kh Qd 2h,JcTs,1.000,38.18,2.24951,98.1946,0.34,1.08,99.66,2.25
Kh Qd 2h,Qc6c,1.000,57.17,2.07473,60.4797,0.19,1.42,99.81,2.08
Kh Qd 2h,Qc7c,1.000,57.09,2.05438,59.9778,0.19,1.41,99.81,2.06
Kh Qd 2h,Qc8c,1.000,56.92,1.99294,58.3521,0.19,0.77,99.81,2.00
Kh Qd 2h,Qc9c,1.000,57.20,1.8627,54.2775,0.19,-0.32,99.81,1.87
Kh Qd 2h,QcTc,1.000,59.26,1.99015,55.9714,0.19,-0.23,99.81,1.99
Kh Qd 2h,QcJc,1.000,61.15,2.29959,62.6793,0.18,0.05,99.82,2.30
Kh Qd 2h,QcTd,1.000,59.35,2.01646,56.6219,0.19,-0.20,99.81,2.02
Kh Qd 2h,QcJd,1.000,61.23,2.32809,63.3678,0.18,0.09,99.82,2.33
Kh Qd 2h,QcTh,1.000,61.60,2.44932,66.2746,0.18,2.98,99.82,2.45
Kh Qd 2h,QcJh,1.000,63.66,2.86417,74.988,0.17,3.40,99.83,2.86
Kh Qd 2h,QcTs,1.000,59.28,1.98788,55.8866,0.19,-0.24,99.81,1.99
Kh Qd 2h,QcJs,1.000,61.15,2.29956,62.6786,0.18,0.05,99.82,2.30
Kh Qd 2h,Kc2c,1.000,78.31,7.86315,167.35,0.65,10.97,99.35,7.84
Kh Qd 2h,Kc3c,1.000,65.75,3.50726,88.9015,0.22,4.13,99.78,3.51
Kh Qd 2h,Kc4c,1.000,65.75,3.50585,88.8657,0.22,4.03,99.78,3.50
Kh Qd 2h,Kc5c,1.000,65.75,3.50692,88.8929,0.22,4.07,99.78,3.51
Kh Qd 2h,Kc6c,1.000,65.73,3.49007,88.4943,0.23,4.60,99.77,3.49
Kh Qd 2h,Kc7c,1.000,65.66,3.47322,88.1581,0.24,4.79,99.76,3.47
Kh Qd 2h,Kc8c,1.000,65.54,3.3726,85.7678,0.25,4.55,99.75,3.37
Kh Qd 2h,Kc9c,1.000,66.05,3.34626,84.4333,0.24,3.07,99.76,3.35
Kh Qd 2h,KcTc,1.000,68.41,3.7854,92.2293,0.23,3.96,99.77,3.78
Kh Qd 2h,KcJc,1.000,70.45,4.34217,102.725,0.26,5.09,99.74,4.34
Kh Qd 2h,KcQc,1.000,82.97,9.70516,194.95,1.20,12.23,98.80,9.67
Kh Qd 2h,Kc8d,1.000,65.64,3.40194,86.3781,0.24,4.61,99.76,3.40
Kh Qd 2h,Kc9d,1.000,66.25,3.38731,85.2156,0.23,3.42,99.77,3.39
Kh Qd 2h,KcTd,1.000,68.60,3.83284,93.1187,0.22,4.11,99.78,3.83
Kh Qd 2h,KcJd,1.000,70.54,4.37861,103.452,0.25,5.23,99.75,4.38
Kh Qd 2h,Kc8h,1.000,67.82,3.86104,94.8894,0.25,5.29,99.75,3.86
Kh Qd 2h,Kc9h,1.000,68.39,3.82092,93.1138,0.26,4.82,99.74,3.82
Kh Qd 2h,KcTh,1.000,70.81,4.32324,101.75,0.26,5.88,99.74,4.32
Kh Qd 2h,KcJh,1.000,72.90,4.93363,112.797,0.31,6.93,99.69,4.93
Kh Qd 2h,KcQh,1.000,85.04,10.15,198.936,1.29,13.22,98.71,10.11
Kh Qd 2h,Kc8s,1.000,65.54,3.37257,85.7671,0.25,4.55,99.75,3.37
Kh Qd 2h,Kc9s,1.000,66.09,3.34715,84.4077,0.24,3.07,99.76,3.35
Kh Qd 2h,KcTs,1.000,68.45,3.78731,92.2164,0.23,3.92,99.77,3.79
Kh Qd 2h,KcJs,1.000,70.45,4.34217,102.725,0.26,5.07,99.74,4.34
Kh Qd 2h,KcQs,1.000,82.97,9.70499,194.947,1.20,12.23,98.80,9.67
Kh Qd 2h,Ac2c,1.000,36.02,0.48885,22.6182,0.28,-1.19,99.72,0.49
Kh Qd 2h,Ac3c,1.000,19.39,0.16682,14.3369,0.10,-2.30,99.90,0.17
Kh Qd 2h,Ac4c,1.000,19.72,0.1682,14.2187,0.10,-2.30,99.90,0.17
Kh Qd 2h,Ac5c,1.000,20.28,0.16887,13.881,0.10,-2.31,99.90,0.17
Kh Qd 2h,Ac6c,1.000,19.69,0.14856,12.5736,0.09,-2.46,99.91,0.15
Kh Qd 2h,Ac7c,1.000,20.55,0.15422,12.5088,0.09,-2.48,99.91,0.16
Kh Qd 2h,Ac8c,1.000,21.47,0.16834,13.0661,0.09,-2.46,99.91,0.17
Kh Qd 2h,Ac9c,1.000,23.55,0.18764,13.279,0.09,-2.45,99.91,0.19
Kh Qd 2h,AcTc,1.000,37.20,0.64536,28.911,0.37,-1.15,99.63,0.65
Kh Qd 2h,Ac2d,1.000,36.02,0.49257,22.7887,0.29,-1.21,99.71,0.50
Kh Qd 2h,Ac3d,1.000,19.31,0.16877,14.5678,0.09,-2.34,99.91,0.17
Kh Qd 2h,Ac4d,1.000,19.63,0.17022,14.4501,0.09,-2.34,99.91,0.17
Kh Qd 2h,Ac5d,1.000,20.20,0.17076,14.0919,0.09,-2.35,99.91,0.17
Kh Qd 2h,Ac6d,1.000,19.61,0.14959,12.7129,0.09,-2.46,99.91,0.15
Kh Qd 2h,Ac7d,1.000,20.48,0.15436,12.5623,0.09,-2.48,99.91,0.16
Kh Qd 2h,Ac8d,1.000,21.43,0.16921,13.1627,0.09,-2.46,99.91,0.17
