Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Kh Qd 2h,6c5c,1.000,10.86,-0.00114,-0.17481,0.10,-0.82,99.90,0.00
Kh Qd 2h,7c6c,1.000,9.96,-0.00128,-0.21452,0.09,-0.95,99.91,0.00
Kh Qd 2h,8c7c,1.000,10.63,-0.00131,-0.20597,0.09,-0.93,99.91,0.00
Kh Qd 2h,9c7c,1.000,11.05,-0.00148,-0.22311,0.09,-0.99,99.91,0.00
Kh Qd 2h,9c8c,1.000,11.41,-0.00152,-0.22196,0.09,-0.96,99.91,0.00
Kh Qd 2h,Tc7c,1.000,12.92,-0.00114,-0.14725,0.11,-0.67,99.89,0.00
Kh Qd 2h,Tc8c,1.000,13.28,-0.00113,-0.14135,0.11,-0.65,99.89,0.00
Kh Qd 2h,Tc9c,1.000,23.27,0.00098,0.07045,0.22,0.01,99.78,0.00
Kh Qd 2h,Jc8c,1.000,14.35,-0.00096,-0.11096,0.12,-0.56,99.88,0.00
Kh Qd 2h,Jc9c,1.000,24.58,0.00226,0.1534,0.26,0.12,99.74,0.00
Kh Qd 2h,JcTc,1.000,38.21,2.19418,95.7088,0.34,1.96,99.66,2.19
Kh Qd 2h,JcTd,1.000,38.24,2.10847,91.8874,0.32,1.96,99.68,2.11
Kh Qd 2h,JcTh,1.000,40.79,2.67835,109.426,0.37,2.36,99.63,2.68
Kh Qd 2h,JcTs,1.000,38.18,2.12329,92.685,0.34,1.96,99.66,2.12
Kh Qd 2h,Qc6c,1.000,57.17,1.93595,56.4342,0.19,1.56,99.81,1.94
Kh Qd 2h,Qc7c,1.000,57.09,1.88397,55.0028,0.19,1.54,99.81,1.88
Kh Qd 2h,Qc8c,1.000,56.92,1.7708,51.8481,0.19,1.48,99.81,1.77
Kh Qd 2h,Qc9c,1.000,57.20,1.57272,45.8277,0.19,1.36,99.81,1.57
Kh Qd 2h,QcTc,1.000,59.26,1.88793,53.0966,0.19,1.48,99.81,1.89
Kh Qd 2h,QcJc,1.000,61.15,2.29467,62.5451,0.18,1.78,99.82,2.30
Kh Qd 2h,QcTd,1.000,59.35,1.92937,54.1762,0.19,1.50,99.81,1.93
Kh Qd 2h,QcJd,1.000,61.23,2.34412,63.8041,0.18,1.79,99.82,2.35
Kh Qd 2h,QcTh,1.000,61.60,2.58333,69.9006,0.18,1.91,99.82,2.58
Kh Qd 2h,QcJh,1.000,63.66,3.11596,81.5803,0.17,2.30,99.83,3.12
Kh Qd 2h,QcTs,1.000,59.28,1.88017,52.8584,0.19,1.48,99.81,1.88
Kh Qd 2h,QcJs,1.000,61.15,2.29431,62.5355,0.18,1.78,99.82,2.30
Kh Qd 2h,Kc2c,1.000,78.31,8.78704,187.013,0.65,7.68,99.35,8.79
Kh Qd 2h,Kc3c,1.000,65.75,3.6506,92.5348,0.22,3.07,99.78,3.65
Kh Qd 2h,Kc4c,1.000,65.75,3.65284,92.5916,0.22,3.07,99.78,3.65
Kh Qd 2h,Kc5c,1.000,65.75,3.67036,93.0358,0.22,3.07,99.78,3.67
Kh Qd 2h,Kc6c,1.000,65.73,3.74859,95.0493,0.23,3.06,99.77,3.75
Kh Qd 2h,Kc7c,1.000,65.66,3.74706,95.1087,0.24,3.05,99.76,3.75
Kh Qd 2h,Kc8c,1.000,65.54,3.52221,89.5724,0.25,2.97,99.75,3.52
Kh Qd 2h,Kc9c,1.000,66.05,3.65307,92.1749,0.24,2.93,99.76,3.65
Kh Qd 2h,KcTc,1.000,68.41,4.41664,107.609,0.23,3.36,99.77,4.42
Kh Qd 2h,KcJc,1.000,70.45,5.0964,120.568,0.26,3.96,99.74,5.10
Kh Qd 2h,KcQc,1.000,82.97,11.2067,225.112,1.20,9.58,98.80,11.23
Kh Qd 2h,Kc8d,1.000,65.64,3.53369,89.7232,0.24,2.99,99.76,3.54
Kh Qd 2h,Kc9d,1.000,66.25,3.66443,92.1872,0.23,2.96,99.77,3.67
Kh Qd 2h,KcTd,1.000,68.60,4.48241,108.9,0.22,3.39,99.78,4.48
Kh Qd 2h,KcJd,1.000,70.54,5.15701,121.843,0.25,3.97,99.75,5.16
Kh Qd 2h,Kc8h,1.000,67.82,4.30791,105.872,0.25,3.47,99.75,4.31
Kh Qd 2h,Kc9h,1.000,68.39,4.39135,107.015,0.26,3.45,99.74,4.39
Kh Qd 2h,KcTh,1.000,70.81,5.144,121.068,0.26,3.93,99.74,5.15
Kh Qd 2h,KcJh,1.000,72.90,5.82786,133.242,0.31,4.60,99.69,5.83
Kh Qd 2h,KcQh,1.000,85.04,11.6618,228.566,1.29,10.02,98.71,11.68
Kh Qd 2h,Kc8s,1.000,65.54,3.52241,89.5775,0.25,2.97,99.75,3.52
Kh Qd 2h,Kc9s,1.000,66.09,3.64383,91.8894,0.24,2.93,99.76,3.65
Kh Qd 2h,KcTs,1.000,68.45,4.41416,107.48,0.23,3.36,99.77,4.42
Kh Qd 2h,KcJs,1.000,70.45,5.09607,120.561,0.26,3.96,99.74,5.10
Kh Qd 2h,KcQs,1.000,82.97,11.2071,225.12,1.20,9.58,98.80,11.23
Kh Qd 2h,Ac2c,1.000,36.02,0.11664,5.39701,0.28,0.13,99.72,0.12
Kh Qd 2h,Ac3c,1.000,19.39,-0.00124,-0.10658,0.10,-0.82,99.90,0.00
Kh Qd 2h,Ac4c,1.000,19.72,-0.00124,-0.10479,0.10,-0.82,99.90,0.00
Kh Qd 2h,Ac5c,1.000,20.28,-0.00125,-0.10288,0.10,-0.81,99.90,0.00
Kh Qd 2h,Ac6c,1.000,19.69,-0.00139,-0.11741,0.09,-0.90,99.91,0.00
Kh Qd 2h,Ac7c,1.000,20.55,-0.00143,-0.11605,0.09,-0.90,99.91,0.00
