Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Kh Qd 2h,6c5c,0.999,11.18,-0.00144,-0.21458,0.07,-1.56,0.02,-1.62,99.91,0.00
Kh Qd 2h,7c6c,0.999,10.43,-0.00143,-0.22861,0.06,-1.64,0.02,-1.66,99.91,0.00
Kh Qd 2h,8c7c,0.999,11.01,-0.00142,-0.2148,0.07,-1.60,0.02,-1.60,99.91,0.00
Kh Qd 2h,9c7c,0.999,11.45,-0.00141,-0.20471,0.06,-1.70,0.03,-1.56,99.91,0.00
Kh Qd 2h,9c8c,0.999,11.75,-0.0014,-0.19864,0.05,-1.68,0.04,-1.54,99.91,0.00
Kh Qd 2h,Tc7c,0.999,12.59,-0.00143,-0.18966,0.07,-1.61,0.02,-1.63,99.91,0.00
Kh Qd 2h,Tc8c,0.999,12.84,-0.00143,-0.18593,0.07,-1.60,0.02,-1.59,99.91,0.00
Kh Qd 2h,Tc9c,0.998,22.64,-0.00139,-0.10209,0.17,-0.42,0.15,-0.43,99.67,0.00
Kh Qd 2h,Jc8c,0.999,13.99,-0.00143,-0.16995,0.07,-1.51,0.02,-1.48,99.91,0.00
Kh Qd 2h,Jc9c,0.997,24.02,-0.0013,-0.0902,0.22,-0.30,0.20,-0.31,99.57,0.00
Kh Qd 2h,JcTc,0.997,37.05,1.80221,81.0798,22.64,1.80,77.28,1.80,0.08,0.00
Kh Qd 2h,JcTd,0.997,37.07,1.81108,81.4302,3.71,1.81,96.21,1.81,0.08,0.00
Kh Qd 2h,JcTh,0.996,39.62,2.18797,92.0392,22.65,2.19,77.28,2.19,0.07,0.00
Kh Qd 2h,JcTs,0.997,37.01,1.79489,80.8214,14.49,1.79,85.43,1.80,0.08,0.00
Kh Qd 2h,Qc6c,0.998,51.95,1.04405,33.4968,0.92,1.04,98.93,1.05,0.15,0.00
Kh Qd 2h,Qc7c,0.998,52.05,1.04699,33.5273,3.20,1.04,96.65,1.05,0.15,0.00
Kh Qd 2h,Qc8c,0.998,51.93,0.97972,31.4457,5.93,0.98,93.91,0.98,0.16,0.00
Kh Qd 2h,Qc9c,0.998,52.52,0.88039,27.9409,0.02,0.82,99.79,0.88,0.19,0.00
Kh Qd 2h,QcTc,0.998,53.69,0.86802,26.9456,0.21,0.87,99.61,0.87,0.18,0.00
Kh Qd 2h,QcJc,0.998,55.65,1.20832,36.1889,0.02,1.19,99.85,1.21,0.13,0.00
Kh Qd 2h,QcTd,0.998,53.73,0.89144,27.6494,0.10,0.89,99.72,0.89,0.18,0.00
Kh Qd 2h,QcJd,0.998,55.74,1.24643,37.2687,0.02,1.21,99.85,1.25,0.12,0.00
Kh Qd 2h,QcTh,0.998,56.07,1.39925,41.593,2.53,1.40,97.36,1.40,0.11,0.00
Kh Qd 2h,QcJh,0.998,58.29,1.88631,53.9319,0.39,1.88,99.53,1.89,0.08,0.00
Kh Qd 2h,QcTs,0.998,53.70,0.86498,26.8482,0.03,0.85,99.79,0.87,0.18,0.00
Kh Qd 2h,QcJs,0.998,55.65,1.20827,36.1873,0.02,1.19,99.85,1.21,0.13,0.00
Kh Qd 2h,Kc2c,0.993,74.65,7.89662,176.313,23.46,7.90,76.53,7.90,0.02,0.00
