Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Kh Qd 2h,6c5c,0.999,10.86,-0.00034,-0.05287,0.07,-0.07,0.02,-1.28,99.91,0.00
Kh Qd 2h,7c6c,0.999,9.96,-0.00043,-0.07261,0.06,-0.21,0.02,-1.35,99.91,0.00
Kh Qd 2h,8c7c,0.999,10.63,-0.00047,-0.07393,0.07,-0.25,0.02,-1.34,99.91,0.00
Kh Qd 2h,9c7c,0.999,11.05,-0.00063,-0.09484,0.06,-0.44,0.03,-1.30,99.91,0.00
Kh Qd 2h,9c8c,0.999,11.41,-0.00068,-0.09938,0.05,-0.44,0.04,-1.26,99.91,0.00
Kh Qd 2h,Tc7c,0.999,12.92,-0.00041,-0.05348,0.07,-0.16,0.02,-1.36,99.91,0.00
Kh Qd 2h,Tc8c,0.999,13.28,-0.00041,-0.0514,0.07,-0.15,0.02,-1.32,99.91,0.00
Kh Qd 2h,Tc9c,0.998,23.27,0.00097,0.06956,0.17,0.68,0.15,-0.14,99.67,0.00
Kh Qd 2h,Jc8c,0.999,14.35,-0.00029,-0.0341,0.07,-0.04,0.02,-1.11,99.91,0.00
Kh Qd 2h,Jc9c,0.997,24.58,0.00196,0.13282,0.22,0.79,0.20,0.09,99.57,0.00
Kh Qd 2h,JcTc,0.997,38.21,2.19498,95.7436,22.64,2.59,77.28,2.08,0.08,0.00
Kh Qd 2h,JcTd,0.997,38.24,2.10895,91.9082,3.71,2.64,96.21,2.09,0.08,0.00
Kh Qd 2h,JcTh,0.996,40.79,2.67954,109.475,22.65,3.24,77.28,2.52,0.07,0.00
Kh Qd 2h,JcTs,0.997,38.18,2.12385,92.7095,14.49,2.54,85.43,2.06,0.08,0.00
Kh Qd 2h,Qc6c,0.998,57.17,1.93666,56.4549,0.92,2.33,98.93,1.94,0.15,0.00
Kh Qd 2h,Qc7c,0.998,57.09,1.88462,55.0217,3.20,2.30,96.65,1.87,0.15,0.00
Kh Qd 2h,Qc8c,0.998,56.92,1.77135,51.8642,5.93,2.20,93.91,1.75,0.16,0.00
Kh Qd 2h,Qc9c,0.998,57.20,1.57313,45.8397,0.02,2.00,99.79,1.58,0.19,0.00
Kh Qd 2h,QcTc,0.998,59.26,1.8887,53.118,0.21,2.24,99.61,1.89,0.18,0.00
