Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Kh Qd 2h,6c5c,0.999,11.18,-0.00104,-0.15451,0.07,-0.97,0.02,-1.62,99.91,0.00
Kh Qd 2h,7c6c,0.999,10.43,-0.00085,-0.13559,0.06,-0.75,0.02,-1.66,99.91,0.00
Kh Qd 2h,8c7c,0.999,11.01,-0.00086,-0.13036,0.07,-0.75,0.02,-1.60,99.91,0.00
Kh Qd 2h,9c7c,0.999,11.45,-0.00087,-0.12727,0.06,-0.74,0.03,-1.56,99.91,0.00
Kh Qd 2h,9c8c,0.999,11.75,-0.00093,-0.13249,0.05,-0.74,0.04,-1.54,99.91,0.00
Kh Qd 2h,Tc7c,0.999,12.59,-0.00059,-0.0784,0.07,-0.33,0.02,-1.63,99.91,0.00
Kh Qd 2h,Tc8c,0.999,12.84,-0.00061,-0.07916,0.07,-0.36,0.02,-1.59,99.91,0.00
Kh Qd 2h,Tc9c,0.998,22.64,0.00019,0.01372,0.17,0.48,0.15,-0.43,99.67,0.00
Kh Qd 2h,Jc8c,0.999,13.99,-0.00037,-0.04464,0.07,-0.03,0.02,-1.48,99.91,0.00
Kh Qd 2h,Jc9c,0.997,24.02,0.00061,0.04202,0.22,0.56,0.20,-0.31,99.57,0.00
Kh Qd 2h,JcTc,0.997,37.05,1.72238,77.4885,22.64,1.45,77.28,1.80,0.08,0.00
Kh Qd 2h,JcTd,0.997,37.07,1.81115,81.4334,3.71,1.81,96.21,1.81,0.08,0.00
Kh Qd 2h,JcTh,0.996,39.62,2.31768,97.4955,22.65,2.76,77.28,2.19,0.07,0.00
Kh Qd 2h,JcTs,0.997,37.01,1.77002,79.7014,14.49,1.62,85.43,1.80,0.08,0.00
Kh Qd 2h,Qc6c,0.998,51.95,1.04325,33.4711,0.92,0.95,98.93,1.05,0.15,0.00
Kh Qd 2h,Qc7c,0.998,52.05,1.04534,33.4743,3.20,0.99,96.65,1.05,0.15,0.00
Kh Qd 2h,Qc8c,0.998,51.93,0.98133,31.4974,5.93,1.00,93.91,0.98,0.16,0.00
Kh Qd 2h,Qc9c,0.998,52.52,0.88033,27.9391,0.02,0.56,99.79,0.88,0.19,0.00
Kh Qd 2h,QcTc,0.998,53.69,0.86891,26.9732,0.21,1.29,99.61,0.87,0.18,0.00
Kh Qd 2h,QcJc,0.998,55.65,1.20846,36.1932,0.02,1.77,99.85,1.21,0.13,0.00
Kh Qd 2h,QcTd,0.998,53.73,0.89191,27.6638,0.10,1.34,99.72,0.89,0.18,0.00
Kh Qd 2h,QcJd,0.998,55.74,1.24658,37.2732,0.02,1.83,99.85,1.25,0.12,0.00
Kh Qd 2h,QcTh,0.998,56.07,1.40246,41.6886,2.53,1.53,97.36,1.40,0.11,0.00
Kh Qd 2h,QcJh,0.998,58.29,1.88641,53.9349,0.39,1.91,99.53,1.89,0.08,0.00
Kh Qd 2h,QcTs,0.998,53.70,0.86509,26.8518,0.03,1.29,99.79,0.87,0.18,0.00
Kh Qd 2h,QcJs,0.998,55.65,1.20842,36.1915,0.02,1.77,99.85,1.21,0.13,0.00
Kh Qd 2h,Kc2c,0.993,74.65,7.85889,175.471,23.46,7.74,76.53,7.90,0.02,0.00
Kh Qd 2h,Kc3c,0.998,59.84,2.40006,66.8491,0.05,2.14,99.89,2.40,0.06,0.00
Kh Qd 2h,Kc4c,0.998,59.85,2.4001,66.8372,0.05,2.15,99.89,2.40,0.06,0.00
Kh Qd 2h,Kc5c,0.998,59.90,2.40706,66.9777,0.05,2.16,99.89,2.41,0.06,0.00
Kh Qd 2h,Kc6c,0.998,60.07,2.41129,66.9073,0.05,2.16,99.89,2.41,0.06,0.00
Kh Qd 2h,Kc7c,0.998,60.14,2.40859,66.7513,0.06,2.19,99.88,2.41,0.06,0.00
Kh Qd 2h,Kc8c,0.998,60.04,2.2882,63.5238,3.88,2.12,96.05,2.30,0.06,0.00
Kh Qd 2h,Kc9c,0.998,60.80,2.31042,63.3293,0.04,2.04,99.89,2.31,0.07,0.00
Kh Qd 2h,KcTc,0.998,62.69,2.74146,72.8892,0.06,2.82,99.89,2.74,0.05,0.00
Kh Qd 2h,KcJc,0.997,65.19,3.46319,88.5429,1.54,3.65,98.43,3.46,0.04,0.00
Kh Qd 2h,KcQc,0.988,80.09,10.6562,221.746,89.86,10.69,10.13,10.33,0.01,0.00
Kh Qd 2h,Kc8d,0.998,60.05,2.30525,63.9785,3.64,2.10,96.30,2.31,0.06,0.00
Kh Qd 2h,Kc9d,0.998,60.86,2.32962,63.8008,0.04,2.24,99.89,2.33,0.06,0.00
