Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Kh Qd 2h,6c5c,0.999,11.18,-0.00301,-0.44906,0.07,-3.87,0.02,-1.62,99.91,0.00
Kh Qd 2h,7c6c,0.999,10.43,-0.00288,-0.46051,0.06,-3.88,0.02,-1.66,99.91,0.00
Kh Qd 2h,8c7c,0.999,11.01,-0.00292,-0.44219,0.07,-3.88,0.02,-1.60,99.91,0.00
Kh Qd 2h,9c7c,0.999,11.45,-0.00266,-0.38799,0.06,-3.96,0.03,-1.56,99.91,0.00
Kh Qd 2h,9c8c,0.999,11.75,-0.00255,-0.36148,0.05,-3.99,0.04,-1.54,99.91,0.00
Kh Qd 2h,Tc7c,0.999,12.59,-0.00276,-0.36475,0.07,-3.61,0.02,-1.63,99.91,0.00
Kh Qd 2h,Tc8c,0.999,12.84,-0.00278,-0.36157,0.07,-3.64,0.02,-1.59,99.91,0.00
Kh Qd 2h,Tc9c,0.998,22.64,-0.00489,-0.36041,0.17,-2.43,0.15,-0.43,99.67,0.00
Kh Qd 2h,Jc8c,0.999,13.99,-0.00277,-0.33023,0.07,-3.40,0.02,-1.48,99.91,0.00
Kh Qd 2h,Jc9c,0.997,24.02,-0.0058,-0.40253,0.22,-2.31,0.20,-0.31,99.57,0.00
Kh Qd 2h,JcTc,0.997,37.05,1.72306,77.5192,22.64,1.45,77.28,1.80,0.08,0.00
Kh Qd 2h,JcTd,0.997,37.07,1.80405,81.1143,3.71,1.62,96.21,1.81,0.08,0.00
Kh Qd 2h,JcTh,0.996,39.62,2.0189,84.927,22.65,1.44,77.28,2.19,0.07,0.00
Kh Qd 2h,JcTs,0.997,37.01,1.7154,77.2421,14.49,1.25,85.43,1.80,0.08,0.00
Kh Qd 2h,Qc6c,0.998,51.95,1.02022,32.7322,0.92,-1.56,98.93,1.05,0.15,0.00
Kh Qd 2h,Qc7c,0.998,52.05,0.96447,30.8846,3.20,-1.53,96.65,1.05,0.15,0.00
Kh Qd 2h,Qc8c,0.998,51.93,0.8289,26.6049,5.93,-1.56,93.91,0.98,0.16,0.00
Kh Qd 2h,Qc9c,0.998,52.52,0.87978,27.9217,0.02,-1.92,99.79,0.88,0.19,0.00
Kh Qd 2h,QcTc,0.998,53.69,0.86349,26.8049,0.21,-1.27,99.61,0.87,0.18,0.00
Kh Qd 2h,QcJc,0.998,55.65,1.20784,36.1745,0.02,-0.79,99.85,1.21,0.13,0.00
Kh Qd 2h,QcTd,0.998,53.73,0.8893,27.5829,0.10,-1.19,99.72,0.89,0.18,0.00
Kh Qd 2h,QcJd,0.998,55.74,1.24594,37.2541,0.02,-0.82,99.85,1.25,0.12,0.00
Kh Qd 2h,QcTh,0.998,56.07,1.34259,39.9087,2.53,-0.84,97.36,1.40,0.11,0.00
Kh Qd 2h,QcJh,0.998,58.29,1.8773,53.6743,0.39,-0.42,99.53,1.89,0.08,0.00
Kh Qd 2h,QcTs,0.998,53.70,0.86443,26.8313,0.03,-1.27,99.79,0.87,0.18,0.00
Kh Qd 2h,QcJs,0.998,55.65,1.20779,36.1728,0.02,-0.79,99.85,1.21,0.13,0.00
