Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Qd Jh 2h,2c,6c5c,0.330,5.99,0.39355,54.7558,1.86,0.35,1.03,0.36,97.11,0.39
Qd Jh 2h,2c,7c5c,0.031,6.24,0.39919,53.2962,1.45,0.32,0.81,0.36,97.74,0.40
Qd Jh 2h,2c,7c6c,0.071,6.30,0.34488,45.6143,0.64,0.15,0.36,0.16,99.01,0.35
Qd Jh 2h,2c,8c6c,0.049,6.15,0.33649,45.6016,0.41,-0.07,0.22,0.08,99.37,0.34
Qd Jh 2h,2c,8c7c,0.089,6.33,0.34069,44.8475,0.37,-0.09,0.20,0.06,99.42,0.34
Qd Jh 2h,2c,9c6c,0.443,6.05,0.33794,46.5846,0.34,-0.18,0.19,0.10,99.47,0.34
Qd Jh 2h,2c,9c7c,0.600,6.25,0.33265,44.3674,0.32,-0.20,0.18,0.10,99.50,0.33
Qd Jh 2h,2c,9c8c,0.913,13.63,1.54299,94.3281,1.11,1.43,0.56,1.46,98.34,1.54
Qd Jh 2h,2c,9c8d,0.934,13.40,1.54266,95.9256,0.45,1.23,0.32,1.38,99.23,1.54
Qd Jh 2h,2c,9c8h,0.903,13.49,1.58396,97.845,1.31,1.55,0.95,1.51,97.74,1.59
Qd Jh 2h,2c,9c8s,0.924,13.47,1.5453,95.6329,0.81,1.38,0.42,1.41,98.77,1.55
Qd Jh 2h,2c,Tc7c,0.843,7.27,0.37602,43.1246,0.28,-0.21,0.18,0.20,99.55,0.38
Qd Jh 2h,2c,Tc8c,0.876,14.66,1.60402,91.1666,1.12,1.53,0.75,1.55,98.13,1.61
Qd Jh 2h,2c,Tc9c,0.863,22.29,3.34192,124.949,74.25,3.35,10.01,3.34,15.74,3.30
Qd Jh 2h,2c,Tc8d,0.923,14.37,1.60735,93.2232,0.45,1.35,0.35,1.44,99.20,1.61
Qd Jh 2h,2c,Tc9d,0.870,22.07,3.29554,124.462,9.75,3.28,1.21,3.25,89.04,3.30
Qd Jh 2h,2c,Tc8h,0.718,14.55,1.65075,94.5156,2.11,1.65,1.14,1.59,96.76,1.65
Qd Jh 2h,2c,Tc9h,0.856,22.53,3.60425,133.339,97.86,3.61,0.31,3.55,1.83,3.44
