Flop,Turn,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 14%,BET 14 EV,BET 7%,BET 7 EV,CHECK%,CHECK EV
Qd Jh 2h,2c,6c5c,0.330,4.06,-0.17282,-35.4741,1.86,-0.86,1.03,-0.80,97.11,-0.15
Qd Jh 2h,2c,7c5c,0.031,4.32,-0.11001,-21.2251,1.45,-0.85,0.81,-0.78,97.74,-0.09
Qd Jh 2h,2c,7c6c,0.071,4.27,-0.15515,-30.2742,0.64,-1.09,0.36,-1.05,99.01,-0.15
Qd Jh 2h,2c,8c6c,0.049,4.44,0.19218,36.0599,0.41,-1.26,0.22,-1.06,99.37,0.20
Qd Jh 2h,2c,8c7c,0.089,4.71,0.19914,35.2274,0.37,-1.26,0.20,-1.04,99.42,0.21
Qd Jh 2h,2c,9c6c,0.443,3.98,0.27079,56.7155,0.34,-1.30,0.19,-0.95,99.47,0.28
Qd Jh 2h,2c,9c7c,0.600,4.25,0.24596,48.2482,0.32,-1.30,0.18,-0.93,99.50,0.25
Qd Jh 2h,2c,9c8c,0.913,12.09,1.49005,102.731,1.11,0.50,0.56,0.57,98.34,1.51
Qd Jh 2h,2c,9c8d,0.934,12.09,1.54157,106.235,0.45,0.49,0.32,0.68,99.23,1.55
Qd Jh 2h,2c,9c8h,0.903,12.09,1.55888,107.482,1.31,0.62,0.95,0.63,97.74,1.58
Qd Jh 2h,2c,9c8s,0.924,12.09,1.51212,104.253,0.81,0.49,0.42,0.57,98.77,1.52
Qd Jh 2h,2c,Tc7c,0.843,4.43,0.31938,60.0741,0.28,-1.45,0.18,-0.97,99.55,0.33
Qd Jh 2h,2c,Tc8c,0.876,12.25,1.52763,103.914,1.12,0.47,0.75,0.53,98.13,1.55
Qd Jh 2h,2c,Tc9c,0.863,19.98,2.6537,110.668,74.25,2.54,10.01,2.56,15.74,3.27
Qd Jh 2h,2c,Tc8d,0.923,12.25,1.58126,107.532,0.45,0.49,0.35,0.64,99.20,1.59
Qd Jh 2h,2c,Tc9d,0.870,19.93,3.19689,133.642,9.75,2.51,1.21,2.48,89.04,3.28
Qd Jh 2h,2c,Tc8h,0.718,12.06,1.57337,108.711,2.11,0.61,1.14,0.58,96.76,1.61
Qd Jh 2h,2c,Tc9h,0.856,19.84,2.58781,108.689,97.86,2.57,0.31,2.54,1.83,3.40
Qd Jh 2h,2c,Tc8s,0.917,12.25,1.54377,105.012,0.74,0.47,0.50,0.54,98.75,1.56
Qd Jh 2h,2c,Tc9s,0.902,19.98,3.08217,128.537,22.95,2.54,3.24,2.56,73.81,3.27
Qd Jh 2h,2c,Jc7c,0.833,52.62,5.40904,85.6618,0.17,4.43,0.16,5.56,99.67,5.41
