Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,18.22,0.68958,63.0864,1.17,-0.58,98.83,0.70
Ah 8d 2c,7c6c,1.000,18.70,0.64357,57.3525,0.97,-0.41,99.03,0.65
Ah 8d 2c,8c7c,1.000,49.64,2.25121,75.583,1.21,2.94,98.79,2.24
Ah 8d 2c,9c7c,1.000,18.94,0.65627,57.7444,0.96,0.02,99.04,0.66
Ah 8d 2c,9c8c,1.000,50.56,2.21699,73.0775,0.94,2.54,99.06,2.21
Ah 8d 2c,Tc7c,1.000,16.84,0.51824,51.285,0.53,-0.94,99.47,0.53
Ah 8d 2c,Tc8c,1.000,50.90,2.22021,72.705,0.88,2.44,99.12,2.22
Ah 8d 2c,Tc9c,1.000,18.56,0.62938,56.5228,0.96,-0.55,99.04,0.64
Ah 8d 2c,Jc8c,1.000,51.05,2.29948,75.0698,0.64,2.27,99.36,2.30
Ah 8d 2c,Jc9c,1.000,17.71,0.51194,48.1688,0.57,-0.95,99.43,0.52
Ah 8d 2c,JcTc,1.000,19.67,0.49723,42.1348,0.71,-0.47,99.29,0.50
Ah 8d 2c,JcTd,1.000,16.12,0.31966,33.0515,0.37,-1.20,99.63,0.33
Ah 8d 2c,JcTh,1.000,16.12,0.32114,33.2089,0.37,-1.21,99.63,0.33
Ah 8d 2c,JcTs,1.000,16.06,0.30994,32.1597,0.34,-1.18,99.66,0.32
Ah 8d 2c,Qc6c,1.000,17.65,0.35306,33.3422,0.30,-1.22,99.70,0.36
Ah 8d 2c,Qc7c,1.000,17.99,0.35554,32.9422,0.32,-1.25,99.68,0.36
Ah 8d 2c,Qc8c,1.000,51.12,2.34078,76.3182,0.58,2.28,99.42,2.34
Ah 8d 2c,Qc9c,1.000,19.66,0.39238,33.2677,0.45,-1.15,99.55,0.40
Ah 8d 2c,QcTc,1.000,21.73,0.42169,32.3402,0.55,-1.03,99.45,0.43
Ah 8d 2c,QcJc,1.000,24.77,0.42534,28.6243,0.53,-0.80,99.47,0.43
Ah 8d 2c,QcTd,1.000,18.24,0.24877,22.7346,0.33,-1.40,99.67,0.25
Ah 8d 2c,QcJd,1.000,21.51,0.24949,19.3313,0.33,-1.36,99.67,0.25
Ah 8d 2c,QcTh,1.000,18.24,0.24931,22.7755,0.33,-1.41,99.67,0.25
Ah 8d 2c,QcJh,1.000,21.51,0.25269,19.5779,0.34,-1.34,99.66,0.26
Ah 8d 2c,QcTs,1.000,18.17,0.24342,22.3229,0.29,-1.38,99.71,0.25
Ah 8d 2c,QcJs,1.000,21.44,0.24257,18.855,0.30,-1.32,99.70,0.25
Ah 8d 2c,Kc3c,1.000,24.49,0.40586,27.6161,0.55,-0.99,99.45,0.41
Ah 8d 2c,Kc4c,1.000,24.77,0.41179,27.7072,0.57,-0.97,99.43,0.42
Ah 8d 2c,Kc5c,1.000,25.05,0.4067,27.0639,0.52,-1.03,99.48,0.41
Ah 8d 2c,Kc6c,1.000,24.28,0.32139,22.0618,0.37,-1.22,99.63,0.33
Ah 8d 2c,Kc7c,1.000,24.63,0.3247,21.968,0.39,-1.26,99.61,0.33
Ah 8d 2c,Kc8c,1.000,51.14,2.23792,72.9292,0.70,2.27,99.30,2.24
Ah 8d 2c,Kc9c,1.000,25.36,0.32965,21.6617,0.45,-1.24,99.55,0.34
Ah 8d 2c,KcTc,1.000,27.58,0.35916,21.7018,0.48,-1.14,99.52,0.37
Ah 8d 2c,KcJc,1.000,30.75,0.42029,22.7824,0.39,-1.03,99.61,0.43
Ah 8d 2c,KcQc,1.000,35.07,0.61831,29.3853,0.24,-0.56,99.76,0.62
Ah 8d 2c,Kc9d,1.000,21.96,0.18035,13.6886,0.27,-1.52,99.73,0.18
Ah 8d 2c,KcTd,1.000,24.33,0.19594,13.4204,0.30,-1.47,99.70,0.20
Ah 8d 2c,KcJd,1.000,27.74,0.26606,15.9862,0.26,-1.37,99.74,0.27
Ah 8d 2c,KcQd,1.000,32.27,0.46531,24.0334,0.19,-1.19,99.81,0.47
Ah 8d 2c,Kc8h,1.000,48.49,1.63516,56.1991,0.52,1.63,99.48,1.64
Ah 8d 2c,Kc9h,1.000,21.98,0.17918,13.5854,0.27,-1.51,99.73,0.18
Ah 8d 2c,KcTh,1.000,24.36,0.19656,13.4485,0.30,-1.47,99.70,0.20
Ah 8d 2c,KcJh,1.000,27.74,0.2702,16.2339,0.27,-1.37,99.73,0.27
Ah 8d 2c,KcQh,1.000,32.27,0.46503,24.0176,0.18,-1.20,99.82,0.47
Ah 8d 2c,Kc8s,1.000,48.66,1.66107,56.8951,0.55,1.67,99.45,1.66
Ah 8d 2c,Kc9s,1.000,21.92,0.17289,13.148,0.25,-1.51,99.75,0.18
Ah 8d 2c,KcTs,1.000,24.27,0.19324,13.2681,0.27,-1.47,99.73,0.20
Ah 8d 2c,KcJs,1.000,27.65,0.25582,15.4181,0.25,-1.37,99.75,0.26
Ah 8d 2c,KcQs,1.000,32.18,0.46308,23.982,0.18,-1.19,99.82,0.47
Ah 8d 2c,Ac3c,1.000,72.93,4.46942,102.14,0.58,5.05,99.42,4.47
Ah 8d 2c,Ac4c,1.000,72.96,4.47609,102.248,0.58,5.07,99.42,4.47
Ah 8d 2c,Ac5c,1.000,73.16,4.50289,102.578,0.60,5.12,99.40,4.50
Ah 8d 2c,Ac6c,1.000,72.98,4.41202,100.755,0.61,5.13,99.39,4.41
Ah 8d 2c,Ac7c,1.000,73.48,4.4836,101.69,0.67,5.35,99.33,4.48
Ah 8d 2c,Ac8c,1.000,90.56,10.5153,193.523,1.27,12.29,98.73,10.49
Ah 8d 2c,Ac9c,1.000,75.89,4.90804,107.786,0.79,5.93,99.21,4.90
Ah 8d 2c,AcTc,1.000,78.09,5.39272,115.096,0.88,6.47,99.12,5.38
Ah 8d 2c,Ac2d,1.000,85.94,8.19422,158.923,1.05,10.19,98.95,8.17
Ah 8d 2c,Ac3d,1.000,71.63,3.95113,91.9331,0.44,4.38,99.56,3.95
Ah 8d 2c,Ac4d,1.000,71.66,3.95751,92.0399,0.44,4.39,99.56,3.96
Ah 8d 2c,Ac5d,1.000,71.88,3.98524,92.4076,0.44,4.49,99.56,3.98
Ah 8d 2c,Ac6d,1.000,71.68,3.88089,90.2376,0.43,4.45,99.57,3.88
Ah 8d 2c,Ac7d,1.000,72.27,3.97467,91.6658,0.47,5.00,99.53,3.97
Ah 8d 2c,Ac9d,1.000,74.72,4.435,98.9282,0.55,5.64,99.45,4.43
Ah 8d 2c,AcTd,1.000,77.06,4.95297,107.119,0.61,6.01,99.39,4.95
Ah 8d 2c,AcJd,1.000,79.67,5.7887,121.091,0.68,6.81,99.32,5.78
Ah 8d 2c,Ac2h,1.000,85.75,8.1654,158.702,1.05,10.14,98.95,8.14
Ah 8d 2c,Ac3h,1.000,71.48,3.93443,91.7334,0.44,4.31,99.56,3.93
Ah 8d 2c,Ac4h,1.000,71.52,3.94072,91.8388,0.44,4.32,99.56,3.94
Ah 8d 2c,Ac5h,1.000,71.73,3.96904,92.2229,0.44,4.43,99.56,3.97
Ah 8d 2c,Ac6h,1.000,71.53,3.8629,90.0063,0.44,4.31,99.56,3.86
Ah 8d 2c,Ac7h,1.000,72.08,3.94332,91.1823,0.48,4.60,99.52,3.94
Ah 8d 2c,Ac8h,1.000,90.00,10.1194,187.394,1.12,11.85,98.88,10.10
Ah 8d 2c,Ac9h,1.000,74.64,4.4082,98.4331,0.55,5.44,99.45,4.40
Ah 8d 2c,AcTh,1.000,76.99,4.92942,106.712,0.62,5.95,99.38,4.92
Ah 8d 2c,AcJh,1.000,79.63,5.72188,119.765,0.70,6.89,99.30,5.71
Ah 8d 2c,Ac2s,1.000,85.92,8.19936,159.043,1.09,10.19,98.91,8.18
Ah 8d 2c,Ac3s,1.000,71.55,3.92213,91.3671,0.44,4.33,99.56,3.92
Ah 8d 2c,Ac4s,1.000,71.58,3.92838,91.4714,0.44,4.33,99.56,3.93
Ah 8d 2c,Ac5s,1.000,71.79,3.95537,91.8241,0.45,4.33,99.55,3.95
Ah 8d 2c,Ac6s,1.000,71.59,3.8486,89.5946,0.43,4.20,99.57,3.85
Ah 8d 2c,Ac7s,1.000,72.14,3.93353,90.8833,0.48,4.66,99.52,3.93
Ah 8d 2c,Ac8s,1.000,90.16,10.1649,187.9,1.04,11.81,98.96,10.15
Ah 8d 2c,Ac9s,1.000,74.56,4.38279,97.9759,0.64,5.52,99.36,4.38
Ah 8d 2c,AcTs,1.000,76.88,4.88813,105.971,0.73,5.85,99.27,4.88
Ah 8d 2c,AcJs,1.000,79.52,5.73737,120.245,0.73,6.79,99.27,5.73
Ah 8d 2c,6d6c,1.000,38.29,0.86623,37.7026,0.53,-0.07,99.47,0.87
Ah 8d 2c,6d5d,1.000,18.26,0.69799,63.7108,1.24,-0.54,98.76,0.71
Ah 8d 2c,7d7c,1.000,40.55,0.95708,39.3404,0.55,0.10,99.45,0.96
Ah 8d 2c,7d6d,1.000,18.73,0.66202,58.9165,1.08,0.05,98.92,0.67
Ah 8d 2c,9d9c,1.000,44.81,1.30799,48.6448,0.57,0.50,99.43,1.31
Ah 8d 2c,9d7d,1.000,18.96,0.67266,59.1338,0.92,-0.10,99.08,0.68
Ah 8d 2c,TdTc,1.000,46.78,1.49605,53.3059,0.60,0.68,99.40,1.50
Ah 8d 2c,Td7d,1.000,16.85,0.5226,51.6914,0.53,-0.94,99.47,0.53
Ah 8d 2c,Td9d,1.000,18.60,0.64433,57.7482,0.95,-0.20,99.05,0.65
Ah 8d 2c,JdTc,1.000,16.12,0.32061,33.1567,0.38,-1.21,99.62,0.33
Ah 8d 2c,Jd9d,1.000,17.74,0.52104,48.951,0.58,-0.95,99.42,0.53
Ah 8d 2c,JdTd,1.000,19.69,0.50491,42.73,0.73,-0.24,99.27,0.51
Ah 8d 2c,JdTh,1.000,16.11,0.32195,33.3056,0.38,-1.21,99.62,0.33
Ah 8d 2c,JdTs,1.000,16.06,0.31107,32.2904,0.34,-1.19,99.66,0.32
Ah 8d 2c,QdTc,1.000,18.24,0.24866,22.718,0.34,-1.42,99.66,0.25
Ah 8d 2c,QdJc,1.000,21.51,0.24796,19.2126,0.34,-1.37,99.66,0.25
Ah 8d 2c,Qd6d,1.000,17.67,0.35561,33.5448,0.31,-1.23,99.69,0.36
Ah 8d 2c,Qd7d,1.000,18.00,0.35666,33.0197,0.32,-1.26,99.68,0.36
Ah 8d 2c,Qd9d,1.000,19.67,0.39719,33.6488,0.46,-1.16,99.54,0.40
Ah 8d 2c,QdTd,1.000,21.75,0.42529,32.5959,0.58,-0.92,99.42,0.43
Ah 8d 2c,QdJd,1.000,24.79,0.42969,28.8941,0.57,-0.51,99.43,0.44
Ah 8d 2c,QdTh,1.000,18.24,0.24914,22.7677,0.34,-1.42,99.66,0.25
Ah 8d 2c,QdJh,1.000,21.51,0.25186,19.5196,0.35,-1.35,99.65,0.26
Ah 8d 2c,QdTs,1.000,18.17,0.24334,22.3237,0.30,-1.39,99.70,0.25
Ah 8d 2c,QdJs,1.000,21.43,0.24174,18.7968,0.30,-1.32,99.70,0.25
Ah 8d 2c,Kd8c,1.000,48.75,1.6754,57.2797,0.62,1.79,99.38,1.67
Ah 8d 2c,Kd9c,1.000,21.98,0.18011,13.6571,0.27,-1.51,99.73,0.18
Ah 8d 2c,KdTc,1.000,24.36,0.19757,13.5189,0.30,-1.48,99.70,0.20
Ah 8d 2c,KdJc,1.000,27.74,0.26751,16.0734,0.26,-1.38,99.74,0.27
Ah 8d 2c,KdQc,1.000,32.27,0.4713,24.3427,0.18,-1.21,99.82,0.47
Ah 8d 2c,Kd2d,1.000,41.06,1.92675,78.2136,0.67,2.37,99.33,1.92
Ah 8d 2c,Kd3d,1.000,24.51,0.40948,27.8429,0.53,-1.00,99.47,0.42
