Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,18.22,0.11512,10.5316,1.17,0.61,98.83,0.11
Ah 8d 2c,7c6c,1.000,18.70,0.13133,11.7034,0.97,0.54,99.03,0.13
Ah 8d 2c,8c7c,1.000,49.64,3.82112,128.292,1.21,2.15,98.79,3.84
Ah 8d 2c,9c7c,1.000,18.94,0.79438,69.8969,0.96,0.55,99.04,0.80
Ah 8d 2c,9c8c,1.000,50.56,2.55323,84.1609,0.94,2.10,99.06,2.56
Ah 8d 2c,Tc7c,1.000,16.84,0.00877,0.86765,0.53,0.33,99.47,0.01
Ah 8d 2c,Tc8c,1.000,50.90,2.33343,76.4126,0.88,2.09,99.12,2.34
Ah 8d 2c,Tc9c,1.000,18.56,0.41643,37.3981,0.96,0.52,99.04,0.42
Ah 8d 2c,Jc8c,1.000,51.05,2.23514,72.9693,0.64,2.15,99.36,2.24
Ah 8d 2c,Jc9c,1.000,17.71,0.01491,1.40318,0.57,0.33,99.43,0.01
Ah 8d 2c,JcTc,1.000,19.67,0.28863,24.4582,0.71,0.35,99.29,0.29
Ah 8d 2c,JcTd,1.000,16.12,0.00169,0.17492,0.37,0.06,99.63,0.00
Ah 8d 2c,JcTh,1.000,16.12,0.00166,0.17216,0.37,0.06,99.63,0.00
Ah 8d 2c,JcTs,1.000,16.06,0.00203,0.21022,0.34,0.03,99.66,0.00
Ah 8d 2c,Qc6c,1.000,17.65,0.00148,0.1397,0.30,0.03,99.70,0.00
Ah 8d 2c,Qc7c,1.000,17.99,0.00161,0.14964,0.32,0.05,99.68,0.00
Ah 8d 2c,Qc8c,1.000,51.12,2.32548,75.8196,0.58,2.17,99.42,2.33
Ah 8d 2c,Qc9c,1.000,19.66,0.00281,0.23852,0.45,0.17,99.55,0.00
Ah 8d 2c,QcTc,1.000,21.73,0.02886,2.21316,0.55,0.23,99.45,0.03
Ah 8d 2c,QcJc,1.000,24.77,0.14092,9.48315,0.53,0.23,99.47,0.14
Ah 8d 2c,QcTd,1.000,18.24,0.00037,0.03358,0.33,-0.05,99.67,0.00
Ah 8d 2c,QcJd,1.000,21.51,0.00079,0.06145,0.33,-0.04,99.67,0.00
Ah 8d 2c,QcTh,1.000,18.24,0.00057,0.0523,0.33,-0.04,99.67,0.00
Ah 8d 2c,QcJh,1.000,21.51,0.00084,0.06537,0.34,-0.03,99.66,0.00
Ah 8d 2c,QcTs,1.000,18.17,0.00093,0.08488,0.29,-0.09,99.71,0.00
Ah 8d 2c,QcJs,1.000,21.44,0.00086,0.06648,0.30,-0.07,99.70,0.00
