Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,6c5c,0.988,18.22,0.10929,9.99856,5.41,1.68,2.60,0.71,91.99,0.00
Ah 8d 2c,7c6c,0.990,18.70,0.12733,11.3472,5.40,1.99,3.03,0.65,91.57,0.00
Ah 8d 2c,8c7c,0.988,49.64,3.84165,128.981,77.57,4.29,22.34,2.29,0.09,0.00
Ah 8d 2c,9c7c,0.990,18.94,0.79674,70.1045,35.89,1.52,48.52,0.51,15.59,0.00
Ah 8d 2c,9c8c,0.991,50.56,2.55758,84.3044,33.26,3.28,66.65,2.20,0.09,0.00
Ah 8d 2c,Tc7c,0.995,16.84,0.00707,0.69977,0.43,1.49,0.19,0.35,99.38,0.00
Ah 8d 2c,Tc8c,0.991,50.90,2.33557,76.4827,11.02,3.21,88.88,2.23,0.10,0.00
Ah 8d 2c,Tc9c,0.990,18.56,0.4154,37.3059,14.74,1.17,52.25,0.47,33.01,0.00
Ah 8d 2c,Jc8c,0.994,51.05,2.23571,72.9878,4.21,3.43,95.71,2.19,0.09,0.00
Ah 8d 2c,Jc9c,0.994,17.71,0.01311,1.23369,0.79,1.14,1.11,0.37,98.09,0.00
Ah 8d 2c,JcTc,0.993,19.67,0.28817,24.4194,5.61,1.24,54.11,0.40,40.28,0.00
Ah 8d 2c,JcTd,0.996,16.12,0.00147,0.15231,0.17,0.70,0.20,0.16,99.64,0.00
Ah 8d 2c,JcTh,0.996,16.12,0.00144,0.14864,0.18,0.69,0.13,0.16,99.69,0.00
Ah 8d 2c,JcTs,0.997,16.06,0.00194,0.20118,0.21,0.82,0.07,0.31,99.72,0.00
Ah 8d 2c,Qc6c,0.997,17.65,0.00139,0.13092,0.16,0.87,0.04,0.11,99.81,0.00
Ah 8d 2c,Qc7c,0.997,17.99,0.00146,0.13552,0.17,0.85,0.04,0.08,99.79,0.00
Ah 8d 2c,Qc8c,0.994,51.12,2.3264,75.8494,1.84,3.84,98.07,2.30,0.08,0.00
Ah 8d 2c,Qc9c,0.996,19.66,0.00207,0.17525,0.29,0.66,0.08,0.22,99.63,0.00
