Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,6c5c,0.988,17.63,0.06165,5.8286,5.41,1.14,2.60,0.00,91.99,0.00
Ah 8d 2c,7c6c,0.990,18.38,0.04918,4.46024,5.40,0.91,3.03,0.00,91.57,0.00
Ah 8d 2c,8c7c,0.988,49.77,1.63746,54.8393,77.57,1.63,22.34,1.67,0.09,0.00
Ah 8d 2c,9c7c,0.990,18.72,0.37466,33.3527,35.89,1.03,48.52,0.01,15.59,0.00
Ah 8d 2c,9c8c,0.991,50.78,1.82601,59.9309,33.26,2.24,66.65,1.62,0.09,0.00
Ah 8d 2c,Tc7c,0.995,16.50,0.00261,0.26344,0.43,0.66,0.19,-0.13,99.38,0.00
Ah 8d 2c,Tc8c,0.991,51.09,1.65583,54.0182,11.02,2.22,88.88,1.59,0.10,0.00
Ah 8d 2c,Tc9c,0.990,18.32,0.17625,16.0327,14.74,1.20,52.25,0.00,33.01,0.00
Ah 8d 2c,Jc8c,0.994,51.32,1.71853,55.8055,4.21,2.12,95.71,1.70,0.09,0.00
Ah 8d 2c,Jc9c,0.994,17.98,0.00717,0.66407,0.79,0.96,1.11,-0.04,98.09,0.00
Ah 8d 2c,JcTc,0.993,20.67,0.06499,5.24105,5.61,1.14,54.11,0.00,40.28,0.00
Ah 8d 2c,JcTd,0.996,17.12,0.00049,0.048,0.17,0.65,0.20,-0.30,99.64,0.00
Ah 8d 2c,JcTh,0.996,17.12,0.00072,0.06975,0.18,0.65,0.13,-0.32,99.69,0.00
Ah 8d 2c,JcTs,0.997,17.22,0.00119,0.11502,0.21,0.63,0.07,-0.17,99.72,0.00
Ah 8d 2c,Qc6c,0.997,19.33,0.00008,0.0069,0.16,0.18,0.04,-0.49,99.81,0.00
Ah 8d 2c,Qc7c,0.997,19.76,0.00017,0.01442,0.17,0.22,0.04,-0.47,99.79,0.00
Ah 8d 2c,Qc8c,0.994,51.33,1.7789,57.7621,1.84,1.78,98.07,1.78,0.08,0.00
Ah 8d 2c,Qc9c,0.996,21.71,0.00216,0.16603,0.29,0.83,0.08,-0.25,99.63,0.00
Ah 8d 2c,QcTc,0.995,24.30,0.00201,0.13759,0.33,1.02,5.59,-0.02,94.08,0.00
Ah 8d 2c,QcJc,0.995,28.38,0.00497,0.29204,0.59,0.86,36.02,0.00,63.39,0.00
Ah 8d 2c,QcTd,0.997,20.88,0.00058,0.04665,0.15,0.47,0.04,-0.33,99.81,0.00
Ah 8d 2c,QcJd,0.997,25.34,0.00042,0.02774,0.16,0.34,0.04,-0.28,99.80,0.00
Ah 8d 2c,QcTh,0.997,20.85,0.00059,0.04742,0.15,0.49,0.04,-0.36,99.81,0.00
Ah 8d 2c,QcJh,0.997,25.16,0.00052,0.03431,0.16,0.40,0.04,-0.29,99.79,0.00
Ah 8d 2c,QcTs,0.997,21.03,0.00027,0.02145,0.15,0.24,0.04,-0.21,99.81,0.00
Ah 8d 2c,QcJs,0.997,25.37,0.00028,0.01832,0.15,0.21,0.04,-0.11,99.81,0.00
Ah 8d 2c,Kc3c,0.995,27.68,0.0028,0.16872,0.39,0.79,0.20,-0.15,99.41,0.00
Ah 8d 2c,Kc4c,0.994,28.11,0.00321,0.19034,0.42,0.83,0.22,-0.13,99.35,0.00
Ah 8d 2c,Kc5c,0.995,28.54,0.00285,0.16627,0.40,0.78,0.22,-0.13,99.38,0.00
Ah 8d 2c,Kc6c,0.996,28.03,0.00088,0.0521,0.21,0.50,0.06,-0.30,99.73,0.00
Ah 8d 2c,Kc7c,0.996,28.47,0.00118,0.06889,0.23,0.60,0.07,-0.29,99.69,0.00
Ah 8d 2c,Kc8c,0.993,51.39,1.72773,56.0315,15.39,1.87,84.52,1.70,0.09,0.00
Ah 8d 2c,Kc9c,0.996,29.11,0.00164,0.09367,0.25,0.77,0.12,-0.24,99.64,0.00
Ah 8d 2c,KcTc,0.995,31.04,0.00331,0.17797,0.38,0.87,0.39,-0.01,99.22,0.00
Ah 8d 2c,KcJc,0.996,32.55,0.00386,0.19759,0.46,0.88,27.50,0.00,72.04,0.00
Ah 8d 2c,KcQc,0.998,33.57,0.00381,0.18935,0.47,0.78,46.78,0.00,52.76,0.00
Ah 8d 2c,Kc9d,0.997,25.87,0.00022,0.01444,0.12,0.32,0.03,-0.56,99.85,0.00
Ah 8d 2c,KcTd,0.997,27.93,0.00034,0.02012,0.14,0.34,0.04,-0.35,99.83,0.00
Ah 8d 2c,KcJd,0.997,29.69,0.00036,0.02031,0.14,0.33,0.04,-0.27,99.82,0.00
Ah 8d 2c,KcQd,0.998,30.76,-0.00004,-0.00193,0.13,0.15,0.09,-0.25,99.77,0.00
Ah 8d 2c,Kc8h,0.995,48.60,0.8802,30.1848,0.30,1.35,99.55,0.88,0.15,0.00
Ah 8d 2c,Kc9h,0.997,25.97,0.00024,0.01512,0.12,0.33,0.03,-0.55,99.85,0.00
Ah 8d 2c,KcTh,0.997,27.95,0.00041,0.02461,0.13,0.41,0.04,-0.38,99.83,0.00
Ah 8d 2c,KcJh,0.997,29.33,0.00036,0.02046,0.14,0.34,0.04,-0.31,99.81,0.00
Ah 8d 2c,KcQh,0.998,30.65,0.00033,0.01808,0.14,0.47,0.10,-0.31,99.76,0.00
Ah 8d 2c,Kc8s,0.994,48.93,0.94532,32.2008,6.53,1.17,93.31,0.93,0.16,0.00
Ah 8d 2c,Kc9s,0.997,26.08,0.0003,0.0193,0.13,0.33,0.03,-0.42,99.84,0.00
Ah 8d 2c,KcTs,0.997,28.09,0.00012,0.0072,0.13,0.15,0.04,-0.24,99.83,0.00
Ah 8d 2c,KcJs,0.997,29.76,0.00009,0.00478,0.13,0.10,0.04,-0.12,99.83,0.00
Ah 8d 2c,KcQs,0.998,30.41,-0.00003,-0.00178,0.13,0.06,0.09,-0.12,99.78,0.00
Ah 8d 2c,Ac3c,0.994,65.26,3.28222,83.829,0.82,3.13,99.13,3.28,0.04,0.00
Ah 8d 2c,Ac4c,0.994,65.26,3.28511,83.8937,1.13,3.21,98.82,3.29,0.04,0.00
Ah 8d 2c,Ac5c,0.994,65.30,3.28897,83.9476,1.07,3.11,98.89,3.29,0.04,0.00
Ah 8d 2c,Ac6c,0.994,64.78,3.07099,79.0082,0.11,2.62,99.84,3.07,0.05,0.00
Ah 8d 2c,Ac7c,0.993,64.92,3.08743,79.2606,0.10,2.75,99.86,3.09,0.05,0.00
Ah 8d 2c,Ac8c,0.987,87.18,11.2755,215.565,33.89,10.26,66.10,11.80,0.01,0.00
Ah 8d 2c,Ac9c,0.992,66.10,3.35163,84.5029,0.09,3.30,99.87,3.35,0.04,0.00
Ah 8d 2c,AcTc,0.991,68.09,3.79705,92.9424,0.18,3.65,99.79,3.80,0.03,0.00
Ah 8d 2c,Ac2d,0.990,81.81,8.72776,177.806,8.24,7.70,91.75,8.82,0.01,0.00
Ah 8d 2c,Ac3d,0.996,63.47,2.47868,65.0865,1.02,2.60,98.92,2.48,0.06,0.00
Ah 8d 2c,Ac4d,0.996,63.48,2.48191,65.1636,1.50,2.64,98.44,2.48,0.06,0.00
Ah 8d 2c,Ac5d,0.996,63.50,2.48238,65.15,0.19,2.36,99.75,2.48,0.06,0.00
Ah 8d 2c,Ac6d,0.996,62.90,2.23476,59.2131,0.28,2.01,99.66,2.24,0.07,0.00
Ah 8d 2c,Ac7d,0.995,63.24,2.29795,60.5661,0.08,1.54,99.86,2.30,0.06,0.00
Ah 8d 2c,Ac9d,0.994,64.51,2.59736,67.1091,0.10,2.54,99.84,2.60,0.05,0.00
Ah 8d 2c,AcTd,0.994,66.64,3.09542,77.4127,0.19,2.85,99.77,3.10,0.04,0.00
Ah 8d 2c,AcJd,0.993,70.26,4.2929,101.835,0.34,3.65,99.65,4.30,0.01,0.00
Ah 8d 2c,Ac2h,0.989,81.64,8.65818,176.766,11.80,7.71,88.20,8.79,0.01,0.00
Ah 8d 2c,Ac3h,0.996,63.44,2.46783,64.8368,0.16,2.20,99.77,2.47,0.06,0.00
Ah 8d 2c,Ac4h,0.996,63.44,2.4699,64.8846,0.14,2.27,99.80,2.47,0.06,0.00
Ah 8d 2c,Ac5h,0.996,63.47,2.47356,64.9483,0.64,2.11,99.31,2.48,0.06,0.00
Ah 8d 2c,Ac6h,0.996,62.84,2.21816,58.8316,0.34,2.01,99.59,2.22,0.07,0.00
Ah 8d 2c,Ac7h,0.995,63.03,2.24886,59.4642,0.58,1.92,99.36,2.25,0.07,0.00
Ah 8d 2c,Ac8h,0.989,86.42,11.0026,212.199,18.15,10.05,81.85,11.21,0.01,0.00
Ah 8d 2c,Ac9h,0.995,64.42,2.57574,66.6366,0.10,2.62,99.84,2.58,0.05,0.00
Ah 8d 2c,AcTh,0.994,66.47,3.06287,76.7939,0.17,3.24,99.79,3.06,0.04,0.00
Ah 8d 2c,AcJh,0.993,69.96,4.16218,99.1496,0.34,3.87,99.65,4.16,0.01,0.00
Ah 8d 2c,Ac2s,0.989,81.74,8.63463,176.052,15.27,7.64,84.73,8.82,0.01,0.00
Ah 8d 2c,Ac3s,0.996,63.38,2.43795,64.1074,0.99,2.11,98.95,2.44,0.06,0.00
Ah 8d 2c,Ac4s,0.996,63.39,2.43952,64.1403,1.34,2.15,98.60,2.44,0.06,0.00
Ah 8d 2c,Ac5s,0.996,63.43,2.44454,64.2369,1.69,2.27,98.25,2.45,0.06,0.00
Ah 8d 2c,Ac6s,0.996,62.84,2.19694,58.2669,1.90,2.07,98.04,2.20,0.07,0.00
Ah 8d 2c,Ac7s,0.995,63.08,2.24164,59.2267,1.45,2.26,98.48,2.24,0.07,0.00
Ah 8d 2c,Ac8s,0.990,86.69,11.0403,212.252,28.60,10.39,71.39,11.30,0.01,0.00
Ah 8d 2c,Ac9s,0.994,64.55,2.56061,66.1155,0.89,2.43,99.05,2.56,0.06,0.00
Ah 8d 2c,AcTs,0.993,66.58,3.03062,75.8634,0.55,2.23,99.41,3.04,0.04,0.00
Ah 8d 2c,AcJs,0.993,70.30,4.24848,100.729,0.62,3.27,99.36,4.26,0.02,0.00
Ah 8d 2c,6d6c,0.995,37.96,0.04502,1.97692,0.51,0.99,98.31,0.04,1.18,0.00
Ah 8d 2c,6d5d,0.988,17.70,0.28682,27.0067,26.56,1.08,4.97,0.00,68.47,0.00
Ah 8d 2c,7d7c,0.995,40.53,0.14978,6.15995,0.23,1.00,99.21,0.15,0.56,0.00
Ah 8d 2c,7d6d,0.989,18.39,0.15944,14.4508,19.05,0.84,14.57,0.00,66.38,0.00
Ah 8d 2c,9d9c,0.994,45.14,0.59884,22.1127,0.08,1.37,99.69,0.60,0.22,0.00
Ah 8d 2c,9d7d,0.991,18.74,0.31658,28.1612,28.89,1.05,62.76,0.02,8.34,0.00
Ah 8d 2c,TdTc,0.994,46.74,0.7308,26.0618,0.06,1.26,99.76,0.73,0.19,0.00
Ah 8d 2c,Td7d,0.995,16.50,0.00202,0.20412,0.39,0.61,0.28,-0.12,99.33,0.00
Ah 8d 2c,Td9d,0.990,18.35,0.21442,19.4749,18.95,1.12,67.94,0.00,13.11,0.00
Ah 8d 2c,JdTc,0.996,17.16,0.00062,0.06031,0.17,0.70,0.19,-0.29,99.64,0.00
Ah 8d 2c,Jd9d,0.994,18.00,0.00517,0.47884,0.70,0.93,3.37,-0.04,95.93,0.00
Ah 8d 2c,JdTd,0.993,20.69,0.05006,4.03259,5.00,1.05,65.31,0.00,29.70,0.00
Ah 8d 2c,JdTh,0.996,17.14,0.00055,0.05321,0.16,0.66,0.16,-0.32,99.68,0.00
Ah 8d 2c,JdTs,0.997,17.23,0.00082,0.07941,0.19,0.53,0.12,-0.17,99.68,0.00
Ah 8d 2c,QdTc,0.997,20.90,0.00061,0.04844,0.15,0.48,0.04,-0.30,99.81,0.00
Ah 8d 2c,QdJc,0.997,25.31,0.00045,0.0295,0.16,0.35,0.04,-0.26,99.80,0.00
Ah 8d 2c,Qd6d,0.997,19.36,-0.00017,-0.01439,0.15,0.01,0.04,-0.48,99.81,0.00
Ah 8d 2c,Qd7d,0.997,19.76,-0.00015,-0.01247,0.16,0.02,0.04,-0.44,99.80,0.00
Ah 8d 2c,Qd9d,0.995,21.70,0.00147,0.11265,0.27,0.66,0.13,-0.23,99.60,0.00
Ah 8d 2c,QdTd,0.994,24.31,0.00271,0.18561,0.40,0.89,10.12,-0.01,89.48,0.00
Ah 8d 2c,QdJd,0.994,28.51,0.00499,0.29145,0.63,0.74,65.41,0.00,33.96,0.00
Ah 8d 2c,QdTh,0.997,20.85,0.00055,0.04431,0.15,0.47,0.04,-0.33,99.82,0.00
Ah 8d 2c,QdJh,0.997,25.17,0.00032,0.02087,0.16,0.27,0.04,-0.27,99.80,0.00
Ah 8d 2c,QdTs,0.997,21.03,0.00009,0.00743,0.15,0.11,0.04,-0.18,99.82,0.00
Ah 8d 2c,QdJs,0.997,25.39,0.00003,0.00223,0.15,0.05,0.04,-0.09,99.81,0.00
Ah 8d 2c,Kd8c,0.994,48.81,0.95184,32.5009,13.49,1.09,86.35,0.93,0.16,0.00
Ah 8d 2c,Kd9c,0.997,25.99,0.00029,0.01829,0.12,0.38,0.03,-0.59,99.85,0.00
Ah 8d 2c,KdTc,0.997,27.96,0.00034,0.02019,0.13,0.36,0.04,-0.39,99.83,0.00
Ah 8d 2c,KdJc,0.997,29.44,0.00036,0.02036,0.14,0.36,0.04,-0.34,99.82,0.00
Ah 8d 2c,KdQc,0.998,30.41,0.00013,0.00688,0.12,0.33,0.09,-0.33,99.79,0.00
Ah 8d 2c,Kd2d,0.993,37.39,1.80992,80.6835,63.22,2.10,36.67,1.31,0.11,0.00
Ah 8d 2c,Kd3d,0.995,27.74,0.00175,0.10513,0.30,0.71,0.18,-0.21,99.52,0.00
Ah 8d 2c,Kd4d,0.994,28.18,0.00194,0.11453,0.31,0.73,0.19,-0.19,99.49,0.00
Ah 8d 2c,Kd5d,0.995,28.61,0.00167,0.09738,0.29,0.70,0.19,-0.19,99.52,0.00
Ah 8d 2c,Kd6d,0.996,28.13,0.00061,0.03619,0.17,0.54,0.09,-0.37,99.74,0.00
Ah 8d 2c,Kd7d,0.996,28.49,0.00072,0.04215,0.18,0.59,0.10,-0.35,99.72,0.00
Ah 8d 2c,Kd9d,0.996,29.10,0.00101,0.05804,0.21,0.67,0.14,-0.28,99.65,0.00
Ah 8d 2c,KdTd,0.995,30.99,0.00213,0.11477,0.30,0.78,0.60,-0.04,99.10,0.00
Ah 8d 2c,KdJd,0.996,32.51,0.00271,0.13872,0.39,0.73,22.84,0.00,76.78,0.00
Ah 8d 2c,KdQd,0.998,33.43,0.00259,0.12918,0.39,0.65,50.78,0.00,48.84,0.00
Ah 8d 2c,Kd8h,0.994,48.43,0.84971,29.2435,0.30,1.41,99.55,0.85,0.15,0.00
Ah 8d 2c,Kd9h,0.997,26.00,0.00019,0.0125,0.12,0.31,0.03,-0.59,99.85,0.00
Ah 8d 2c,KdTh,0.997,27.92,0.00037,0.02197,0.13,0.40,0.03,-0.42,99.84,0.00
Ah 8d 2c,KdJh,0.997,29.15,0.00037,0.02121,0.14,0.37,0.04,-0.34,99.82,0.00
Ah 8d 2c,KdQh,0.998,30.38,0.00028,0.01552,0.13,0.47,0.10,-0.36,99.77,0.00
Ah 8d 2c,Kd8s,0.994,48.76,0.92088,31.4798,11.92,1.06,87.91,0.90,0.16,0.00
Ah 8d 2c,Kd9s,0.998,26.11,0.00025,0.01589,0.12,0.31,0.03,-0.46,99.84,0.00
Ah 8d 2c,KdTs,0.997,28.05,0.00017,0.01014,0.13,0.21,0.03,-0.28,99.84,0.00
Ah 8d 2c,KdJs,0.997,29.58,0.0002,0.01101,0.13,0.20,0.04,-0.16,99.84,0.00
Ah 8d 2c,KdQs,0.998,30.14,0.00005,0.00275,0.12,0.15,0.09,-0.17,99.79,0.00
Ah 8d 2c,Ad3c,0.996,63.42,2.44779,64.3277,0.47,2.57,99.47,2.45,0.06,0.00
Ah 8d 2c,Ad4c,0.996,63.42,2.45131,64.4157,1.20,2.63,98.74,2.45,0.06,0.00
Ah 8d 2c,Ad5c,0.996,63.46,2.45424,64.4568,0.57,2.56,99.37,2.46,0.06,0.00
Ah 8d 2c,Ad6c,0.996,62.90,2.20419,58.4055,0.11,2.10,99.83,2.21,0.07,0.00
Ah 8d 2c,Ad7c,0.995,63.08,2.23331,59.0037,0.08,2.11,99.86,2.23,0.07,0.00
Ah 8d 2c,Ad8c,0.988,86.50,10.7714,207.536,31.12,9.84,68.87,11.19,0.01,0.00
Ah 8d 2c,Ad9c,0.994,64.48,2.58627,66.8543,0.10,2.67,99.84,2.59,0.05,0.00
Ah 8d 2c,AdTc,0.994,66.52,3.06603,76.8173,0.18,2.97,99.78,3.07,0.04,0.00
Ah 8d 2c,AdJc,0.993,70.17,4.27505,101.546,0.32,3.76,99.66,4.28,0.01,0.00
Ah 8d 2c,Ad2d,0.988,82.14,8.95473,181.706,21.44,8.15,78.55,9.18,0.01,0.00
Ah 8d 2c,Ad3d,0.994,65.17,3.24084,82.8838,1.42,3.08,98.54,3.24,0.05,0.00
Ah 8d 2c,Ad4d,0.994,65.17,3.24272,82.9254,1.44,3.11,98.52,3.25,0.05,0.00
Ah 8d 2c,Ad5d,0.994,65.19,3.24375,82.9262,1.09,2.89,98.86,3.25,0.04,0.00
Ah 8d 2c,Ad6d,0.994,64.64,3.02072,77.8877,0.20,2.57,99.75,3.02,0.05,0.00
Ah 8d 2c,Ad7d,0.993,64.95,3.0757,78.9279,0.10,2.27,99.86,3.08,0.05,0.00
Ah 8d 2c,Ad9d,0.992,66.09,3.362,84.7781,0.39,3.14,99.56,3.36,0.04,0.00
Ah 8d 2c,AdTd,0.991,68.03,3.79354,92.9405,0.18,3.40,99.78,3.80,0.03,0.00
Ah 8d 2c,Ad2h,0.990,81.31,8.56549,175.579,3.51,7.85,96.49,8.59,0.00,0.00
Ah 8d 2c,Ad3h,0.996,63.39,2.43769,64.0926,0.27,2.18,99.67,2.44,0.06,0.00
Ah 8d 2c,Ad4h,0.996,63.39,2.43922,64.1295,0.21,2.23,99.73,2.44,0.06,0.00
Ah 8d 2c,Ad5h,0.996,63.42,2.443,64.199,0.51,2.11,99.43,2.45,0.06,0.00
Ah 8d 2c,Ad6h,0.996,62.79,2.18221,57.928,0.41,2.06,99.53,2.18,0.07,0.00
Ah 8d 2c,Ad7h,0.995,62.98,2.21281,58.5553,0.08,1.98,99.86,2.21,0.07,0.00
Ah 8d 2c,Ad8h,0.988,86.20,10.8284,209.361,21.91,9.82,78.09,11.11,0.01,0.00
Ah 8d 2c,Ad9h,0.994,64.42,2.57424,66.5978,0.10,2.62,99.84,2.58,0.05,0.00
Ah 8d 2c,AdTh,0.994,66.40,3.04172,76.3527,0.16,3.13,99.80,3.04,0.04,0.00
Ah 8d 2c,AdJh,0.993,69.86,4.12515,98.4113,0.33,3.82,99.66,4.13,0.01,0.00
Ah 8d 2c,Ad2s,0.990,81.41,8.58018,175.649,5.17,7.84,94.83,8.62,0.00,0.00
Ah 8d 2c,Ad3s,0.996,63.33,2.41016,63.4241,0.63,2.11,99.31,2.41,0.06,0.00
Ah 8d 2c,Ad4s,0.996,63.34,2.41124,63.4475,0.89,2.15,99.05,2.42,0.06,0.00
Ah 8d 2c,Ad5s,0.996,63.37,2.41556,63.5289,1.25,2.24,98.69,2.42,0.06,0.00
Ah 8d 2c,Ad6s,0.996,62.79,2.16341,57.4267,1.53,2.10,98.40,2.17,0.07,0.00
Ah 8d 2c,Ad7s,0.995,63.03,2.2045,58.2896,0.30,2.18,99.63,2.21,0.07,0.00
Ah 8d 2c,Ad8s,0.989,86.47,10.8821,209.735,29.07,10.11,70.92,11.20,0.01,0.00
Ah 8d 2c,Ad9s,0.994,64.55,2.56245,66.1656,0.32,2.47,99.62,2.56,0.05,0.00
Ah 8d 2c,AdTs,0.993,66.50,3.01208,75.493,0.58,2.21,99.38,3.02,0.04,0.00
Ah 8d 2c,AdJs,0.993,70.19,4.21439,100.069,0.52,3.22,99.47,4.22,0.02,0.00
Ah 8d 2c,6h6c,0.995,37.92,0.02533,1.11353,0.55,0.96,98.07,0.02,1.38,0.00
Ah 8d 2c,6h6d,0.995,37.90,0.01752,0.77067,0.57,0.98,98.01,0.01,1.42,0.00
Ah 8d 2c,6h5h,0.986,17.89,0.28919,26.9465,26.13,1.11,12.46,0.00,61.41,0.00
Ah 8d 2c,7h7c,0.994,40.61,0.1133,4.65053,0.27,0.97,99.02,0.11,0.71,0.00
Ah 8d 2c,7h7d,0.995,40.44,0.11893,4.90199,0.24,0.96,99.13,0.12,0.63,0.00
Ah 8d 2c,7h6h,0.988,18.63,0.44765,40.0576,43.19,1.04,14.85,0.00,41.96,0.00
Ah 8d 2c,8h8c,0.984,94.36,19.3547,341.848,91.93,19.30,8.07,19.97,0.00,0.00
