Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,6c5c,0.988,17.63,-0.12501,-11.82,5.41,-2.31,2.60,0.00,91.99,0.00
Ah 8d 2c,7c6c,0.990,18.38,-0.12412,-11.2577,5.40,-2.30,3.03,0.00,91.57,0.00
Ah 8d 2c,8c7c,0.988,49.77,2.94284,98.5572,77.57,3.31,22.34,1.67,0.09,0.00
Ah 8d 2c,9c7c,0.990,18.72,-0.84646,-75.3526,35.89,-2.37,48.52,0.01,15.59,0.00
Ah 8d 2c,9c8c,0.991,50.78,2.05833,67.556,33.26,2.94,66.65,1.62,0.09,0.00
Ah 8d 2c,Tc7c,0.995,16.50,-0.01175,-1.18677,0.43,-2.67,0.19,-0.13,99.38,0.00
Ah 8d 2c,Tc8c,0.991,51.09,1.34058,43.7338,11.02,-0.64,88.88,1.59,0.10,0.00
Ah 8d 2c,Tc9c,0.990,18.32,-0.37524,-34.1337,14.74,-2.54,52.25,0.00,33.01,0.00
Ah 8d 2c,Jc8c,0.994,51.32,1.6242,52.7423,4.21,-0.12,95.71,1.70,0.09,0.00
Ah 8d 2c,Jc9c,0.994,17.98,-0.02181,-2.02118,0.79,-2.69,1.11,-0.04,98.09,0.00
Ah 8d 2c,JcTc,0.993,20.67,-0.14376,-11.5924,5.61,-2.58,54.11,0.00,40.28,0.00
Ah 8d 2c,JcTd,0.996,17.12,-0.0056,-0.54486,0.17,-3.00,0.20,-0.30,99.64,0.00
Ah 8d 2c,JcTh,0.996,17.12,-0.00586,-0.57023,0.18,-3.06,0.13,-0.32,99.69,0.00
Ah 8d 2c,JcTs,0.997,17.22,-0.00675,-0.65315,0.21,-3.18,0.07,-0.17,99.72,0.00
Ah 8d 2c,Qc6c,0.997,19.33,-0.00545,-0.46971,0.16,-3.39,0.04,-0.49,99.81,0.00
Ah 8d 2c,Qc7c,0.997,19.76,-0.00565,-0.47655,0.17,-3.25,0.04,-0.47,99.79,0.00
Ah 8d 2c,Qc8c,0.994,51.33,1.80516,58.6146,1.84,3.21,98.07,1.78,0.08,0.00
Ah 8d 2c,Qc9c,0.996,21.71,-0.00919,-0.70543,0.29,-3.14,0.08,-0.25,99.63,0.00
Ah 8d 2c,QcTc,0.995,24.30,-0.01066,-0.73075,0.33,-2.88,5.59,-0.02,94.08,0.00
Ah 8d 2c,QcJc,0.995,28.38,-0.0166,-0.9745,0.59,-2.80,36.02,0.00,63.39,0.00
Ah 8d 2c,QcTd,0.997,20.88,-0.00529,-0.42225,0.15,-3.40,0.04,-0.33,99.81,0.00
Ah 8d 2c,QcJd,0.997,25.34,-0.0056,-0.36816,0.16,-3.43,0.04,-0.28,99.80,0.00
Ah 8d 2c,QcTh,0.997,20.85,-0.00525,-0.41973,0.15,-3.42,0.04,-0.36,99.81,0.00
Ah 8d 2c,QcJh,0.997,25.16,-0.0057,-0.37792,0.16,-3.41,0.04,-0.29,99.79,0.00
