Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2s,6c5c,1.000,15.42,1.13638,122.803,51.98,1.14,48.02,1.14
Ah 8d 2s,7c5c,1.000,16.08,1.10493,114.524,43.19,1.11,56.81,1.10
Ah 8d 2s,7c6c,1.000,16.05,1.0714,111.256,63.63,1.07,36.37,1.07
Ah 8d 2s,8c6c,1.000,48.73,2.5077,85.7612,59.63,2.51,40.37,2.51
Ah 8d 2s,8c7c,1.000,49.05,2.54962,86.6292,56.89,2.55,43.11,2.55
Ah 8d 2s,9c6c,1.000,15.28,0.88739,96.7771,21.11,0.89,78.89,0.89
Ah 8d 2s,9c7c,1.000,16.97,1.05832,103.942,53.73,1.06,46.27,1.06
Ah 8d 2s,9c8c,1.000,50.40,2.60398,86.1172,56.48,2.60,43.52,2.60
Ah 8d 2s,9c8h,1.000,50.48,2.62928,86.8049,48.65,2.63,51.35,2.63
Ah 8d 2s,9c8s,1.000,50.50,2.63447,86.9503,51.45,2.63,48.55,2.63
Ah 8d 2s,Tc7c,1.000,14.61,0.7514,85.7022,24.24,0.75,75.76,0.75
Ah 8d 2s,Tc8c,1.000,50.96,2.56614,83.927,41.51,2.57,58.49,2.57
Ah 8d 2s,Tc9c,1.000,16.95,0.93659,92.1056,53.16,0.94,46.84,0.94
Ah 8d 2s,Tc9d,1.000,16.90,0.97547,96.1838,75.61,0.98,24.39,0.97
Ah 8d 2s,Tc8h,1.000,51.06,2.58775,84.4605,33.04,2.59,66.96,2.59
Ah 8d 2s,Tc9h,1.000,16.92,0.97816,96.3315,75.41,0.98,24.59,0.98
Ah 8d 2s,Tc8s,1.000,51.08,2.59474,84.6596,35.47,2.59,64.53,2.59
Ah 8d 2s,Tc9s,1.000,16.92,0.97479,96.0292,72.12,0.97,27.88,0.97
Ah 8d 2s,Jc7c,1.000,14.19,0.56871,66.7808,19.49,0.57,80.51,0.57
Ah 8d 2s,Jc8c,1.000,51.11,2.62209,85.5042,65.39,2.62,34.61,2.62
Ah 8d 2s,Jc9c,1.000,16.49,0.75201,76.022,69.06,0.75,30.94,0.75
Ah 8d 2s,JcTc,1.000,18.68,0.89298,79.6586,60.87,0.89,39.13,0.89
Ah 8d 2s,Jc9d,1.000,16.47,0.78461,79.3758,70.77,0.78,29.23,0.78
Ah 8d 2s,JcTd,1.000,18.80,0.93202,82.6231,66.35,0.93,33.65,0.93
Ah 8d 2s,Jc8h,1.000,51.23,2.64296,85.9892,51.47,2.64,48.53,2.64
Ah 8d 2s,Jc9h,1.000,16.51,0.7889,79.6566,74.90,0.79,25.10,0.79
Ah 8d 2s,JcTh,1.000,18.83,0.93522,82.7859,62.39,0.94,37.61,0.93
Ah 8d 2s,Jc8s,1.000,51.25,2.65029,86.1952,55.92,2.65,44.08,2.65
Ah 8d 2s,Jc9s,1.000,16.50,0.78463,79.2728,69.23,0.78,30.77,0.79
Ah 8d 2s,JcTs,1.000,18.83,0.93132,82.4495,63.88,0.93,36.12,0.93
Ah 8d 2s,Qc7c,1.000,16.65,0.48067,48.1089,1.35,0.41,98.65,0.48
Ah 8d 2s,Qc8c,1.000,51.54,2.73975,88.5928,76.47,2.74,23.53,2.74
Ah 8d 2s,Qc9c,1.000,18.87,0.56774,50.1443,51.11,0.57,48.89,0.57
Ah 8d 2s,QcTc,1.000,21.23,0.68826,54.0397,28.92,0.69,71.08,0.69
