Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2s,6c5c,1.000,15.47,0.48753,52.5284,19.66,0.49,80.34,0.49
Ah 8d 2s,7c5c,1.000,16.19,0.47221,48.6152,13.41,0.47,86.59,0.47
Ah 8d 2s,7c6c,1.000,16.19,0.44857,46.1748,16.00,0.45,84.00,0.45
Ah 8d 2s,8c6c,1.000,48.81,1.73444,59.2248,17.93,1.73,82.07,1.73
Ah 8d 2s,8c7c,1.000,49.13,1.73511,58.8606,21.26,1.73,78.74,1.74
Ah 8d 2s,9c6c,1.000,15.44,0.3633,39.2199,1.56,0.28,98.44,0.36
Ah 8d 2s,9c7c,1.000,17.11,0.42116,41.0272,15.09,0.42,84.91,0.42
Ah 8d 2s,9c8c,1.000,50.46,1.75994,58.1272,6.28,1.74,93.72,1.76
Ah 8d 2s,9c8h,1.000,50.55,1.78403,58.8164,9.28,1.78,90.72,1.78
Ah 8d 2s,9c8s,1.000,50.57,1.78836,58.9431,9.16,1.79,90.84,1.79
Ah 8d 2s,Tc7c,1.000,14.77,0.31463,35.4998,1.02,0.19,98.98,0.32
Ah 8d 2s,Tc8c,1.000,51.01,1.79539,58.6656,2.47,1.75,97.53,1.80
Ah 8d 2s,Tc9c,1.000,17.09,0.36193,35.2966,8.92,0.37,91.08,0.36
Ah 8d 2s,Tc9d,1.000,17.04,0.37477,36.6603,5.40,0.36,94.60,0.38
Ah 8d 2s,Tc8h,1.000,51.11,1.8152,59.1896,3.01,1.78,96.99,1.82
Ah 8d 2s,Tc9h,1.000,17.05,0.3774,36.8838,6.75,0.37,93.25,0.38
Ah 8d 2s,Tc8s,1.000,51.13,1.81865,59.283,3.15,1.79,96.85,1.82
Ah 8d 2s,Tc9s,1.000,17.05,0.375,36.6511,5.73,0.36,94.27,0.38
Ah 8d 2s,Jc7c,1.000,14.41,0.23435,27.1099,0.63,0.04,99.37,0.24
Ah 8d 2s,Jc8c,1.000,51.15,1.82154,59.3558,4.97,1.81,95.03,1.82
Ah 8d 2s,Jc9c,1.000,16.70,0.27146,27.0944,1.88,0.22,98.12,0.27
Ah 8d 2s,JcTc,1.000,18.97,0.33192,29.158,2.61,0.30,97.39,0.33
Ah 8d 2s,Jc9d,1.000,16.65,0.28196,28.2198,1.53,0.20,98.47,0.28
Ah 8d 2s,JcTd,1.000,19.05,0.34424,30.1203,2.45,0.29,97.55,0.35
Ah 8d 2s,Jc8h,1.000,51.26,1.84229,59.8964,6.81,1.84,93.19,1.84
Ah 8d 2s,Jc9h,1.000,16.67,0.28457,28.447,1.69,0.21,98.31,0.29
Ah 8d 2s,JcTh,1.000,19.07,0.34585,30.2247,2.73,0.30,97.27,0.35
Ah 8d 2s,Jc8s,1.000,51.28,1.84671,60.0185,6.74,1.84,93.26,1.85
Ah 8d 2s,Jc9s,1.000,16.67,0.28289,28.2806,1.57,0.20,98.43,0.28
Ah 8d 2s,JcTs,1.000,19.07,0.34491,30.1426,2.64,0.29,97.36,0.35
Ah 8d 2s,Qc7c,1.000,16.96,0.20432,20.0845,0.42,-0.09,99.58,0.21
Ah 8d 2s,Qc8c,1.000,51.56,1.88657,60.9788,5.17,1.88,94.83,1.89
Ah 8d 2s,Qc9c,1.000,19.19,0.23053,20.0246,0.61,0.03,99.39,0.23
Ah 8d 2s,QcTc,1.000,21.59,0.28209,21.7762,0.78,0.13,99.22,0.28
Ah 8d 2s,QcJc,1.000,24.79,0.27953,18.7938,0.86,0.14,99.14,0.28
Ah 8d 2s,Qc9d,1.000,19.15,0.23673,20.6044,0.60,0.02,99.40,0.24
Ah 8d 2s,QcTd,1.000,21.66,0.29256,22.5101,0.82,0.13,99.18,0.29
Ah 8d 2s,QcJd,1.000,24.85,0.28583,19.1715,1.08,0.18,98.92,0.29
Ah 8d 2s,Qc8h,1.000,51.69,1.90805,61.5211,6.17,1.90,93.83,1.91
Ah 8d 2s,Qc9h,1.000,19.18,0.23927,20.7891,0.63,0.03,99.37,0.24
Ah 8d 2s,QcTh,1.000,21.70,0.29326,22.5244,0.86,0.14,99.14,0.29
Ah 8d 2s,QcJh,1.000,24.98,0.2903,19.3705,1.36,0.21,98.64,0.29
Ah 8d 2s,Qc8s,1.000,51.71,1.91153,61.6078,6.19,1.90,93.81,1.91
Ah 8d 2s,Qc9s,1.000,19.18,0.23822,20.6989,0.60,0.02,99.40,0.24
Ah 8d 2s,QcTs,1.000,21.70,0.29253,22.4681,0.85,0.14,99.15,0.29
Ah 8d 2s,QcJs,1.000,24.90,0.28668,19.1904,1.12,0.19,98.88,0.29
Ah 8d 2s,Kc2c,1.000,43.82,1.6598,63.1337,5.27,1.66,94.73,1.66
Ah 8d 2s,Kc3c,1.000,25.37,0.23766,15.6145,0.54,0.00,99.46,0.24
Ah 8d 2s,Kc4c,1.000,25.39,0.24306,15.9557,0.55,0.01,99.45,0.24
Ah 8d 2s,Kc5c,1.000,25.52,0.22848,14.92,0.48,-0.04,99.52,0.23
Ah 8d 2s,Kc6c,1.000,24.82,0.17569,11.7987,0.34,-0.19,99.66,0.18
Ah 8d 2s,Kc7c,1.000,25.76,0.15887,10.2774,0.35,-0.20,99.65,0.16
Ah 8d 2s,Kc8c,1.000,51.86,1.97051,63.3304,2.80,1.93,97.20,1.97
Ah 8d 2s,Kc9c,1.000,27.82,0.17923,10.7382,0.34,-0.19,99.66,0.18
Ah 8d 2s,KcTc,1.000,30.58,0.23312,12.7067,0.34,-0.13,99.66,0.23
Ah 8d 2s,KcJc,1.000,33.75,0.33797,16.6888,0.30,-0.08,99.70,0.34
Ah 8d 2s,KcQc,1.000,36.88,0.50893,23.0015,0.21,-0.10,99.79,0.51
Ah 8d 2s,Kc7d,1.000,25.70,0.16156,10.4761,0.33,-0.22,99.67,0.16
Ah 8d 2s,Kc9d,1.000,27.78,0.18246,10.9447,0.34,-0.20,99.66,0.18
Ah 8d 2s,KcTd,1.000,30.62,0.24289,13.2199,0.33,-0.14,99.67,0.24
Ah 8d 2s,KcJd,1.000,33.79,0.34362,16.9507,0.31,-0.07,99.69,0.34
Ah 8d 2s,KcQd,1.000,36.90,0.51156,23.1064,0.23,-0.06,99.77,0.51
Ah 8d 2s,Kc7h,1.000,25.75,0.16307,10.553,0.33,-0.22,99.67,0.16
Ah 8d 2s,Kc8h,1.000,52.00,1.99457,63.9259,3.03,1.96,96.97,2.00
Ah 8d 2s,Kc9h,1.000,27.86,0.18311,10.9549,0.35,-0.19,99.65,0.18
Ah 8d 2s,KcTh,1.000,30.70,0.24424,13.2586,0.34,-0.13,99.66,0.25
Ah 8d 2s,KcJh,1.000,34.00,0.34995,17.1557,0.33,-0.03,99.67,0.35
Ah 8d 2s,KcQh,1.000,37.00,0.51488,23.1926,0.23,-0.05,99.77,0.52
Ah 8d 2s,Kc7s,1.000,25.75,0.16215,10.4937,0.33,-0.22,99.67,0.16
Ah 8d 2s,Kc8s,1.000,52.03,1.99747,63.9878,3.22,1.97,96.78,2.00
Ah 8d 2s,Kc9s,1.000,27.86,0.18244,10.9153,0.34,-0.20,99.66,0.18
Ah 8d 2s,KcTs,1.000,30.70,0.24283,13.1822,0.34,-0.14,99.66,0.24
Ah 8d 2s,KcJs,1.000,33.88,0.34547,16.9966,0.31,-0.06,99.69,0.35
Ah 8d 2s,KcQs,1.000,37.00,0.51507,23.2013,0.23,-0.06,99.77,0.52
Ah 8d 2s,Ac2c,1.000,86.12,7.67987,148.627,13.92,7.68,86.08,7.68
Ah 8d 2s,Ac3c,1.000,73.67,4.29068,97.0676,2.05,4.26,97.95,4.29
Ah 8d 2s,Ac4c,1.000,73.78,4.31624,97.4995,2.31,4.29,97.69,4.32
Ah 8d 2s,Ac5c,1.000,74.40,4.38386,98.2003,2.22,4.35,97.78,4.38
Ah 8d 2s,Ac6c,1.000,74.88,4.43569,98.7284,1.59,4.37,98.41,4.44
Ah 8d 2s,Ac7c,1.000,76.65,4.7759,103.849,1.67,4.71,98.33,4.78
Ah 8d 2s,Ac8c,1.000,93.04,11.147,199.675,22.52,11.15,77.48,11.15
Ah 8d 2s,Ac9c,1.000,81.01,5.8335,120.015,6.68,5.83,93.32,5.83
Ah 8d 2s,AcTc,1.000,83.04,6.36129,127.669,6.54,6.35,93.46,6.36
Ah 8d 2s,AcJc,1.000,85.29,7.01153,137.014,17.63,7.01,82.37,7.01
Ah 8d 2s,AcQc,1.000,86.12,7.38395,142.894,39.04,7.38,60.96,7.38
Ah 8d 2s,AcKc,1.000,86.28,7.56802,146.187,64.97,7.57,35.03,7.57
Ah 8d 2s,Ac2d,1.000,86.14,7.67522,148.498,10.47,7.67,89.53,7.68
Ah 8d 2s,Ac3d,1.000,73.77,4.32092,97.6174,1.39,4.25,98.61,4.32
Ah 8d 2s,Ac4d,1.000,73.88,4.34617,98.0419,1.51,4.28,98.49,4.35
Ah 8d 2s,Ac5d,1.000,74.52,4.4175,98.8022,1.73,4.37,98.27,4.42
Ah 8d 2s,Ac6d,1.000,75.01,4.47566,99.4436,1.39,4.41,98.61,4.48
Ah 8d 2s,Ac7d,1.000,76.82,4.81973,104.564,1.58,4.76,98.42,4.82
Ah 8d 2s,Ac9d,1.000,81.20,5.89902,121.085,4.17,5.88,95.83,5.90
Ah 8d 2s,AcTd,1.000,83.23,6.41249,128.414,8.97,6.41,91.03,6.41
Ah 8d 2s,AcJd,1.000,85.31,7.03737,137.481,15.48,7.04,84.52,7.04
Ah 8d 2s,AcQd,1.000,86.29,7.42693,143.454,30.16,7.43,69.84,7.43
Ah 8d 2s,AcKd,1.000,86.54,7.60368,146.437,26.25,7.60,73.75,7.60
