Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2s,6c5c,1.000,15.47,0.52478,56.5419,19.66,0.68,80.34,0.49
Ah 8d 2s,7c5c,1.000,16.19,0.50347,51.8344,13.41,0.71,86.59,0.47
Ah 8d 2s,7c6c,1.000,16.19,0.49775,51.2372,16.00,0.75,84.00,0.45
Ah 8d 2s,8c6c,1.000,48.81,1.76601,60.3026,17.93,1.91,82.07,1.73
Ah 8d 2s,8c7c,1.000,49.13,1.74471,59.1862,21.26,1.78,78.74,1.74
Ah 8d 2s,9c6c,1.000,15.44,0.37005,39.9485,1.56,0.71,98.44,0.36
Ah 8d 2s,9c7c,1.000,17.11,0.47175,45.9555,15.09,0.76,84.91,0.42
Ah 8d 2s,9c8c,1.000,50.46,1.75622,58.0041,6.28,1.68,93.72,1.76
Ah 8d 2s,9c8h,1.000,50.55,1.77335,58.4644,9.28,1.67,90.72,1.78
Ah 8d 2s,9c8s,1.000,50.57,1.77929,58.6442,9.16,1.69,90.84,1.79
Ah 8d 2s,Tc7c,1.000,14.77,0.32093,36.2105,1.02,0.81,98.98,0.32
Ah 8d 2s,Tc8c,1.000,51.01,1.8069,59.0416,2.47,2.22,97.53,1.80
Ah 8d 2s,Tc9c,1.000,17.09,0.38972,38.0074,8.92,0.68,91.08,0.36
Ah 8d 2s,Tc9d,1.000,17.04,0.40487,39.6045,5.40,0.92,94.60,0.38
Ah 8d 2s,Tc8h,1.000,51.11,1.82814,59.6114,3.01,2.21,96.99,1.82
Ah 8d 2s,Tc9h,1.000,17.05,0.41489,40.5473,6.75,0.93,93.25,0.38
Ah 8d 2s,Tc8s,1.000,51.13,1.83188,59.7143,3.15,2.21,96.85,1.82
Ah 8d 2s,Tc9s,1.000,17.05,0.4059,39.6706,5.73,0.90,94.27,0.38
Ah 8d 2s,Jc7c,1.000,14.41,0.23763,27.4899,0.63,0.56,99.37,0.24
Ah 8d 2s,Jc8c,1.000,51.15,1.83705,59.8615,4.97,2.12,95.03,1.82
Ah 8d 2s,Jc9c,1.000,16.70,0.27851,27.7989,1.88,0.60,98.12,0.27
Ah 8d 2s,JcTc,1.000,18.97,0.34071,29.9299,2.61,0.63,97.39,0.33
Ah 8d 2s,Jc9d,1.000,16.65,0.29019,29.0427,1.53,0.73,98.47,0.28
Ah 8d 2s,JcTd,1.000,19.05,0.35436,31.0055,2.45,0.70,97.55,0.35
Ah 8d 2s,Jc8h,1.000,51.26,1.85729,60.3839,6.81,2.06,93.19,1.84
Ah 8d 2s,Jc9h,1.000,16.67,0.29448,29.4381,1.69,0.80,98.31,0.29
Ah 8d 2s,JcTh,1.000,19.07,0.35781,31.2695,2.73,0.74,97.27,0.35
Ah 8d 2s,Jc8s,1.000,51.28,1.8626,60.5347,6.74,2.08,93.26,1.85
Ah 8d 2s,Jc9s,1.000,16.67,0.29119,29.1104,1.57,0.73,98.43,0.28
Ah 8d 2s,JcTs,1.000,19.07,0.35628,31.1358,2.64,0.72,97.36,0.35
Ah 8d 2s,Qc7c,1.000,16.96,0.20695,20.3435,0.42,0.54,99.58,0.21
Ah 8d 2s,Qc8c,1.000,51.56,1.89101,61.1224,5.17,1.96,94.83,1.89
Ah 8d 2s,Qc9c,1.000,19.19,0.23386,20.3139,0.61,0.57,99.39,0.23
Ah 8d 2s,QcTc,1.000,21.59,0.28576,22.0602,0.78,0.60,99.22,0.28
Ah 8d 2s,QcJc,1.000,24.79,0.28223,18.9751,0.86,0.46,99.14,0.28
Ah 8d 2s,Qc9d,1.000,19.15,0.2407,20.95,0.60,0.68,99.40,0.24
Ah 8d 2s,QcTd,1.000,21.66,0.29706,22.8568,0.82,0.68,99.18,0.29
Ah 8d 2s,QcJd,1.000,24.85,0.2907,19.4985,1.08,0.63,98.92,0.29
Ah 8d 2s,Qc8h,1.000,51.69,1.91067,61.6054,6.17,1.94,93.83,1.91
Ah 8d 2s,Qc9h,1.000,19.18,0.24357,21.1628,0.63,0.71,99.37,0.24
Ah 8d 2s,QcTh,1.000,21.70,0.298,22.8885,0.86,0.69,99.14,0.29
Ah 8d 2s,QcJh,1.000,24.98,0.29551,19.7181,1.36,0.59,98.64,0.29
Ah 8d 2s,Qc8s,1.000,51.71,1.91471,61.7102,6.19,1.95,93.81,1.91
Ah 8d 2s,Qc9s,1.000,19.18,0.2423,21.0528,0.60,0.69,99.40,0.24
Ah 8d 2s,QcTs,1.000,21.70,0.29717,22.8252,0.85,0.69,99.15,0.29
Ah 8d 2s,QcJs,1.000,24.90,0.29169,19.526,1.12,0.63,98.88,0.29
Ah 8d 2s,Kc2c,1.000,43.82,1.64788,62.6805,5.27,1.44,94.73,1.66
Ah 8d 2s,Kc3c,1.000,25.37,0.23948,15.7345,0.54,0.34,99.46,0.24
Ah 8d 2s,Kc4c,1.000,25.39,0.24482,16.0718,0.55,0.33,99.45,0.24
Ah 8d 2s,Kc5c,1.000,25.52,0.23053,15.0539,0.48,0.39,99.52,0.23
Ah 8d 2s,Kc6c,1.000,24.82,0.17804,11.9567,0.34,0.50,99.66,0.18
Ah 8d 2s,Kc7c,1.000,25.76,0.16135,10.4377,0.35,0.51,99.65,0.16
