Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2s,6c5c,1.000,15.47,0.10358,11.1604,19.66,0.49,80.34,0.01
Ah 8d 2s,7c5c,1.000,16.19,0.07124,7.33445,13.41,0.47,86.59,0.01
Ah 8d 2s,7c6c,1.000,16.19,0.07984,8.21887,16.00,0.45,84.00,0.01
Ah 8d 2s,8c6c,1.000,48.81,1.75477,59.9188,17.93,1.73,82.07,1.76
Ah 8d 2s,8c7c,1.000,49.13,1.84423,62.5625,21.26,1.73,78.74,1.87
Ah 8d 2s,9c6c,1.000,15.44,0.0065,0.70132,1.56,0.28,98.44,0.00
Ah 8d 2s,9c7c,1.000,17.11,0.14325,13.9544,15.09,0.42,84.91,0.09
Ah 8d 2s,9c8c,1.000,50.46,1.49927,49.5177,6.28,1.74,93.72,1.48
Ah 8d 2s,9c8h,1.000,50.55,1.67958,55.3728,9.28,1.78,90.72,1.67
Ah 8d 2s,9c8s,1.000,50.57,1.67354,55.1586,9.16,1.79,90.84,1.66
Ah 8d 2s,Tc7c,1.000,14.77,0.00284,0.32063,1.02,0.19,98.98,0.00
Ah 8d 2s,Tc8c,1.000,51.01,1.65244,53.9946,2.47,1.75,97.53,1.65
Ah 8d 2s,Tc9c,1.000,17.09,0.06902,6.73122,8.92,0.37,91.08,0.04
Ah 8d 2s,Tc9d,1.000,17.04,0.02279,2.22976,5.40,0.36,94.60,0.00
Ah 8d 2s,Tc8h,1.000,51.11,1.66728,54.3663,3.01,1.78,96.99,1.66
Ah 8d 2s,Tc9h,1.000,17.05,0.02846,2.78178,6.75,0.37,93.25,0.00
Ah 8d 2s,Tc8s,1.000,51.13,1.68714,54.9962,3.15,1.79,96.85,1.68
Ah 8d 2s,Tc9s,1.000,17.05,0.02447,2.39181,5.73,0.36,94.27,0.00
Ah 8d 2s,Jc7c,1.000,14.41,0.00049,0.05655,0.63,0.04,99.37,0.00
Ah 8d 2s,Jc8c,1.000,51.15,1.63809,53.3781,4.97,1.81,95.03,1.63
Ah 8d 2s,Jc9c,1.000,16.70,0.00642,0.64102,1.88,0.22,98.12,0.00
Ah 8d 2s,JcTc,1.000,18.97,0.06021,5.28935,2.61,0.30,97.39,0.05
Ah 8d 2s,Jc9d,1.000,16.65,0.00439,0.43894,1.53,0.20,98.47,0.00
Ah 8d 2s,JcTd,1.000,19.05,0.0111,0.97147,2.45,0.29,97.55,0.00
Ah 8d 2s,Jc8h,1.000,51.26,1.70989,55.5918,6.81,1.84,93.19,1.70
Ah 8d 2s,Jc9h,1.000,16.67,0.00494,0.49373,1.69,0.21,98.31,0.00
Ah 8d 2s,JcTh,1.000,19.07,0.01301,1.13669,2.73,0.30,97.27,0.00
Ah 8d 2s,Jc8s,1.000,51.28,1.71531,55.7478,6.74,1.84,93.26,1.71
Ah 8d 2s,Jc9s,1.000,16.67,0.00465,0.46486,1.57,0.20,98.43,0.00
Ah 8d 2s,JcTs,1.000,19.07,0.01315,1.14937,2.64,0.29,97.36,0.01
Ah 8d 2s,Qc7c,1.000,16.96,-0.00073,-0.07136,0.42,-0.09,99.58,0.00
Ah 8d 2s,Qc8c,1.000,51.56,1.75154,56.6145,5.17,1.88,94.83,1.74
Ah 8d 2s,Qc9c,1.000,19.19,0,0.0004,0.61,0.03,99.39,0.00
Ah 8d 2s,QcTc,1.000,21.59,0.00156,0.12059,0.78,0.13,99.22,0.00
Ah 8d 2s,QcJc,1.000,24.79,0.03316,2.22962,0.86,0.14,99.14,0.03
Ah 8d 2s,Qc9d,1.000,19.15,-0.00033,-0.02851,0.60,0.02,99.40,0.00
Ah 8d 2s,QcTd,1.000,21.66,0.00152,0.11681,0.82,0.13,99.18,0.00
Ah 8d 2s,QcJd,1.000,24.85,0.00336,0.22525,1.08,0.18,98.92,0.00
Ah 8d 2s,Qc8h,1.000,51.69,1.77598,57.2627,6.17,1.90,93.83,1.77
Ah 8d 2s,Qc9h,1.000,19.18,-0.00023,-0.01992,0.63,0.03,99.37,0.00
Ah 8d 2s,QcTh,1.000,21.70,0.0015,0.11505,0.86,0.14,99.14,0.00
Ah 8d 2s,QcJh,1.000,24.98,0.00495,0.33044,1.36,0.21,98.64,0.00
Ah 8d 2s,Qc8s,1.000,51.71,1.78053,57.3858,6.19,1.90,93.81,1.77
Ah 8d 2s,Qc9s,1.000,19.18,-0.00024,-0.02096,0.60,0.02,99.40,0.00
Ah 8d 2s,QcTs,1.000,21.70,0.00165,0.12685,0.85,0.14,99.15,0.00
Ah 8d 2s,QcJs,1.000,24.90,0.00353,0.23661,1.12,0.19,98.88,0.00
Ah 8d 2s,Kc2c,1.000,43.82,1.49314,56.7947,5.27,1.66,94.73,1.48
Ah 8d 2s,Kc3c,1.000,25.37,-0.00055,-0.03588,0.54,0.00,99.46,0.00
Ah 8d 2s,Kc4c,1.000,25.39,-0.00052,-0.03435,0.55,0.01,99.45,0.00
Ah 8d 2s,Kc5c,1.000,25.52,-0.0006,-0.03888,0.48,-0.04,99.52,0.00
Ah 8d 2s,Kc6c,1.000,24.82,-0.00139,-0.09309,0.34,-0.19,99.66,0.00
Ah 8d 2s,Kc7c,1.000,25.76,-0.00143,-0.09265,0.35,-0.20,99.65,0.00
Ah 8d 2s,Kc8c,1.000,51.86,1.83899,59.1038,2.80,1.93,97.20,1.84
Ah 8d 2s,Kc9c,1.000,27.82,-0.0016,-0.09564,0.34,-0.19,99.66,0.00
