Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 6%,RAISE 6 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2s,6c5c,0.803,15.04,-0.00123,-0.1363,0.93,-0.08,0.43,-0.12,98.64,0.00
Ah 8d 2s,7c5c,0.866,15.91,-0.00122,-0.12819,1.01,-0.07,0.50,-0.10,98.49,0.00
Ah 8d 2s,7c6c,0.840,15.89,-0.00084,-0.08804,1.11,-0.04,0.76,-0.05,98.13,0.00
Ah 8d 2s,8c6c,0.821,47.10,1.04104,36.8342,57.92,1.04,41.93,1.04,0.15,0.00
Ah 8d 2s,8c7c,0.787,47.76,1.07496,37.5153,65.78,1.08,34.08,1.08,0.15,0.00
Ah 8d 2s,9c6c,0.984,15.35,-0.00158,-0.17134,0.47,-0.32,0.07,-0.13,99.46,0.00
Ah 8d 2s,9c7c,0.849,17.13,0.00188,0.18319,1.74,-0.04,64.14,0.00,34.12,0.00
Ah 8d 2s,9c8c,0.937,48.83,1.04742,35.7508,1.05,1.05,98.79,1.05,0.15,0.00
Ah 8d 2s,9c8h,0.907,49.05,1.078,36.627,35.33,1.08,64.53,1.08,0.15,0.00
Ah 8d 2s,9c8s,0.908,49.04,1.08496,36.8704,29.96,1.09,69.89,1.09,0.15,0.00
Ah 8d 2s,Tc7c,0.990,14.42,-0.00162,-0.18756,0.31,-0.52,0.02,-0.19,99.68,0.00
Ah 8d 2s,Tc8c,0.975,49.24,1.06301,35.9793,0.26,1.03,99.60,1.06,0.14,0.00
Ah 8d 2s,Tc9c,0.911,16.96,-0.00175,-0.17203,0.71,-0.22,19.90,0.00,79.39,0.00
Ah 8d 2s,Tc9d,0.946,16.88,-0.00171,-0.16842,0.57,-0.26,0.48,-0.05,98.95,0.00
Ah 8d 2s,Tc8h,0.970,49.38,1.07833,36.3942,0.28,1.07,99.58,1.08,0.14,0.00
Ah 8d 2s,Tc9h,0.932,16.89,-0.00176,-0.17338,0.58,-0.26,0.48,-0.05,98.94,0.00
Ah 8d 2s,Tc8s,0.969,49.40,1.08517,36.6102,0.28,1.08,99.58,1.09,0.14,0.00
Ah 8d 2s,Tc9s,0.943,16.89,-0.00171,-0.16891,0.61,-0.24,0.51,-0.05,98.88,0.00
Ah 8d 2s,Jc7c,0.994,14.54,-0.00155,-0.17796,0.27,-0.57,0.01,-0.28,99.72,0.00
Ah 8d 2s,Jc8c,0.950,49.37,1.09675,37.0278,0.32,1.08,99.53,1.10,0.14,0.00
Ah 8d 2s,Jc9c,0.981,17.10,-0.00158,-0.15435,0.49,-0.32,0.02,-0.05,99.49,0.00
Ah 8d 2s,JcTc,0.974,19.47,-0.00117,-0.10055,0.51,-0.28,46.67,0.00,52.82,0.00
Ah 8d 2s,Jc9d,0.985,16.93,-0.00168,-0.16505,0.42,-0.39,0.02,-0.11,99.56,0.00
Ah 8d 2s,JcTd,0.975,19.38,-0.00185,-0.15948,0.39,-0.27,1.62,-0.05,97.99,0.00
Ah 8d 2s,Jc8h,0.932,49.39,1.09836,37.0672,8.07,1.10,91.79,1.10,0.14,0.00
Ah 8d 2s,Jc9h,0.983,16.93,-0.00172,-0.16916,0.42,-0.40,0.02,-0.11,99.56,0.00
Ah 8d 2s,JcTh,0.973,19.40,-0.00173,-0.14858,0.45,-0.27,2.03,-0.03,97.53,0.00
Ah 8d 2s,Jc8s,0.933,49.43,1.10883,37.3857,6.94,1.11,92.92,1.11,0.14,0.00
Ah 8d 2s,Jc9s,0.984,16.95,-0.00168,-0.16567,0.44,-0.38,0.02,-0.11,99.54,0.00
Ah 8d 2s,JcTs,0.974,19.41,-0.0017,-0.14559,0.46,-0.24,2.11,-0.03,97.43,0.00
Ah 8d 2s,Qc7c,0.996,18.00,-0.00163,-0.15105,0.18,-0.87,0.01,-0.40,99.81,0.00
Ah 8d 2s,Qc8c,0.948,49.98,1.19963,40.0036,8.02,1.20,91.85,1.20,0.13,0.00
Ah 8d 2s,Qc9c,0.994,20.52,-0.00167,-0.13533,0.24,-0.67,0.01,-0.20,99.74,0.00
Ah 8d 2s,QcTc,0.992,23.33,-0.00166,-0.11838,0.25,-0.63,0.05,-0.09,99.69,0.00
Ah 8d 2s,QcJc,0.991,27.89,-0.00107,-0.0641,0.30,-0.50,48.31,0.00,51.38,0.00
Ah 8d 2s,Qc9d,0.994,20.37,-0.0017,-0.13893,0.24,-0.71,0.01,-0.26,99.75,0.00
Ah 8d 2s,QcTd,0.992,23.19,-0.00168,-0.12097,0.26,-0.61,0.06,-0.19,99.68,0.00
