Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 6%,RAISE 6 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2s,6c5c,0.803,15.47,0.00944,1.01661,0.93,0.99,0.43,0.05,98.64,0.00
Ah 8d 2s,7c5c,0.866,16.19,0.00915,0.9416,1.01,0.88,0.50,0.05,98.49,0.00
Ah 8d 2s,7c6c,0.840,16.19,0.01,1.02889,1.11,0.82,0.76,0.12,98.13,0.00
Ah 8d 2s,8c6c,0.821,48.81,1.75972,60.0878,57.92,1.98,41.93,1.46,0.15,0.00
Ah 8d 2s,8c7c,0.787,49.13,1.87427,63.5815,65.78,2.06,34.08,1.52,0.15,0.00
Ah 8d 2s,9c6c,0.984,15.44,0.00211,0.22777,0.47,0.45,0.07,-0.01,99.46,0.00
Ah 8d 2s,9c7c,0.849,17.11,0.09376,9.13411,1.74,0.72,64.14,0.13,34.12,0.00
Ah 8d 2s,9c8c,0.937,50.46,1.48288,48.9763,1.05,2.00,98.79,1.48,0.15,0.00
Ah 8d 2s,9c8h,0.907,50.55,1.66904,55.0254,35.33,1.96,64.53,1.52,0.15,0.00
Ah 8d 2s,9c8s,0.908,50.57,1.66211,54.7821,29.96,1.97,69.89,1.53,0.15,0.00
Ah 8d 2s,Tc7c,0.990,14.77,0.00093,0.10467,0.31,0.31,0.02,-0.06,99.68,0.00
Ah 8d 2s,Tc8c,0.975,51.01,1.64992,53.9121,0.26,2.27,99.60,1.65,0.14,0.00
Ah 8d 2s,Tc9c,0.911,17.09,0.03993,3.8941,0.71,0.69,19.90,0.18,79.39,0.00
Ah 8d 2s,Tc9d,0.946,17.04,0.00366,0.35763,0.57,0.54,0.48,0.11,98.95,0.00
Ah 8d 2s,Tc8h,0.970,51.11,1.66367,54.2485,0.28,2.35,99.58,1.66,0.14,0.00
Ah 8d 2s,Tc9h,0.932,17.05,0.00369,0.36048,0.58,0.55,0.48,0.10,98.94,0.00
Ah 8d 2s,Tc8s,0.969,51.13,1.6838,54.8874,0.28,2.34,99.58,1.68,0.14,0.00
Ah 8d 2s,Tc9s,0.943,17.05,0.004,0.39109,0.61,0.57,0.51,0.10,98.88,0.00
Ah 8d 2s,Jc7c,0.994,14.41,0.00026,0.03014,0.27,0.11,0.01,-0.22,99.72,0.00
Ah 8d 2s,Jc8c,0.950,51.15,1.6292,53.0885,0.32,2.27,99.53,1.63,0.14,0.00
Ah 8d 2s,Jc9c,0.981,16.70,0.00227,0.22707,0.49,0.46,0.02,0.10,99.49,0.00
Ah 8d 2s,JcTc,0.974,18.97,0.05386,4.73133,0.51,0.67,46.67,0.11,52.82,0.00
Ah 8d 2s,Jc9d,0.985,16.65,0.0014,0.13982,0.42,0.33,0.02,0.04,99.56,0.00
Ah 8d 2s,JcTd,0.975,19.05,0.00407,0.35655,0.39,0.61,1.62,0.10,97.99,0.00
Ah 8d 2s,Jc8h,0.932,51.26,1.70051,55.2868,8.07,2.31,91.79,1.65,0.14,0.00
Ah 8d 2s,Jc9h,0.983,16.67,0.00142,0.14169,0.42,0.34,0.02,0.02,99.56,0.00
Ah 8d 2s,JcTh,0.973,19.07,0.00495,0.43273,0.45,0.60,2.03,0.11,97.53,0.00
Ah 8d 2s,Jc8s,0.933,51.28,1.70615,55.4501,6.94,2.32,92.92,1.66,0.14,0.00
Ah 8d 2s,Jc9s,0.984,16.67,0.00155,0.15494,0.44,0.35,0.02,0.03,99.54,0.00
Ah 8d 2s,JcTs,0.974,19.07,0.00556,0.48555,0.46,0.65,2.11,0.12,97.43,0.00
Ah 8d 2s,Qc7c,0.996,16.96,-0.00035,-0.0346,0.18,-0.17,0.01,-0.32,99.81,0.00
Ah 8d 2s,Qc8c,0.948,51.56,1.74478,56.396,8.02,2.52,91.85,1.68,0.13,0.00
Ah 8d 2s,Qc9c,0.994,19.19,-0.00016,-0.0135,0.24,-0.06,0.01,-0.15,99.74,0.00
Ah 8d 2s,QcTc,0.992,21.59,0.00058,0.04441,0.25,0.22,0.05,0.03,99.69,0.00
Ah 8d 2s,QcJc,0.991,24.79,0.0322,2.16504,0.30,0.37,48.31,0.06,51.38,0.00
Ah 8d 2s,Qc9d,0.994,19.15,-0.00042,-0.03667,0.24,-0.17,0.01,-0.19,99.75,0.00
Ah 8d 2s,QcTd,0.992,21.66,0.00043,0.03323,0.26,0.18,0.06,-0.05,99.68,0.00
Ah 8d 2s,QcJd,0.989,24.85,0.00141,0.0948,0.34,0.38,0.28,0.04,99.37,0.00
Ah 8d 2s,Qc8h,0.938,51.69,1.76776,56.9977,9.72,2.40,90.14,1.70,0.13,0.00
Ah 8d 2s,Qc9h,0.994,19.18,-0.0004,-0.03477,0.24,-0.16,0.01,-0.19,99.75,0.00
Ah 8d 2s,QcTh,0.991,21.70,0.00028,0.02135,0.26,0.11,0.06,-0.03,99.68,0.00
Ah 8d 2s,QcJh,0.986,24.98,0.00211,0.14047,0.37,0.35,1.05,0.08,98.58,0.00
Ah 8d 2s,Qc8s,0.938,51.71,1.77253,57.1279,8.44,2.41,91.43,1.72,0.13,0.00
Ah 8d 2s,Qc9s,0.994,19.18,-0.00035,-0.03052,0.24,-0.14,0.01,-0.19,99.75,0.00
Ah 8d 2s,QcTs,0.992,21.70,0.0005,0.03811,0.27,0.19,0.06,-0.04,99.67,0.00
Ah 8d 2s,QcJs,0.989,24.90,0.00146,0.09782,0.34,0.38,0.28,0.06,99.38,0.00
Ah 8d 2s,Kc2c,0.947,43.82,1.4838,56.4392,8.41,2.49,91.45,1.39,0.14,0.00
Ah 8d 2s,Kc3c,0.995,25.37,-0.00057,-0.03741,0.24,-0.21,0.02,-0.32,99.74,0.00
Ah 8d 2s,Kc4c,0.994,25.39,-0.00061,-0.03974,0.25,-0.22,0.02,-0.31,99.73,0.00
Ah 8d 2s,Kc5c,0.995,25.52,-0.00042,-0.02762,0.24,-0.15,0.02,-0.31,99.74,0.00
Ah 8d 2s,Kc6c,0.997,24.82,-0.00075,-0.05011,0.19,-0.36,0.02,-0.36,99.79,0.00
Ah 8d 2s,Kc7c,0.997,25.76,-0.00074,-0.04773,0.20,-0.34,0.02,-0.34,99.78,0.00
Ah 8d 2s,Kc8c,0.972,51.86,1.83625,59.0155,30.27,2.00,69.61,1.77,0.11,0.00
Ah 8d 2s,Kc9c,0.997,27.82,-0.00095,-0.05678,0.21,-0.43,0.02,-0.26,99.77,0.00
Ah 8d 2s,KcTc,0.997,30.58,-0.0009,-0.04927,0.19,-0.36,0.13,-0.17,99.68,0.00
Ah 8d 2s,KcJc,0.997,33.75,-0.05763,-2.84591,0.20,-0.21,67.90,-0.08,31.90,0.00
Ah 8d 2s,KcQc,0.998,36.88,0.13308,6.01487,0.18,-0.47,80.35,0.17,19.47,0.00
Ah 8d 2s,Kc7d,0.997,25.70,-0.00099,-0.06403,0.19,-0.49,0.02,-0.37,99.79,0.00
Ah 8d 2s,Kc9d,0.997,27.78,-0.0011,-0.06619,0.21,-0.50,0.02,-0.32,99.77,0.00
Ah 8d 2s,KcTd,0.997,30.62,-0.00111,-0.06032,0.18,-0.42,0.13,-0.25,99.68,0.00
Ah 8d 2s,KcJd,0.997,33.79,-0.01546,-0.7624,0.23,-0.19,19.48,-0.08,80.29,0.00
Ah 8d 2s,KcQd,0.998,36.90,0.031,1.40029,0.19,-0.40,20.14,0.16,79.67,0.00
Ah 8d 2s,Kc7h,0.997,25.75,-0.00098,-0.06367,0.18,-0.50,0.02,-0.39,99.80,0.00
Ah 8d 2s,Kc8h,0.970,52.00,1.82149,58.3786,11.35,2.05,88.53,1.79,0.12,0.00
Ah 8d 2s,Kc9h,0.996,27.86,-0.00114,-0.06794,0.21,-0.50,0.02,-0.32,99.77,0.00
Ah 8d 2s,KcTh,0.997,30.70,-0.00106,-0.05763,0.19,-0.40,0.14,-0.22,99.67,0.00
Ah 8d 2s,KcJh,0.997,34.00,-0.04909,-2.40652,0.23,-0.17,67.05,-0.07,32.72,0.00
Ah 8d 2s,KcQh,0.998,37.00,0.08524,3.83963,0.20,-0.37,51.53,0.17,48.27,0.00
Ah 8d 2s,Kc7s,0.997,25.75,-0.00093,-0.06002,0.19,-0.46,0.02,-0.37,99.79,0.00
Ah 8d 2s,Kc8s,0.968,52.03,1.84688,59.1637,22.26,2.03,77.62,1.80,0.12,0.00
Ah 8d 2s,Kc9s,0.997,27.86,-0.00107,-0.06396,0.21,-0.47,0.02,-0.32,99.77,0.00
Ah 8d 2s,KcTs,0.997,30.70,-0.00099,-0.05384,0.19,-0.34,0.14,-0.24,99.67,0.00
Ah 8d 2s,KcJs,0.997,33.88,-0.04276,-2.10395,0.23,-0.17,54.59,-0.08,45.18,0.00
Ah 8d 2s,KcQs,0.998,37.00,0.11045,4.97498,0.20,-0.37,67.27,0.17,32.53,0.00
Ah 8d 2s,Ac2c,0.861,86.12,8.62834,166.983,10.61,9.05,89.38,8.58,0.02,0.00
Ah 8d 2s,Ac3c,0.980,73.67,4.58932,103.824,4.95,4.84,95.00,4.58,0.04,0.00
Ah 8d 2s,Ac4c,0.977,73.78,4.63542,104.709,6.87,4.87,93.09,4.62,0.04,0.00
Ah 8d 2s,Ac5c,0.978,74.40,4.6227,103.55,3.50,5.01,96.46,4.61,0.04,0.00
Ah 8d 2s,Ac6c,0.984,74.88,4.52522,100.721,0.52,4.86,99.44,4.53,0.04,0.00
Ah 8d 2s,Ac7c,0.983,76.65,5.15833,112.164,2.88,5.36,97.09,5.15,0.04,0.00
Ah 8d 2s,Ac8c,0.775,93.04,12.955,232.06,40.73,13.26,59.27,12.74,0.01,0.00
Ah 8d 2s,Ac9c,0.933,81.01,6.40573,131.788,10.53,6.79,89.44,6.36,0.03,0.00
Ah 8d 2s,AcTc,0.935,83.04,6.91722,138.826,14.57,7.24,85.40,6.86,0.02,0.00
Ah 8d 2s,AcJc,0.824,85.29,7.77086,151.853,33.30,8.03,66.68,7.64,0.02,0.00
Ah 8d 2s,AcQc,0.610,86.12,8.37726,162.117,58.89,8.56,41.09,8.12,0.02,0.00
Ah 8d 2s,AcKc,0.350,86.28,8.53679,164.9,83.97,8.61,16.02,8.17,0.02,0.00
Ah 8d 2s,Ac2d,0.895,86.14,8.69992,168.323,18.99,9.10,81.00,8.61,0.02,0.00
Ah 8d 2s,Ac3d,0.986,73.77,4.67457,105.607,4.84,4.83,95.12,4.67,0.04,0.00
Ah 8d 2s,Ac4d,0.985,73.88,4.7111,106.274,3.25,4.82,96.71,4.71,0.04,0.00
Ah 8d 2s,Ac5d,0.983,74.52,4.6728,104.512,5.51,4.81,94.45,4.67,0.04,0.00
Ah 8d 2s,Ac6d,0.986,75.01,4.57128,101.568,7.70,4.71,92.26,4.56,0.04,0.00
Ah 8d 2s,Ac7d,0.984,76.82,5.22475,113.351,1.43,5.31,98.53,5.23,0.04,0.00
Ah 8d 2s,Ac9d,0.958,81.20,6.51945,133.821,1.71,6.85,98.26,6.52,0.03,0.00
Ah 8d 2s,AcTd,0.910,83.23,7.00096,140.198,9.36,7.23,90.61,6.98,0.02,0.00
Ah 8d 2s,AcJd,0.845,85.31,7.78453,152.078,19.81,8.02,80.17,7.73,0.02,0.00
Ah 8d 2s,AcQd,0.698,86.29,8.36991,161.668,44.64,8.57,55.34,8.21,0.02,0.00
Ah 8d 2s,AcKd,0.737,86.54,8.48738,163.456,47.98,8.72,52.00,8.28,0.02,0.00
Ah 8d 2s,Ac2h,0.887,86.14,8.65909,167.544,12.64,9.08,87.34,8.60,0.02,0.00
Ah 8d 2s,Ac3h,0.987,73.77,4.71624,106.555,0.23,4.78,99.73,4.72,0.04,0.00
Ah 8d 2s,Ac4h,0.985,73.88,4.75178,107.198,0.22,4.75,99.73,4.75,0.04,0.00
Ah 8d 2s,Ac5h,0.984,74.51,4.72444,105.674,2.65,4.81,97.30,4.72,0.04,0.00
Ah 8d 2s,Ac6h,0.986,75.01,4.58383,101.854,1.27,4.78,98.69,4.58,0.04,0.00
Ah 8d 2s,Ac7h,0.984,76.77,5.18862,112.639,1.87,5.38,98.09,5.19,0.04,0.00
Ah 8d 2s,Ac8h,0.755,93.15,13.0391,233.295,45.33,13.38,54.66,12.75,0.01,0.00
Ah 8d 2s,Ac9h,0.961,81.16,6.48854,133.239,0.77,6.82,99.20,6.49,0.03,0.00
Ah 8d 2s,AcTh,0.908,83.20,6.94821,139.184,10.10,7.20,89.87,6.92,0.03,0.00
Ah 8d 2s,AcJh,0.824,85.45,7.7812,151.776,19.24,8.02,80.74,7.73,0.02,0.00
Ah 8d 2s,AcQh,0.617,86.28,8.30882,160.501,36.43,8.49,63.55,8.21,0.02,0.00
Ah 8d 2s,AcKh,0.666,86.53,8.46084,162.957,51.89,8.64,48.09,8.27,0.02,0.00
Ah 8d 2s,Ac3s,0.986,73.78,4.63356,104.667,5.76,4.76,94.20,4.63,0.04,0.00
Ah 8d 2s,Ac4s,0.985,73.89,4.67279,105.396,6.35,4.76,93.61,4.67,0.04,0.00
Ah 8d 2s,Ac5s,0.982,74.53,4.66581,104.341,6.49,4.81,93.47,4.66,0.04,0.00
Ah 8d 2s,Ac6s,0.986,75.02,4.57296,101.591,3.14,4.75,96.82,4.57,0.04,0.00
Ah 8d 2s,Ac7s,0.983,76.79,5.1751,112.321,3.58,5.37,96.38,5.17,0.04,0.00
Ah 8d 2s,Ac8s,0.756,93.14,13.158,235.455,62.35,13.40,37.64,12.76,0.01,0.00
Ah 8d 2s,Ac9s,0.955,81.19,6.46622,132.745,0.79,6.81,99.18,6.47,0.03,0.00
Ah 8d 2s,AcTs,0.904,83.22,6.96845,139.552,9.63,7.15,90.35,6.95,0.02,0.00
Ah 8d 2s,AcJs,0.835,85.32,7.76418,151.669,20.18,7.95,79.80,7.72,0.02,0.00
Ah 8d 2s,AcQs,0.644,86.30,8.32591,160.8,39.84,8.48,60.15,8.22,0.02,0.00
Ah 8d 2s,AcKs,0.793,86.56,8.44543,162.617,42.41,8.71,57.57,8.26,0.02,0.00
Ah 8d 2s,2d2c,0.516,94.67,15.5157,273.164,85.87,15.62,14.12,14.89,0.01,0.00
Ah 8d 2s,3d3c,0.918,39.63,0.76289,32.0817,13.74,1.40,85.95,0.66,0.31,0.00
Ah 8d 2s,4d4c,0.912,39.79,0.79324,33.2243,15.63,1.39,84.08,0.68,0.30,0.00
Ah 8d 2s,5d5c,0.961,39.78,0.75655,31.698,10.92,1.40,88.79,0.68,0.29,0.00
Ah 8d 2s,6d6c,0.991,39.83,0.72731,30.4375,0.32,1.03,99.48,0.73,0.21,0.00
Ah 8d 2s,6d5d,0.563,19.13,1.0736,93.5447,96.66,1.10,2.37,0.50,0.97,0.00
Ah 8d 2s,7d7c,0.993,42.38,0.80101,31.5035,0.27,1.11,99.57,0.80,0.16,0.00
Ah 8d 2s,7d5d,0.578,19.79,0.89997,75.7814,73.22,1.06,25.83,0.48,0.95,0.00
Ah 8d 2s,7d6d,0.535,19.80,0.83774,70.5031,63.24,1.03,35.88,0.53,0.88,0.00
Ah 8d 2s,9d8c,0.931,50.59,1.60919,53.018,15.79,1.88,84.06,1.56,0.15,0.00
Ah 8d 2s,9d9c,0.990,49.25,1.56576,52.9892,0.19,1.63,99.71,1.57,0.11,0.00
Ah 8d 2s,9d6d,0.695,19.15,0.52146,45.3797,48.97,0.73,48.76,0.34,2.28,0.00
Ah 8d 2s,9d7d,0.758,20.74,0.75866,60.9561,48.67,0.99,50.75,0.54,0.58,0.00
