Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 6%,RAISE 6 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2s,6c5c,0.803,15.04,0.0066,0.73153,0.93,0.76,0.43,-0.12,98.64,0.00
Ah 8d 2s,7c5c,0.866,15.91,0.00715,0.74939,1.01,0.75,0.50,-0.10,98.49,0.00
Ah 8d 2s,7c6c,0.840,15.89,0.01002,1.05068,1.11,0.93,0.76,-0.05,98.13,0.00
Ah 8d 2s,8c6c,0.821,47.10,1.42319,50.3555,57.92,1.70,41.93,1.04,0.15,0.00
Ah 8d 2s,8c7c,0.787,47.76,1.35204,47.1852,65.78,1.50,34.08,1.08,0.15,0.00
Ah 8d 2s,9c6c,0.984,15.35,0.00477,0.51763,0.47,1.03,0.07,-0.13,99.46,0.00
Ah 8d 2s,9c7c,0.849,17.13,0.02157,2.0984,1.74,1.09,64.14,0.00,34.12,0.00
Ah 8d 2s,9c8c,0.937,48.83,1.051,35.8731,1.05,1.39,98.79,1.05,0.15,0.00
Ah 8d 2s,9c8h,0.907,49.05,1.24729,42.3788,35.33,1.56,64.53,1.08,0.15,0.00
Ah 8d 2s,9c8s,0.908,49.04,1.20825,41.06,29.96,1.50,69.89,1.09,0.15,0.00
Ah 8d 2s,Tc7c,0.990,14.42,0.00237,0.27399,0.31,0.78,0.02,-0.19,99.68,0.00
Ah 8d 2s,Tc8c,0.975,49.24,1.06347,35.9949,0.26,1.21,99.60,1.06,0.14,0.00
Ah 8d 2s,Tc9c,0.911,16.96,0.00661,0.64941,0.71,0.96,19.90,0.00,79.39,0.00
Ah 8d 2s,Tc9d,0.946,16.88,0.0066,0.65167,0.57,1.19,0.48,-0.05,98.95,0.00
Ah 8d 2s,Tc8h,0.970,49.38,1.07876,36.4089,0.28,1.23,99.58,1.08,0.14,0.00
Ah 8d 2s,Tc9h,0.932,16.89,0.00681,0.67209,0.58,1.22,0.48,-0.05,98.94,0.00
Ah 8d 2s,Tc8s,0.969,49.40,1.08556,36.6232,0.28,1.21,99.58,1.09,0.14,0.00
Ah 8d 2s,Tc9s,0.943,16.89,0.00711,0.7014,0.61,1.21,0.51,-0.05,98.88,0.00
Ah 8d 2s,Jc7c,0.994,14.54,0.00175,0.20044,0.27,0.67,0.01,-0.28,99.72,0.00
Ah 8d 2s,Jc8c,0.950,49.37,1.09731,37.0467,0.32,1.25,99.53,1.10,0.14,0.00
Ah 8d 2s,Jc9c,0.981,17.10,0.00382,0.37211,0.49,0.79,0.02,-0.05,99.49,0.00
Ah 8d 2s,JcTc,0.974,19.47,0.00374,0.31996,0.51,0.67,46.67,0.00,52.82,0.00
Ah 8d 2s,Jc9d,0.985,16.93,0.00402,0.39591,0.42,0.96,0.02,-0.11,99.56,0.00
Ah 8d 2s,JcTd,0.975,19.38,0.00298,0.25633,0.39,0.97,1.62,-0.05,97.99,0.00
Ah 8d 2s,Jc8h,0.932,49.39,1.11562,37.6499,8.07,1.31,91.79,1.10,0.14,0.00
Ah 8d 2s,Jc9h,0.983,16.93,0.00419,0.41211,0.42,1.00,0.02,-0.11,99.56,0.00
Ah 8d 2s,JcTh,0.973,19.40,0.00413,0.3549,0.45,1.04,2.03,-0.03,97.53,0.00
Ah 8d 2s,Jc8s,0.933,49.43,1.12132,37.8069,6.94,1.29,92.92,1.11,0.14,0.00
Ah 8d 2s,Jc9s,0.984,16.95,0.00427,0.42022,0.44,0.99,0.02,-0.11,99.54,0.00
Ah 8d 2s,JcTs,0.974,19.41,0.00412,0.35403,0.46,1.02,2.11,-0.03,97.43,0.00
Ah 8d 2s,Qc7c,0.996,18.00,0.00098,0.09044,0.18,0.56,0.01,-0.40,99.81,0.00
Ah 8d 2s,Qc8c,0.948,49.98,1.19261,39.7694,8.02,1.11,91.85,1.20,0.13,0.00
Ah 8d 2s,Qc9c,0.994,20.52,0.00242,0.19649,0.24,1.01,0.01,-0.20,99.74,0.00
Ah 8d 2s,QcTc,0.992,23.33,0.00203,0.14521,0.25,0.82,0.05,-0.09,99.69,0.00
Ah 8d 2s,QcJc,0.991,27.89,0.00225,0.13437,0.30,0.60,48.31,0.00,51.38,0.00
Ah 8d 2s,Qc9d,0.994,20.37,0.00266,0.21781,0.24,1.15,0.01,-0.26,99.75,0.00
Ah 8d 2s,QcTd,0.992,23.19,0.00238,0.17131,0.26,0.98,0.06,-0.19,99.68,0.00
Ah 8d 2s,QcJd,0.989,27.90,0.00265,0.15798,0.34,0.78,0.28,-0.01,99.37,0.00
Ah 8d 2s,Qc8h,0.938,49.94,1.19876,40.0077,9.72,1.28,90.15,1.19,0.13,0.00
Ah 8d 2s,Qc9h,0.994,20.39,0.00272,0.22217,0.24,1.15,0.01,-0.27,99.75,0.00
Ah 8d 2s,QcTh,0.991,23.22,0.00273,0.19576,0.26,1.08,0.06,-0.17,99.68,0.00
Ah 8d 2s,QcJh,0.986,28.04,0.00341,0.20284,0.37,0.94,1.05,0.00,98.58,0.00
Ah 8d 2s,Qc8s,0.938,50.00,1.20466,40.1573,8.44,1.26,91.43,1.20,0.13,0.00
Ah 8d 2s,Qc9s,0.994,20.41,0.00274,0.22374,0.24,1.15,0.01,-0.26,99.75,0.00
Ah 8d 2s,QcTs,0.992,23.23,0.00271,0.1942,0.27,1.05,0.06,-0.17,99.67,0.00
Ah 8d 2s,QcJs,0.989,27.95,0.00295,0.17597,0.34,0.88,0.28,-0.01,99.38,0.00
Ah 8d 2s,Kc2c,0.947,42.43,1.10304,43.3265,8.41,1.26,91.45,1.09,0.14,0.00
