Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,19.13,1.10974,96.7009,55.77,1.11,44.23,1.11
Ah 8d 2c,7c6c,1.000,19.38,1.05373,90.6429,50.36,1.05,49.64,1.05
Ah 8d 2c,8c7c,1.000,52.87,2.55787,80.6311,32.92,2.56,67.08,2.56
Ah 8d 2c,9c8c,1.000,54.69,2.67386,81.4837,8.42,2.67,91.58,2.67
Ah 8d 2c,Tc8c,1.000,55.65,2.76078,82.6825,23.72,2.76,76.28,2.76
Ah 8d 2c,Tc9c,1.000,23.14,1.08336,78.0248,56.48,1.08,43.52,1.08
Ah 8d 2c,Jc8c,1.000,56.64,2.91223,85.6916,23.08,2.91,76.92,2.91
Ah 8d 2c,Jc9c,1.000,24.33,0.93942,64.3427,46.71,0.94,53.29,0.94
Ah 8d 2c,JcTc,1.000,27.45,1.06404,64.6165,48.30,1.06,51.70,1.06
Ah 8d 2c,JcTd,1.000,24.17,0.70204,48.4131,26.27,0.70,73.73,0.70
Ah 8d 2c,JcTh,1.000,24.18,0.70362,48.4969,28.47,0.70,71.53,0.70
Ah 8d 2c,JcTs,1.000,24.10,0.67686,46.8048,27.39,0.68,72.61,0.68
Ah 8d 2c,Qc8c,1.000,57.68,3.03218,87.617,11.63,3.03,88.37,3.03
Ah 8d 2c,Qc9c,1.000,27.30,0.80428,49.0978,18.50,0.80,81.50,0.80
Ah 8d 2c,QcTc,1.000,30.39,0.93595,51.325,60.37,0.94,39.63,0.94
Ah 8d 2c,QcJc,1.000,32.37,0.97449,50.1693,50.93,0.97,49.07,0.97
Ah 8d 2c,QcTd,1.000,27.22,0.58599,35.8795,19.91,0.58,80.09,0.59
Ah 8d 2c,QcJd,1.000,29.29,0.61878,35.2076,18.91,0.62,81.09,0.62
Ah 8d 2c,QcTh,1.000,27.23,0.5868,35.9131,20.24,0.58,79.76,0.59
Ah 8d 2c,QcJh,1.000,29.30,0.62886,35.7661,23.51,0.63,76.49,0.63
Ah 8d 2c,QcTs,1.000,27.15,0.56301,34.5664,21.84,0.56,78.16,0.56
Ah 8d 2c,QcJs,1.000,29.22,0.59536,33.9617,17.60,0.59,82.40,0.60
Ah 8d 2c,Kc3c,1.000,31.07,0.78382,42.0519,53.96,0.78,46.04,0.78
Ah 8d 2c,Kc4c,1.000,31.21,0.80201,42.8295,62.33,0.80,37.67,0.80
Ah 8d 2c,Kc5c,1.000,31.39,0.78848,41.8588,58.12,0.79,41.88,0.79
Ah 8d 2c,Kc6c,1.000,30.78,0.67378,36.4805,32.33,0.67,67.67,0.67
Ah 8d 2c,Kc7c,1.000,31.36,0.66034,35.0926,15.50,0.66,84.50,0.66
Ah 8d 2c,Kc8c,1.000,58.83,3.18439,90.2098,19.47,3.18,80.53,3.18
Ah 8d 2c,Kc9c,1.000,34.67,0.75108,36.1086,4.39,0.73,95.61,0.75
Ah 8d 2c,KcTc,1.000,37.76,0.91041,40.1789,20.90,0.91,79.10,0.91
Ah 8d 2c,KcJc,1.000,39.82,1.02926,43.0828,3.04,1.02,96.96,1.03
Ah 8d 2c,KcQc,1.000,41.95,1.15108,45.7274,1.64,1.12,98.36,1.15
Ah 8d 2c,KcTd,1.000,34.93,0.5848,27.9022,2.45,0.54,97.55,0.59
Ah 8d 2c,KcJd,1.000,37.08,0.70457,31.6702,1.31,0.64,98.69,0.71
Ah 8d 2c,KcQd,1.000,39.31,0.83053,35.2112,0.88,0.74,99.12,0.83
Ah 8d 2c,KcTh,1.000,34.94,0.58566,27.9338,2.51,0.55,97.49,0.59
Ah 8d 2c,KcJh,1.000,37.09,0.7098,31.8948,1.47,0.66,98.53,0.71
Ah 8d 2c,KcQh,1.000,39.32,0.83052,35.2002,0.91,0.74,99.09,0.83
Ah 8d 2c,KcTs,1.000,34.85,0.57315,27.4112,2.06,0.53,97.94,0.57
Ah 8d 2c,KcJs,1.000,36.99,0.68848,31.0171,1.30,0.63,98.70,0.69
Ah 8d 2c,KcQs,1.000,39.23,0.81595,34.6684,0.81,0.71,99.19,0.82
