Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,6c5c,0.442,18.37,0.04687,4.25228,49.93,0.05,44.84,0.05,5.23,0.00
Ah 8d 2c,7c6c,0.496,18.83,0.04145,3.67003,25.97,0.04,66.37,0.05,7.66,0.00
Ah 8d 2c,8c7c,0.671,50.50,1.82197,60.1368,27.62,1.82,72.30,1.82,0.08,0.00
Ah 8d 2c,9c8c,0.916,52.24,1.91326,61.0386,0.09,1.91,99.83,1.91,0.08,0.00
Ah 8d 2c,Tc8c,0.763,53.26,2.00797,62.8373,2.26,2.01,97.66,2.01,0.07,0.00
Ah 8d 2c,Tc9c,0.435,24.03,0.15094,10.4695,5.77,0.15,92.76,0.15,1.48,0.00
Ah 8d 2c,Jc8c,0.769,54.15,2.21082,68.0501,0.09,2.19,99.85,2.21,0.07,0.00
Ah 8d 2c,Jc9c,0.533,27.30,0.02248,1.37233,0.57,0.01,90.22,0.02,9.21,0.00
Ah 8d 2c,JcTc,0.517,31.94,0.31908,16.649,4.17,0.32,95.22,0.32,0.61,0.00
Ah 8d 2c,JcTd,0.737,29.01,-0.00117,-0.0671,0.35,-0.31,3.84,0.00,95.81,0.00
Ah 8d 2c,JcTh,0.715,29.05,-0.00119,-0.06829,0.35,-0.33,6.84,0.00,92.81,0.00
Ah 8d 2c,JcTs,0.726,29.02,-0.00097,-0.0558,0.32,-0.35,27.14,0.00,72.54,0.00
Ah 8d 2c,Qc8c,0.884,55.20,2.34865,70.9144,1.24,2.35,98.70,2.35,0.06,0.00
Ah 8d 2c,Qc9c,0.815,32.37,-0.00123,-0.06309,0.38,-0.20,2.02,-0.02,97.60,0.00
Ah 8d 2c,QcTc,0.396,35.67,0.25892,12.0968,1.56,0.26,97.59,0.26,0.85,0.00
Ah 8d 2c,QcJc,0.491,37.73,0.27746,12.2556,1.09,0.28,98.19,0.28,0.73,0.00
Ah 8d 2c,QcTd,0.801,32.84,-0.00131,-0.06664,0.22,-0.52,0.33,-0.06,99.45,0.00
