Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,CHECK%,CHECK EV
Ah 8d 2c,3c,6c5c,0.198,30.24,4.75717,131.073,0.72,4.49,99.28,4.76
Ah 8d 2c,3c,7c6c,0.329,24.79,3.87712,130.323,0.40,3.32,99.60,3.88
Ah 8d 2c,3c,8c7c,0.485,59.28,6.37243,89.5775,0.27,5.68,99.73,6.37
Ah 8d 2c,3c,9c8c,0.914,60.38,6.4514,89.0389,0.19,5.50,99.81,6.45
Ah 8d 2c,3c,Tc8c,0.745,61.66,6.63776,89.704,0.18,5.59,99.82,6.64
Ah 8d 2c,3c,Tc9c,0.404,30.44,3.86716,105.881,0.31,3.19,99.69,3.87
Ah 8d 2c,3c,Jc8c,0.768,62.79,6.86992,91.1687,0.18,5.86,99.82,6.87
Ah 8d 2c,3c,Jc9c,0.481,35.25,3.99454,94.4382,0.31,3.32,99.69,4.00
Ah 8d 2c,3c,JcTc,0.492,39.12,4.11,87.5535,0.27,3.32,99.73,4.11
Ah 8d 2c,3c,JcTd,0.028,24.13,2.79507,96.545,0.16,1.63,99.84,2.80
Ah 8d 2c,3c,JcTh,0.049,24.14,2.78456,96.1299,0.16,1.61,99.84,2.79
Ah 8d 2c,3c,JcTs,0.197,24.28,2.86446,98.2959,0.17,1.74,99.83,2.87
Ah 8d 2c,3c,Qc8c,0.872,64.30,7.14599,92.6058,0.21,6.29,99.79,7.15
Ah 8d 2c,3c,Qc9c,0.016,42.30,4.15281,81.8186,0.34,3.57,99.66,4.15
Ah 8d 2c,3c,QcTc,0.387,44.67,4.21163,78.5615,0.29,3.54,99.71,4.21
Ah 8d 2c,3c,QcJc,0.482,46.83,4.27767,76.1252,0.29,3.61,99.71,4.28
Ah 8d 2c,3c,QcTd,0.003,30.59,2.79958,76.271,0.19,1.81,99.81,2.80
Ah 8d 2c,3c,QcJd,0.005,33.31,2.83602,70.9414,0.20,1.92,99.80,2.84
Ah 8d 2c,3c,QcTh,0.003,30.59,2.79157,76.0365,0.19,1.80,99.81,2.79
Ah 8d 2c,3c,QcJh,0.003,33.18,2.75548,69.2091,0.20,1.83,99.80,2.76
Ah 8d 2c,3c,QcTs,0.003,30.93,2.88145,77.6381,0.19,1.92,99.81,2.88
Ah 8d 2c,3c,QcJs,0.013,33.66,2.89688,71.7246,0.21,2.00,99.79,2.90
Ah 8d 2c,3c,Kc4c,0.240,52.73,6.12904,96.8619,0.52,5.65,99.48,6.13
Ah 8d 2c,3c,Kc5c,0.350,52.95,6.03264,94.9439,0.42,5.50,99.58,6.03
Ah 8d 2c,3c,Kc6c,0.002,49.22,4.89995,82.9573,0.22,3.97,99.78,4.90
Ah 8d 2c,3c,Kc7c,0.002,49.32,4.7897,80.9231,0.28,4.04,99.72,4.79
Ah 8d 2c,3c,Kc8c,0.747,65.68,7.59104,96.3164,0.20,6.64,99.80,7.59
Ah 8d 2c,3c,Kc9c,0.350,50.38,4.66441,77.1536,0.23,3.87,99.77,4.67
Ah 8d 2c,3c,KcTc,0.783,51.11,4.74452,77.3589,0.20,3.86,99.80,4.75
Ah 8d 2c,3c,KcJc,0.962,51.33,4.81802,78.2209,0.20,3.91,99.80,4.82
Ah 8d 2c,3c,KcQc,0.976,51.75,4.8673,78.3723,0.20,3.99,99.80,4.87
Ah 8d 2c,3c,KcTd,0.002,38.12,2.95787,64.6621,0.17,1.86,99.83,2.96
Ah 8d 2c,3c,KcJd,0.003,38.38,3.03524,65.9022,0.17,1.97,99.83,3.04
Ah 8d 2c,3c,KcQd,0.005,38.90,3.06507,65.662,0.22,2.27,99.78,3.07
Ah 8d 2c,3c,KcTh,0.002,38.13,2.95297,64.5435,0.17,1.85,99.83,2.95
Ah 8d 2c,3c,KcJh,0.003,38.22,2.93009,63.8903,0.17,1.87,99.83,2.93
Ah 8d 2c,3c,KcQh,0.004,38.86,3.01132,64.5688,0.23,2.27,99.77,3.01
Ah 8d 2c,3c,KcTs,0.002,38.52,3.03691,65.7007,0.17,1.97,99.83,3.04
Ah 8d 2c,3c,KcJs,0.008,38.84,3.04772,65.3966,0.18,2.05,99.82,3.05
Ah 8d 2c,3c,KcQs,0.017,39.25,3.08836,65.5674,0.23,2.35,99.77,3.09
