Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 21%,RAISE 21 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,3c,6c5c,0.197,26.78,0.91654,28.5155,13.45,0.90,86.45,0.92,0.10,0.00
Ah 8d 2c,3c,7c6c,0.328,22.81,-0.00298,-0.10893,0.07,-2.21,0.10,-1.51,99.83,0.00
Ah 8d 2c,3c,8c7c,0.484,47.89,3.97123,69.107,0.56,3.96,99.38,3.97,0.06,0.00
Ah 8d 2c,3c,9c8c,0.913,48.14,3.98178,68.9304,0.13,3.95,99.80,3.98,0.07,0.00
Ah 8d 2c,3c,Tc8c,0.744,48.25,3.96741,68.5257,0.18,3.97,99.75,3.97,0.07,0.00
Ah 8d 2c,3c,Tc9c,0.402,25.24,-0.00328,-0.10827,0.05,-2.37,0.22,-0.93,99.73,0.00
Ah 8d 2c,3c,Jc8c,0.767,47.69,4.02775,70.3752,0.04,3.52,99.89,4.03,0.06,0.00
Ah 8d 2c,3c,Jc9c,0.479,27.12,-0.0042,-0.129,0.02,-2.27,0.54,-0.68,99.44,0.00
Ah 8d 2c,3c,JcTc,0.491,28.13,-0.00591,-0.17502,0.01,-2.42,0.81,-0.69,99.18,0.00
Ah 8d 2c,3c,JcTd,0.028,13.89,-0.0028,-0.16813,0.04,-6.57,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,JcTh,0.049,13.93,-0.00283,-0.16909,0.04,-6.60,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,JcTs,0.197,13.95,-0.00282,-0.16863,0.04,-6.62,0.01,-5.37,99.96,0.00
Ah 8d 2c,3c,Qc8c,0.870,49.75,4.44116,74.3942,0.27,4.26,99.67,4.44,0.06,0.00
Ah 8d 2c,3c,Qc9c,0.016,32.41,0.15148,3.89511,0.07,-0.94,97.36,0.16,2.57,0.00
Ah 8d 2c,3c,QcTc,0.386,32.15,0.06555,1.69889,0.06,-1.22,98.11,0.07,1.82,0.00
Ah 8d 2c,3c,QcJc,0.480,31.64,-0.0274,-0.72168,0.07,-1.25,73.54,-0.04,26.38,0.00
Ah 8d 2c,3c,QcTd,0.003,18.72,-0.00264,-0.11758,0.04,-5.30,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QcJd,0.005,19.17,-0.00274,-0.11902,0.04,-5.81,0.01,-4.50,99.95,0.00
Ah 8d 2c,3c,QcTh,0.003,18.72,-0.00267,-0.11896,0.04,-5.34,0.01,-4.53,99.95,0.00
Ah 8d 2c,3c,QcJh,0.003,19.45,-0.00274,-0.11738,0.04,-5.87,0.01,-4.47,99.95,0.00
