Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 29%,BET 29 EV,BET 13%,BET 13 EV,CHECK%,CHECK EV
Ah 8d 2c,3c,6c5c,0.221,25.50,8.12832,132.835,49.12,8.12,50.42,8.13,0.47,7.92
Ah 8d 2c,3c,7c6c,0.129,18.98,4.65083,102.088,63.19,4.65,36.25,4.65,0.56,4.44
Ah 8d 2c,3c,8c7c,0.185,36.87,9.33578,105.496,43.62,9.32,55.78,9.35,0.60,8.95
Ah 8d 2c,3c,9c8c,0.001,38.11,9.91856,108.453,43.30,9.94,56.17,9.91,0.53,9.13
Ah 8d 2c,3c,Tc8c,0.017,39.97,10.3318,107.698,92.89,10.34,6.28,10.31,0.83,9.84
Ah 8d 2c,3c,Tc9c,0.025,24.35,6.08124,104.071,42.87,6.06,56.80,6.10,0.33,5.52
Ah 8d 2c,3c,Jc8c,0.001,41.80,10.687,106.533,97.66,10.69,1.04,10.56,1.29,10.34
Ah 8d 2c,3c,Jc9c,0.003,25.03,6.84902,114.021,99.01,6.85,0.64,6.79,0.34,5.97
Ah 8d 2c,3c,JcTc,0.022,26.21,7.03364,111.802,98.92,7.04,0.78,6.93,0.30,6.18
Ah 8d 2c,3c,JcTd,0.003,8.57,0.21859,10.6225,0.71,-0.68,0.04,-0.94,99.25,0.23
Ah 8d 2c,3c,JcTh,0.002,8.55,0.21127,10.2901,0.58,-0.92,0.03,-1.04,99.38,0.22
Ah 8d 2c,3c,JcTs,0.002,9.74,0.23696,10.1352,1.68,-0.23,0.09,-0.41,98.23,0.25
Ah 8d 2c,3c,Qc8c,0.011,44.07,10.8814,102.891,75.07,10.89,17.04,10.86,7.89,10.82
Ah 8d 2c,3c,Qc9c,0.003,27.09,7.23777,111.315,96.56,7.24,3.12,7.12,0.32,6.27
Ah 8d 2c,3c,QcTc,0.006,27.11,7.55698,116.141,99.18,7.56,0.58,7.21,0.24,6.42
Ah 8d 2c,3c,QcJc,0.005,28.04,7.92326,117.755,99.12,7.93,0.65,7.61,0.23,6.58
Ah 8d 2c,3c,QcTd,0.002,9.72,0.26354,11.2929,0.70,-0.60,0.04,-0.90,99.26,0.27
Ah 8d 2c,3c,QcJd,0.002,10.69,0.24344,9.49036,0.80,-0.62,0.05,-0.51,99.14,0.25
Ah 8d 2c,3c,QcTh,0.002,9.69,0.25696,11.0542,0.58,-0.84,0.03,-1.00,99.39,0.26
Ah 8d 2c,3c,QcJh,0.002,10.55,0.23317,9.21001,0.63,-0.82,0.04,-0.77,99.33,0.24
Ah 8d 2c,3c,QcTs,0.002,11.27,0.28298,10.461,1.58,-0.16,0.09,-0.36,98.33,0.29
Ah 8d 2c,3c,QcJs,0.002,11.72,0.26725,9.50432,1.44,-0.27,0.16,-0.11,98.40,0.28
Ah 8d 2c,3c,Kc4c,0.030,33.40,10.7106,133.618,74.50,10.72,25.21,10.70,0.30,9.59
Ah 8d 2c,3c,Kc5c,0.003,33.23,10.5083,131.743,98.79,10.51,0.94,10.25,0.27,9.49
Ah 8d 2c,3c,Kc6c,0.002,27.16,7.16117,109.874,99.19,7.17,0.48,6.93,0.33,6.34
Ah 8d 2c,3c,Kc7c,0.002,27.10,7.1679,110.188,99.13,7.17,0.56,6.89,0.31,6.34
Ah 8d 2c,3c,Kc8c,0.058,45.88,11.0028,99.9262,59.58,10.99,26.20,11.02,14.22,11.02
Ah 8d 2c,3c,Kc9c,0.003,28.28,7.29438,107.466,99.20,7.30,0.45,7.09,0.35,6.48
Ah 8d 2c,3c,KcTc,0.001,28.30,7.5813,111.607,99.26,7.59,0.50,7.19,0.24,6.61
Ah 8d 2c,3c,KcJc,0.001,28.68,7.97746,115.899,99.29,7.98,0.49,7.47,0.22,6.78
Ah 8d 2c,3c,KcQc,0.001,29.21,8.04519,114.747,98.99,8.05,0.74,7.81,0.27,6.87
Ah 8d 2c,3c,KcTd,0.001,11.04,0.32139,12.1307,0.60,-0.83,0.03,-0.96,99.36,0.33
Ah 8d 2c,3c,KcJd,0.002,11.17,0.30301,11.2985,0.65,-0.84,0.06,-0.65,99.29,0.31
Ah 8d 2c,3c,KcQd,0.002,11.82,0.32649,11.5061,0.74,-0.73,0.14,-0.04,99.12,0.33
Ah 8d 2c,3c,KcTh,0.001,11.00,0.31627,11.9769,0.51,-1.05,0.03,-1.05,99.46,0.32
Ah 8d 2c,3c,KcJh,0.002,10.92,0.28917,11.0348,0.54,-1.04,0.03,-0.90,99.42,0.30
Ah 8d 2c,3c,KcQh,0.002,11.59,0.31943,11.4858,0.55,-1.06,0.07,-0.54,99.38,0.33
Ah 8d 2c,3c,KcTs,0.001,12.55,0.34254,11.3745,1.18,-0.37,0.08,-0.42,98.74,0.35
Ah 8d 2c,3c,KcJs,0.001,12.45,0.33058,11.0591,1.08,-0.47,0.15,-0.24,98.78,0.34
Ah 8d 2c,3c,KcQs,0.001,12.31,0.35443,11.9933,0.65,-0.63,0.75,-0.13,98.60,0.36
Ah 8d 2c,3c,Ac4c,0.031,60.15,18.3032,126.797,27.72,18.24,66.65,18.33,5.63,18.31
Ah 8d 2c,3c,Ac5c,0.026,60.50,18.3529,126.4,91.17,18.35,5.17,18.34,3.65,18.34
Ah 8d 2c,3c,Ac6c,0.001,56.74,15.51,113.898,82.28,15.51,9.45,15.49,8.26,15.48
Ah 8d 2c,3c,Ac7c,0.001,56.86,15.4869,113.489,82.05,15.50,7.35,15.46,10.60,15.43
Ah 8d 2c,3c,Ac8c,0.080,89.98,30.4702,141.096,96.60,30.47,0.84,30.32,2.55,30.39
Ah 8d 2c,3c,Ac9c,0.012,58.61,16.274,115.691,59.79,16.28,37.97,16.28,2.24,16.12
Ah 8d 2c,3c,AcTc,0.004,61.96,16.8351,113.21,25.49,16.76,36.02,16.87,38.48,16.85
Ah 8d 2c,3c,Ac2d,0.015,75.01,19.3934,107.726,0.52,18.47,89.55,19.40,9.94,19.37
Ah 8d 2c,3c,Ac3d,0.002,76.56,20.2636,110.28,0.22,18.14,12.62,20.29,87.16,20.27
Ah 8d 2c,3c,Ac4d,0.002,48.24,10.6029,91.5794,11.65,10.49,88.01,10.62,0.35,9.80
Ah 8d 2c,3c,Ac5d,0.001,48.63,10.7302,91.9453,99.29,10.74,0.19,10.58,0.52,9.78
Ah 8d 2c,3c,Ac6d,0.001,43.92,7.92274,75.1696,99.48,7.93,0.17,7.46,0.35,6.54
Ah 8d 2c,3c,Ac7d,0.001,43.92,7.94064,75.3402,99.56,7.95,0.07,7.41,0.37,6.41
Ah 8d 2c,3c,Ac9d,0.002,45.54,8.11077,74.202,99.44,8.12,0.09,7.84,0.47,6.83
Ah 8d 2c,3c,AcTd,0.002,50.17,8.62215,71.6114,82.07,8.64,16.65,8.58,1.29,8.20
Ah 8d 2c,3c,AcJd,0.003,56.27,10.0858,74.6889,14.48,10.04,80.45,10.10,5.07,10.00
Ah 8d 2c,3c,Ac2h,0.025,75.03,19.3852,107.658,0.58,18.48,76.35,19.39,23.08,19.38
Ah 8d 2c,3c,Ac3h,0.002,76.56,20.2723,110.329,0.21,18.14,8.60,20.27,91.18,20.28
Ah 8d 2c,3c,Ac4h,0.002,48.31,10.6329,91.7077,9.90,10.52,89.76,10.65,0.34,9.80
Ah 8d 2c,3c,Ac5h,0.001,48.69,10.7535,92.0238,99.32,10.76,0.17,10.57,0.52,9.82
Ah 8d 2c,3c,Ac6h,0.001,43.61,7.83862,74.8872,99.51,7.84,0.16,7.36,0.34,6.39
Ah 8d 2c,3c,Ac7h,0.001,43.54,7.62495,72.9617,99.53,7.63,0.07,7.34,0.40,6.23
Ah 8d 2c,3c,Ac8h,0.122,85.21,27.5456,134.698,69.61,27.56,27.97,27.52,2.42,27.54
Ah 8d 2c,3c,Ac9h,0.001,45.60,8.19511,74.8747,99.45,8.20,0.09,7.96,0.46,6.88
Ah 8d 2c,3c,AcTh,0.002,50.06,8.6395,71.9061,82.93,8.66,15.82,8.58,1.25,8.18
Ah 8d 2c,3c,AcJh,0.003,55.92,9.98159,74.3744,18.20,9.96,76.43,9.99,5.37,9.89
Ah 8d 2c,3c,Ac2s,0.029,75.06,19.3977,107.686,0.61,18.59,69.00,19.40,30.38,19.40
Ah 8d 2c,3c,Ac3s,0.005,76.54,20.2387,110.173,0.21,18.11,11.72,20.26,88.06,20.24
Ah 8d 2c,3c,Ac4s,0.005,48.44,10.6995,92.0336,30.22,10.70,69.28,10.70,0.51,9.85
Ah 8d 2c,3c,Ac5s,0.001,48.82,10.7381,91.6487,99.31,10.74,0.16,10.59,0.54,9.88
Ah 8d 2c,3c,Ac6s,0.001,44.10,7.98469,75.4412,99.45,7.99,0.19,7.54,0.36,6.65
Ah 8d 2c,3c,Ac7s,0.001,44.39,7.80976,73.3027,99.41,7.82,0.12,7.49,0.47,6.66
Ah 8d 2c,3c,Ac8s,0.129,85.64,27.3451,133.041,68.65,27.35,29.64,27.34,1.71,27.19
Ah 8d 2c,3c,Ac9s,0.002,46.88,8.47429,75.3238,99.29,8.48,0.09,8.26,0.62,7.51
Ah 8d 2c,3c,AcTs,0.003,51.48,9.1141,73.7702,91.46,9.13,6.63,9.04,1.91,8.81
Ah 8d 2c,3c,AcJs,0.004,57.29,10.473,76.1647,19.62,10.44,68.62,10.49,11.76,10.42
Ah 8d 2c,3c,6d6c,0.002,12.55,0.91234,30.2881,23.45,0.88,70.08,0.92,6.47,0.92
Ah 8d 2c,3c,6d5d,0.273,10.22,2.33317,95.1352,62.55,2.33,36.51,2.34,0.94,2.10
Ah 8d 2c,3c,7d7c,0.001,12.23,0.88527,30.1566,17.03,0.74,2.42,0.65,80.56,0.92
Ah 8d 2c,3c,7d6d,0.190,1.71,-0.01482,-3.6115,0.35,-1.92,0.02,-1.75,99.63,-0.01
