Flop,Turn,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 7%,BET 7 EV,BET 3%,BET 3 EV,CHECK%,CHECK EV
Ah 8d 2c,3c,6c5c,0.442,31.85,3.25424,170.286,63.89,3.26,34.22,3.25,1.88,3.19
Ah 8d 2c,3c,7c6c,0.496,25.65,2.33451,151.702,32.29,2.33,59.41,2.34,8.30,2.34
Ah 8d 2c,3c,8c7c,0.671,62.36,3.84519,102.763,0.94,3.72,1.83,3.83,97.24,3.85
Ah 8d 2c,3c,9c8c,0.916,63.67,3.91163,102.401,0.54,3.69,0.61,3.90,98.85,3.91
Ah 8d 2c,3c,Tc8c,0.763,64.64,4.04113,104.201,0.55,3.83,4.59,4.04,94.86,4.04
Ah 8d 2c,3c,Tc9c,0.435,28.19,2.31986,137.172,30.92,2.32,67.73,2.32,1.35,2.25
Ah 8d 2c,3c,Jc8c,0.769,65.66,4.14837,105.295,0.40,3.83,34.29,4.15,65.31,4.15
Ah 8d 2c,3c,Jc9c,0.533,29.62,2.32339,130.742,29.38,2.32,69.54,2.33,1.08,2.21
Ah 8d 2c,3c,JcTc,0.517,30.73,2.38816,129.503,79.55,2.39,19.74,2.39,0.71,2.18
Ah 8d 2c,3c,JcTd,0.737,13.03,0.35941,45.9639,8.35,0.34,48.98,0.36,42.66,0.36
Ah 8d 2c,3c,JcTh,0.715,13.03,0.36239,46.3395,8.74,0.34,45.12,0.36,46.14,0.36
Ah 8d 2c,3c,JcTs,0.726,12.89,0.34336,44.41,6.86,0.33,47.09,0.34,46.05,0.34
Ah 8d 2c,3c,Qc8c,0.884,66.58,4.26267,106.707,0.32,3.86,55.44,4.26,44.24,4.26
Ah 8d 2c,3c,Qc9c,0.815,33.01,2.34918,118.606,66.69,2.35,32.38,2.35,0.93,2.20
Ah 8d 2c,3c,QcTc,0.396,34.83,2.41391,115.499,79.26,2.42,20.11,2.41,0.62,2.16
Ah 8d 2c,3c,QcJc,0.491,36.69,2.41574,109.739,89.75,2.42,9.69,2.41,0.56,2.14
Ah 8d 2c,3c,QcTd,0.801,18.15,0.35333,32.4396,8.14,0.33,55.49,0.35,36.37,0.36
Ah 8d 2c,3c,QcJd,0.811,20.47,0.36287,29.5397,22.69,0.37,57.40,0.36,19.91,0.35
Ah 8d 2c,3c,QcTh,0.798,18.16,0.35692,32.7585,8.49,0.34,50.93,0.36,40.59,0.36
Ah 8d 2c,3c,QcJh,0.765,20.58,0.38185,30.9221,27.44,0.38,55.20,0.38,17.37,0.37
Ah 8d 2c,3c,QcTs,0.782,17.90,0.33684,31.3549,6.55,0.32,62.84,0.34,30.60,0.34
Ah 8d 2c,3c,QcJs,0.824,20.22,0.33704,27.7882,16.08,0.34,61.97,0.34,21.95,0.33
Ah 8d 2c,3c,Kc4c,0.377,43.06,3.34147,129.333,98.82,3.34,0.72,3.31,0.46,3.16
Ah 8d 2c,3c,Kc5c,0.419,43.27,3.28068,126.366,98.90,3.28,0.68,3.22,0.42,3.09
Ah 8d 2c,3c,Kc6c,0.677,38.75,2.48775,107.009,98.35,2.49,0.88,2.45,0.77,2.36
Ah 8d 2c,3c,Kc7c,0.845,39.73,2.45073,102.806,97.07,2.45,1.45,2.44,1.48,2.40
Ah 8d 2c,3c,Kc8c,0.805,67.67,4.44449,109.461,0.26,3.94,8.26,4.44,91.47,4.45
Ah 8d 2c,3c,Kc9c,0.956,42.90,2.43826,94.7351,54.88,2.44,40.31,2.44,4.80,2.41
Ah 8d 2c,3c,KcTc,0.791,45.59,2.50531,91.5804,16.46,2.50,30.88,2.51,52.66,2.51
Ah 8d 2c,3c,KcJc,0.970,48.48,2.66003,91.444,0.42,2.52,0.76,2.54,98.82,2.66
Ah 8d 2c,3c,KcQc,0.984,51.25,2.82141,91.7504,0.19,2.49,0.32,2.55,99.49,2.82
Ah 8d 2c,3c,KcTd,0.976,31.57,0.66538,35.124,0.40,0.49,0.40,0.48,99.20,0.67
Ah 8d 2c,3c,KcJd,0.987,35.20,0.88364,41.8336,0.20,0.53,0.20,0.51,99.61,0.89
Ah 8d 2c,3c,KcQd,0.991,38.69,1.11582,48.0688,0.12,0.50,0.11,0.50,99.77,1.12
Ah 8d 2c,3c,KcTh,0.975,31.57,0.66562,35.1345,0.41,0.49,0.41,0.48,99.18,0.67
Ah 8d 2c,3c,KcJh,0.985,35.30,0.88953,41.9994,0.21,0.55,0.20,0.52,99.59,0.89
Ah 8d 2c,3c,KcQh,0.991,38.71,1.11507,48.0135,0.12,0.50,0.11,0.50,99.77,1.12
Ah 8d 2c,3c,KcTs,0.979,31.32,0.66236,35.247,0.36,0.47,0.36,0.46,99.29,0.66
Ah 8d 2c,3c,KcJs,0.987,34.94,0.86762,41.3846,0.19,0.50,0.19,0.48,99.62,0.87
Ah 8d 2c,3c,KcQs,0.992,38.50,1.10657,47.9067,0.12,0.48,0.11,0.48,99.77,1.11
Ah 8d 2c,3c,Ac4c,0.784,86.62,6.99433,134.584,0.84,6.79,39.91,7.00,59.25,7.00
Ah 8d 2c,3c,Ac5c,0.707,88.00,7.12632,134.965,1.00,6.96,41.06,7.13,57.95,7.13
Ah 8d 2c,3c,Ac6c,0.770,87.85,7.00374,132.876,1.44,6.87,69.09,7.01,29.46,7.00
Ah 8d 2c,3c,Ac7c,0.546,88.96,7.21436,135.161,2.12,7.13,95.68,7.22,2.19,7.19
Ah 8d 2c,3c,Ac8c,0.342,97.48,10.2033,174.459,98.40,10.20,1.06,10.17,0.54,10.09
Ah 8d 2c,3c,Ac9c,0.502,90.84,7.72682,141.759,46.65,7.73,52.28,7.73,1.08,7.59
Ah 8d 2c,3c,AcTc,0.691,91.84,8.06322,146.335,87.78,8.06,11.49,8.06,0.73,7.88
Ah 8d 2c,3c,Ac2d,0.616,90.89,7.42294,136.11,1.14,7.30,95.94,7.42,2.92,7.42
Ah 8d 2c,3c,Ac3d,0.913,93.48,8.35018,148.869,21.45,8.35,58.24,8.35,20.31,8.35
Ah 8d 2c,3c,Ac4d,0.908,82.15,5.7246,116.147,0.13,5.14,0.44,5.57,99.43,5.73
Ah 8d 2c,3c,Ac5d,0.871,83.96,5.9156,117.425,0.14,5.41,0.49,5.77,99.37,5.92
Ah 8d 2c,3c,Ac6d,0.900,83.67,5.77911,115.116,0.14,5.35,0.62,5.65,99.24,5.78
Ah 8d 2c,3c,Ac7d,0.852,85.16,5.9821,117.073,0.33,5.72,1.42,5.95,98.25,5.98
Ah 8d 2c,3c,Ac9d,0.614,87.36,6.44875,123.024,1.62,6.37,11.33,6.44,87.05,6.45
Ah 8d 2c,3c,AcTd,0.695,88.63,6.80884,128.035,2.94,6.74,84.80,6.81,12.25,6.81
Ah 8d 2c,3c,AcJd,0.728,89.45,7.04428,131.247,13.63,7.02,75.62,7.05,10.75,7.04
Ah 8d 2c,3c,Ac2h,0.622,90.89,7.41974,136.058,1.11,7.30,96.22,7.42,2.67,7.42
Ah 8d 2c,3c,Ac3h,0.915,93.47,8.34425,148.785,19.83,8.34,60.20,8.34,19.97,8.35
Ah 8d 2c,3c,Ac4h,0.906,82.15,5.72359,116.124,0.13,5.14,0.45,5.57,99.43,5.73
Ah 8d 2c,3c,Ac5h,0.846,83.96,5.91432,117.398,0.15,5.41,0.49,5.77,99.36,5.92
Ah 8d 2c,3c,Ac6h,0.885,83.66,5.77634,115.082,0.14,5.35,0.61,5.64,99.26,5.78
Ah 8d 2c,3c,Ac7h,0.793,85.15,5.98135,117.08,0.32,5.72,1.38,5.95,98.30,5.98
Ah 8d 2c,3c,Ac8h,0.537,96.06,9.49111,164.674,97.85,9.49,1.15,9.49,0.99,9.46
Ah 8d 2c,3c,Ac9h,0.542,87.41,6.46782,123.324,1.41,6.38,6.84,6.46,91.75,6.47
Ah 8d 2c,3c,AcTh,0.675,88.64,6.80803,128.014,2.95,6.75,85.12,6.81,11.92,6.81
Ah 8d 2c,3c,AcJh,0.671,89.49,7.04019,131.114,11.87,7.02,78.08,7.04,10.05,7.04
Ah 8d 2c,3c,Ac2s,0.687,90.89,7.41726,136.004,1.26,7.31,95.46,7.42,3.28,7.41
Ah 8d 2c,3c,Ac3s,0.820,93.47,8.3379,148.676,33.89,8.34,27.11,8.33,39.00,8.34
Ah 8d 2c,3c,Ac4s,0.800,82.12,5.71516,115.998,0.13,5.15,0.44,5.56,99.43,5.72
Ah 8d 2c,3c,Ac5s,0.807,83.88,5.90288,117.295,0.14,5.41,0.48,5.75,99.37,5.90
Ah 8d 2c,3c,Ac6s,0.840,83.59,5.77621,115.174,0.14,5.35,0.60,5.63,99.26,5.78
Ah 8d 2c,3c,Ac7s,0.713,85.03,5.9901,117.408,0.30,5.71,1.31,5.94,98.39,5.99
Ah 8d 2c,3c,Ac8s,0.535,96.03,9.51844,165.193,98.44,9.52,0.81,9.49,0.74,9.47
Ah 8d 2c,3c,Ac9s,0.596,87.13,6.44512,123.282,1.64,6.38,8.93,6.44,89.43,6.45
Ah 8d 2c,3c,AcTs,0.721,88.58,6.8035,128.013,2.97,6.73,81.98,6.81,15.05,6.80
Ah 8d 2c,3c,AcJs,0.715,89.40,7.04504,131.345,13.40,7.02,68.47,7.05,18.13,7.05
Ah 8d 2c,3c,6d6c,0.713,45.08,1.76577,65.2837,0.26,1.53,0.28,1.49,99.46,1.77
Ah 8d 2c,3c,6d5d,0.418,15.17,1.59832,175.644,59.59,1.60,38.16,1.60,2.26,1.57
Ah 8d 2c,3c,7d7c,0.661,46.20,1.81151,65.3438,0.25,1.46,0.26,1.62,99.49,1.81
Ah 8d 2c,3c,7d6d,0.448,6.92,0.63628,153.288,20.02,0.63,3.08,0.58,76.90,0.64
Ah 8d 2c,3c,9d9c,0.690,58.89,2.9974,84.8247,0.12,1.99,0.46,2.96,99.42,3.00
Ah 8d 2c,3c,TdTc,0.828,61.07,3.18827,87.0111,0.10,2.00,0.10,3.10,99.79,3.19
Ah 8d 2c,3c,Td9d,0.414,9.78,0.44566,75.9524,4.54,0.45,9.74,0.44,85.72,0.45
Ah 8d 2c,3c,JdTc,0.727,13.02,0.37387,47.8681,18.73,0.37,43.29,0.38,37.98,0.38
Ah 8d 2c,3c,Jd9d,0.515,11.55,0.4343,62.6838,9.23,0.43,20.90,0.44,69.87,0.43
Ah 8d 2c,3c,JdTd,0.456,12.84,0.30326,39.3566,4.10,0.28,52.16,0.30,43.73,0.30
Ah 8d 2c,3c,JdTh,0.729,12.89,0.31278,40.4353,4.29,0.29,61.88,0.31,33.83,0.31
Ah 8d 2c,3c,JdTs,0.726,12.74,0.29285,38.2991,3.48,0.28,58.91,0.29,37.60,0.29
Ah 8d 2c,3c,QdTc,0.802,18.11,0.34742,31.9801,20.52,0.34,30.36,0.35,49.13,0.35
Ah 8d 2c,3c,QdJc,0.812,20.42,0.3407,27.8113,30.64,0.34,42.43,0.34,26.93,0.34
Ah 8d 2c,3c,Qd9d,0.773,15.75,0.40221,42.5739,8.31,0.39,11.61,0.40,80.08,0.40
Ah 8d 2c,3c,QdTd,0.430,17.92,0.28028,26.068,3.39,0.25,16.22,0.28,80.39,0.28
Ah 8d 2c,3c,QdJd,0.537,20.23,0.29975,24.6984,2.55,0.26,8.83,0.29,88.62,0.30
Ah 8d 2c,3c,QdTh,0.792,17.98,0.28778,26.6827,3.79,0.26,34.71,0.29,61.50,0.29
Ah 8d 2c,3c,QdJh,0.760,20.39,0.31361,25.6332,4.21,0.29,35.83,0.31,59.96,0.31
Ah 8d 2c,3c,QdTs,0.771,17.72,0.27071,25.4631,2.91,0.25,15.89,0.27,81.20,0.27
Ah 8d 2c,3c,QdJs,0.820,20.02,0.29079,24.2086,2.01,0.24,4.95,0.27,93.04,0.29
Ah 8d 2c,3c,KdTc,0.977,31.56,0.63372,33.4641,0.29,0.34,0.30,0.50,99.41,0.64
Ah 8d 2c,3c,KdJc,0.988,35.14,0.85435,40.5221,0.17,0.38,0.17,0.54,99.66,0.86
Ah 8d 2c,3c,KdQc,0.992,38.61,1.08895,47.0021,0.12,0.41,0.11,0.57,99.77,1.09
Ah 8d 2c,3c,Kd2d,0.527,43.14,1.74123,67.2747,0.18,1.50,0.21,1.32,99.61,1.74
Ah 8d 2c,3c,Kd3d,0.381,43.88,1.86943,71.0008,0.22,1.73,0.24,1.47,99.54,1.87
Ah 8d 2c,3c,Kd4d,0.330,28.73,1.33514,77.4399,71.52,1.34,27.05,1.33,1.44,1.23
Ah 8d 2c,3c,Kd5d,0.337,28.98,1.2461,71.6666,83.27,1.25,13.95,1.24,2.78,1.20
Ah 8d 2c,3c,Kd6d,0.619,22.92,0.35279,25.6532,2.29,0.31,16.01,0.35,81.70,0.35
Ah 8d 2c,3c,Kd7d,0.820,24.20,0.36099,24.8631,3.02,0.36,7.64,0.36,89.34,0.36
Ah 8d 2c,3c,Kd9d,0.954,28.09,0.4745,28.1527,0.47,0.30,0.51,0.43,99.02,0.48
Ah 8d 2c,3c,KdTd,0.861,31.39,0.61956,32.8908,0.21,0.21,0.22,0.45,99.56,0.62
Ah 8d 2c,3c,KdJd,0.977,34.97,0.83562,39.8232,0.15,0.29,0.15,0.50,99.70,0.84
Ah 8d 2c,3c,KdQd,0.987,38.40,1.06572,46.2582,0.11,0.30,0.10,0.51,99.80,1.07
Ah 8d 2c,3c,KdTh,0.976,31.40,0.61966,32.8936,0.22,0.21,0.22,0.45,99.56,0.62
Ah 8d 2c,3c,KdJh,0.986,35.07,0.841,39.9705,0.15,0.31,0.15,0.51,99.70,0.84
Ah 8d 2c,3c,KdQh,0.992,38.42,1.06501,46.2048,0.11,0.30,0.10,0.52,99.79,1.07
Ah 8d 2c,3c,KdTs,0.980,31.14,0.61724,33.0355,0.20,0.19,0.21,0.43,99.59,0.62
Ah 8d 2c,3c,KdJs,0.988,34.71,0.81803,39.2827,0.14,0.26,0.14,0.48,99.71,0.82
Ah 8d 2c,3c,KdQs,0.992,38.20,1.05638,46.0844,0.10,0.28,0.10,0.50,99.80,1.06
Ah 8d 2c,3c,Ad4c,0.907,82.13,5.69584,115.58,0.12,5.02,0.42,5.54,99.46,5.70
Ah 8d 2c,3c,Ad5c,0.868,83.95,5.89379,117.013,0.14,5.31,0.49,5.76,99.36,5.90
Ah 8d 2c,3c,Ad6c,0.898,83.71,5.76228,114.728,0.13,5.24,0.60,5.63,99.27,5.76
Ah 8d 2c,3c,Ad7c,0.833,85.18,5.9776,116.961,0.21,5.62,0.99,5.90,98.81,5.98
Ah 8d 2c,3c,Ad8c,0.537,95.88,9.23406,160.511,74.53,9.24,16.70,9.23,8.77,9.22
Ah 8d 2c,3c,Ad9c,0.612,87.26,6.39872,122.214,1.51,6.32,47.75,6.40,50.74,6.40
Ah 8d 2c,3c,AdTc,0.682,88.52,6.73336,126.783,4.04,6.69,61.62,6.74,34.34,6.74
Ah 8d 2c,3c,AdJc,0.700,89.29,6.97055,130.106,34.51,6.97,50.41,6.97,15.08,6.96
Ah 8d 2c,3c,Ad2d,0.460,90.56,7.30409,134.425,1.54,7.21,29.44,7.30,69.02,7.31
