Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,28.08,12.0892,179.418,99.60,12.09,0.40,10.97
Ah 8d 2c,6c5c,1.000,15.55,4.53085,121.367,85.93,4.53,14.07,4.51
Ah 8d 2c,7c6c,1.000,15.59,4.19543,112.16,72.03,4.20,27.97,4.19
Ah 8d 2c,8c7c,1.000,40.94,10.6887,108.774,98.13,10.69,1.87,10.40
Ah 8d 2c,9c8c,1.000,42.44,10.6848,104.904,93.10,10.69,6.90,10.61
Ah 8d 2c,Tc8c,1.000,42.39,9.81323,96.4507,4.44,9.65,95.56,9.82
Ah 8d 2c,Tc9c,1.000,16.97,4.62531,113.594,46.79,4.62,53.21,4.63
Ah 8d 2c,Jc9c,1.000,14.94,3.38231,94.3248,74.19,3.38,25.81,3.38
Ah 8d 2c,JcTc,1.000,17.12,4.78099,116.358,61.57,4.78,38.43,4.78
Ah 8d 2c,Qc9c,1.000,14.71,3.14253,89.0255,95.42,3.15,4.58,3.05
Ah 8d 2c,QcTc,1.000,16.99,4.38123,107.455,64.08,4.38,35.92,4.38
Ah 8d 2c,QcJc,1.000,19.14,3.5304,76.8462,91.53,3.54,8.47,3.44
Ah 8d 2c,QcJd,1.000,15.53,1.85673,49.8039,31.39,1.85,68.61,1.86
Ah 8d 2c,QcJh,1.000,15.54,1.86444,50.0026,37.75,1.86,62.25,1.87
Ah 8d 2c,QcJs,1.000,15.29,1.70632,46.5028,22.80,1.71,77.20,1.71
Ah 8d 2c,Kc9c,1.000,19.16,2.70005,58.7092,6.52,2.58,93.48,2.71
Ah 8d 2c,KcTc,1.000,21.51,3.60877,69.8889,73.49,3.61,26.51,3.60
Ah 8d 2c,KcJc,1.000,23.96,3.10006,53.9024,50.95,3.11,49.05,3.09
Ah 8d 2c,KcQc,1.000,29.93,3.83928,53.4426,7.19,3.85,92.81,3.84
Ah 8d 2c,KcJd,1.000,20.65,1.56743,31.6247,3.59,1.44,96.41,1.57
Ah 8d 2c,KcQd,1.000,26.79,2.37277,36.9026,1.57,2.12,98.43,2.38
Ah 8d 2c,KcJh,1.000,20.65,1.56669,31.6166,4.17,1.45,95.83,1.57
Ah 8d 2c,KcQh,1.000,26.80,2.37407,36.9074,1.73,2.14,98.27,2.38
Ah 8d 2c,KcJs,1.000,20.05,1.52189,31.6293,1.48,1.28,98.52,1.53
Ah 8d 2c,KcQs,1.000,26.24,2.29617,36.4673,0.85,1.89,99.15,2.30
Ah 8d 2c,Ac3c,1.000,71.45,20.2374,118.021,30.16,20.24,69.84,20.24
Ah 8d 2c,Ac4c,1.000,71.45,20.3414,118.627,33.84,20.35,66.16,20.34
