Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,28.08,12.1081,179.699,99.60,12.11,0.40,10.97
Ah 8d 2c,6c5c,1.000,15.55,5.62232,150.604,85.93,5.81,14.07,4.51
Ah 8d 2c,7c6c,1.000,15.59,5.45149,145.739,72.03,5.94,27.97,4.19
Ah 8d 2c,8c7c,1.000,40.94,11.5547,117.586,98.13,11.58,1.87,10.40
Ah 8d 2c,9c8c,1.000,42.44,11.5874,113.766,93.10,11.66,6.90,10.61
Ah 8d 2c,Tc8c,1.000,42.39,9.88868,97.1922,4.44,11.35,95.56,9.82
Ah 8d 2c,Tc9c,1.000,16.97,5.93155,145.675,46.79,7.42,53.21,4.63
Ah 8d 2c,Jc9c,1.000,14.94,5.57761,155.547,74.19,6.34,25.81,3.38
Ah 8d 2c,JcTc,1.000,17.12,6.59576,160.525,61.57,7.73,38.43,4.78
Ah 8d 2c,Qc9c,1.000,14.71,4.77172,135.179,95.42,4.85,4.58,3.05
Ah 8d 2c,QcTc,1.000,16.99,5.37104,131.731,64.08,5.93,35.92,4.38
Ah 8d 2c,QcJc,1.000,19.14,5.11665,111.374,91.53,5.27,8.47,3.44
Ah 8d 2c,QcJd,1.000,15.53,2.65433,71.1982,31.39,4.39,68.61,1.86
Ah 8d 2c,QcJh,1.000,15.54,2.84913,76.4113,37.75,4.46,62.25,1.87
Ah 8d 2c,QcJs,1.000,15.29,2.11848,57.7356,22.80,3.52,77.20,1.71
Ah 8d 2c,Kc9c,1.000,19.16,2.86649,62.3284,6.52,5.14,93.48,2.71
Ah 8d 2c,KcTc,1.000,21.51,5.48367,106.199,73.49,6.16,26.51,3.60
Ah 8d 2c,KcJc,1.000,23.96,4.44962,77.3679,50.95,5.76,49.05,3.09
Ah 8d 2c,KcQc,1.000,29.93,3.91757,54.5325,7.19,4.94,92.81,3.84
Ah 8d 2c,KcJd,1.000,20.65,1.6836,33.9686,3.59,4.68,96.41,1.57
Ah 8d 2c,KcQd,1.000,26.79,2.39788,37.2932,1.57,3.72,98.43,2.38
Ah 8d 2c,KcJh,1.000,20.65,1.70353,34.378,4.17,4.73,95.83,1.57
Ah 8d 2c,KcQh,1.000,26.80,2.4004,37.3167,1.73,3.66,98.27,2.38
Ah 8d 2c,KcJs,1.000,20.05,1.56701,32.5671,1.48,4.34,98.52,1.53
Ah 8d 2c,KcQs,1.000,26.24,2.3074,36.6458,0.85,3.21,99.15,2.30
Ah 8d 2c,Ac3c,1.000,71.45,19.3937,113.101,30.16,17.44,69.84,20.24
Ah 8d 2c,Ac4c,1.000,71.45,19.3879,113.067,33.84,17.53,66.16,20.34
Ah 8d 2c,Ac5c,1.000,71.45,19.3224,112.685,34.95,17.49,65.05,20.31
Ah 8d 2c,Ac6c,1.000,70.81,19.3196,113.689,15.67,17.21,84.33,19.71
Ah 8d 2c,Ac7c,1.000,70.53,19.3378,114.244,3.09,17.15,96.91,19.41
Ah 8d 2c,Ac8c,1.000,91.04,38.498,176.194,99.62,38.49,0.38,39.31
Ah 8d 2c,Ac9c,1.000,71.11,19.9628,116.966,2.33,17.20,97.67,20.03
Ah 8d 2c,AcTc,1.000,75.13,20.8355,115.553,28.01,18.78,71.99,21.64
Ah 8d 2c,AcJc,1.000,80.98,24.8443,127.829,68.18,23.97,31.82,26.71
Ah 8d 2c,AcQc,1.000,87.38,32.1755,153.428,94.18,32.09,5.82,33.56
Ah 8d 2c,AcKc,1.000,90.64,38.6404,177.634,99.66,38.64,0.34,39.08
Ah 8d 2c,AcTd,1.000,73.95,20.454,115.254,5.40,17.60,94.60,20.62
Ah 8d 2c,AcJd,1.000,80.13,25.2826,131.474,18.52,22.84,81.48,25.84
Ah 8d 2c,AcQd,1.000,86.94,32.1666,154.167,55.80,31.49,44.20,33.02
