Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,28.08,11.9329,177.099,99.60,11.94,0.40,10.97
Ah 8d 2c,6c5c,1.000,15.55,0.5608,15.0221,85.93,-0.09,14.07,4.51
Ah 8d 2c,7c6c,1.000,15.59,-0.2149,-5.74522,72.03,-1.93,27.97,4.19
Ah 8d 2c,8c7c,1.000,40.94,9.69002,98.6108,98.13,9.68,1.87,10.40
Ah 8d 2c,9c8c,1.000,42.44,9.5625,93.885,93.10,9.49,6.90,10.61
Ah 8d 2c,Tc8c,1.000,42.39,9.76261,95.9532,4.44,8.51,95.56,9.82
Ah 8d 2c,Tc9c,1.000,16.97,1.33537,32.7957,46.79,-2.41,53.21,4.63
Ah 8d 2c,Jc9c,1.000,14.94,-1.59308,-44.4273,74.19,-3.32,25.81,3.38
Ah 8d 2c,JcTc,1.000,17.12,0.32751,7.97094,61.57,-2.45,38.43,4.78
Ah 8d 2c,Qc9c,1.000,14.71,-2.67628,-75.8171,95.42,-2.95,4.58,3.05
Ah 8d 2c,QcTc,1.000,16.99,0.13357,3.27588,64.08,-2.25,35.92,4.38
Ah 8d 2c,QcJc,1.000,19.14,-2.14476,-46.6849,91.53,-2.66,8.47,3.44
Ah 8d 2c,QcJd,1.000,15.53,-0.18257,-4.89725,31.39,-4.65,68.61,1.86
Ah 8d 2c,QcJh,1.000,15.54,-0.60394,-16.1972,37.75,-4.68,62.25,1.87
Ah 8d 2c,QcJs,1.000,15.29,0.30434,8.2944,22.80,-4.44,77.20,1.71
Ah 8d 2c,Kc9c,1.000,19.16,2.28722,49.7329,6.52,-3.75,93.48,2.71
Ah 8d 2c,KcTc,1.000,21.51,-1.4329,-27.7501,73.49,-3.25,26.51,3.60
Ah 8d 2c,KcJc,1.000,23.96,-0.0158,-0.27474,50.95,-3.00,49.05,3.09
Ah 8d 2c,KcQc,1.000,29.93,3.54727,49.3779,7.19,-0.21,92.81,3.84
Ah 8d 2c,KcJd,1.000,20.65,1.33902,27.0163,3.59,-4.94,96.41,1.57
Ah 8d 2c,KcQd,1.000,26.79,2.28049,35.4675,1.57,-3.75,98.43,2.38
Ah 8d 2c,KcJh,1.000,20.65,1.30023,26.2393,4.17,-4.94,95.83,1.57
Ah 8d 2c,KcQh,1.000,26.80,2.2734,35.3424,1.73,-3.69,98.27,2.38
Ah 8d 2c,KcJs,1.000,20.05,1.42999,29.7194,1.48,-4.95,98.52,1.53
Ah 8d 2c,KcQs,1.000,26.24,2.24834,35.7078,0.85,-3.71,99.15,2.30
Ah 8d 2c,Ac3c,1.000,71.45,22.63,131.974,30.16,28.17,69.84,20.24
Ah 8d 2c,Ac4c,1.000,71.45,23.0855,134.631,33.84,28.45,66.16,20.34
Ah 8d 2c,Ac5c,1.000,71.45,23.1472,134.99,34.95,28.43,65.05,20.31
Ah 8d 2c,Ac6c,1.000,70.81,20.5503,120.931,15.67,25.07,84.33,19.71
Ah 8d 2c,Ac7c,1.000,70.53,19.5555,115.53,3.09,24.19,96.91,19.41
Ah 8d 2c,Ac8c,1.000,91.04,48.2554,220.85,99.62,48.29,0.38,39.31
Ah 8d 2c,Ac9c,1.000,71.11,20.1834,118.259,2.33,26.68,97.67,20.03
Ah 8d 2c,AcTc,1.000,75.13,23.7602,131.773,28.01,29.22,71.99,21.64
Ah 8d 2c,AcJc,1.000,80.98,32.1446,165.391,68.18,34.68,31.82,26.71
Ah 8d 2c,AcQc,1.000,87.38,41.1999,196.461,94.18,41.67,5.82,33.56
Ah 8d 2c,AcKc,1.000,90.64,46.6122,214.281,99.66,46.64,0.34,39.08
Ah 8d 2c,AcTd,1.000,73.95,21.0184,118.434,5.40,28.05,94.60,20.62
Ah 8d 2c,AcJd,1.000,80.13,27.2448,141.678,18.52,33.43,81.48,25.84
Ah 8d 2c,AcQd,1.000,86.94,37.4046,179.272,55.80,40.88,44.20,33.02
Ah 8d 2c,AcKd,1.000,90.34,45.2921,208.901,99.61,45.32,0.39,38.70
Ah 8d 2c,AcTh,1.000,73.91,20.9969,118.373,5.05,28.35,94.95,20.61
Ah 8d 2c,AcJh,1.000,80.07,27.8877,145.123,28.38,33.34,71.62,25.73
Ah 8d 2c,AcQh,1.000,86.85,38.1642,183.09,65.79,40.90,34.21,32.90
Ah 8d 2c,AcKh,1.000,90.26,45.3686,209.431,99.59,45.40,0.41,38.61
Ah 8d 2c,AcTs,1.000,73.62,21.6481,122.519,21.70,25.88,78.30,20.48
Ah 8d 2c,AcJs,1.000,79.77,27.7788,145.104,38.85,31.12,61.15,25.66
Ah 8d 2c,AcQs,1.000,86.70,37.6114,180.749,69.90,39.56,30.10,33.08
Ah 8d 2c,AcKs,1.000,90.10,45.2308,209.159,99.70,45.25,0.30,38.64
Ah 8d 2c,3d3c,1.000,27.87,2.47637,37.0204,63.90,1.18,36.10,4.77
Ah 8d 2c,4d4c,1.000,27.87,3.20467,47.9081,86.33,2.93,13.67,4.97
Ah 8d 2c,5d5c,1.000,27.87,3.16022,47.2436,85.06,2.85,14.94,4.91
Ah 8d 2c,5d4d,1.000,28.07,12.1258,179.967,99.59,12.13,0.41,11.00
Ah 8d 2c,6d6c,1.000,27.14,3.00146,46.0793,43.92,1.55,56.08,4.14
Ah 8d 2c,6d5d,1.000,15.56,0.73463,19.6708,83.88,0.00,16.12,4.55
Ah 8d 2c,7d7c,1.000,29.46,2.40201,33.9779,26.59,-2.74,73.41,4.27
Ah 8d 2c,7d6d,1.000,15.61,-0.02867,-0.76512,69.81,-1.88,30.19,4.26
Ah 8d 2c,9d9c,1.000,34.57,4.99969,60.2574,18.88,3.94,81.12,5.25
Ah 8d 2c,TdTc,1.000,41.49,3.70012,37.1622,54.39,0.90,45.61,7.04
Ah 8d 2c,Td9d,1.000,16.98,1.69802,41.6608,43.33,-2.23,56.67,4.70
Ah 8d 2c,JdJc,1.000,46.23,7.74099,69.7711,35.42,6.06,64.58,8.66
Ah 8d 2c,Jd9d,1.000,14.96,-1.60093,-44.593,75.46,-3.24,24.54,3.44
Ah 8d 2c,JdTd,1.000,17.13,0.38076,9.26079,61.58,-2.38,38.42,4.81
Ah 8d 2c,QdJc,1.000,15.53,-0.19206,-5.154,31.61,-4.65,68.39,1.87
Ah 8d 2c,QdQc,1.000,52.54,10.2557,81.3391,40.52,9.65,59.48,10.67
Ah 8d 2c,Qd9d,1.000,14.72,-2.66132,-75.3082,96.75,-2.86,3.25,3.11
Ah 8d 2c,QdTd,1.000,17.00,0.22879,5.60872,63.56,-2.17,36.44,4.42
Ah 8d 2c,QdJd,1.000,19.16,-2.09166,-45.4832,91.12,-2.63,8.88,3.46
Ah 8d 2c,QdJh,1.000,15.54,-0.45827,-12.2843,35.55,-4.68,64.45,1.87
Ah 8d 2c,QdJs,1.000,15.30,0.30699,8.3627,22.77,-4.45,77.23,1.71
Ah 8d 2c,KdJc,1.000,20.65,1.34994,27.2425,3.45,-4.95,96.55,1.57
Ah 8d 2c,KdQc,1.000,26.80,2.2752,35.377,1.58,-3.73,98.42,2.37
Ah 8d 2c,KdKc,1.000,55.71,11.0564,82.6862,39.53,10.04,60.47,11.72
Ah 8d 2c,Kd9d,1.000,19.17,2.0935,45.5115,10.58,-3.43,89.42,2.75
Ah 8d 2c,KdTd,1.000,21.52,-1.01489,-19.6516,67.85,-3.21,32.15,3.63
Ah 8d 2c,KdJd,1.000,24.02,0.10923,1.89495,49.07,-3.00,50.93,3.10
Ah 8d 2c,KdQd,1.000,29.99,3.63777,50.5443,8.54,1.05,91.46,3.88
Ah 8d 2c,KdJh,1.000,20.67,1.31799,26.5668,3.95,-4.95,96.05,1.58
Ah 8d 2c,KdQh,1.000,26.83,2.27379,35.3094,1.72,-3.69,98.28,2.38
Ah 8d 2c,KdJs,1.000,20.07,1.43381,29.7618,1.46,-4.95,98.54,1.53
Ah 8d 2c,KdQs,1.000,26.26,2.24836,35.669,0.85,-3.71,99.15,2.30
Ah 8d 2c,AdTc,1.000,73.97,20.9906,118.24,4.64,27.74,95.36,20.66
Ah 8d 2c,AdJc,1.000,80.14,27.1182,140.997,18.34,32.85,81.66,25.83
Ah 8d 2c,AdQc,1.000,86.94,37.4485,179.483,57.23,40.73,42.77,33.06
Ah 8d 2c,AdKc,1.000,90.34,45.4807,209.765,99.65,45.50,0.35,38.74
Ah 8d 2c,AdAc,1.000,98.88,52.2801,220.308,45.12,59.28,54.88,46.53
Ah 8d 2c,Ad2d,1.000,87.25,43.5515,207.99,99.04,43.63,0.96,35.24
Ah 8d 2c,Ad3d,1.000,71.47,22.4907,131.113,28.89,27.96,71.11,20.27
Ah 8d 2c,Ad4d,1.000,71.47,22.7619,132.694,30.94,28.10,69.06,20.37
Ah 8d 2c,Ad5d,1.000,71.47,22.8114,132.983,31.94,28.08,68.06,20.34
Ah 8d 2c,Ad6d,1.000,70.84,20.4787,120.447,13.82,25.01,86.18,19.75
Ah 8d 2c,Ad7d,1.000,70.54,19.5662,115.571,2.81,23.81,97.19,19.44
Ah 8d 2c,Ad9d,1.000,71.16,20.2191,118.396,2.32,26.67,97.68,20.07
Ah 8d 2c,AdTd,1.000,75.15,23.7742,131.823,28.87,28.99,71.13,21.66
Ah 8d 2c,AdJd,1.000,81.01,31.9727,164.444,66.42,34.61,33.58,26.75
Ah 8d 2c,AdQd,1.000,87.40,41.1753,196.296,95.42,41.54,4.58,33.63
Ah 8d 2c,AdKd,1.000,90.64,46.7954,215.114,99.70,46.82,0.30,39.11
Ah 8d 2c,AdTh,1.000,73.93,21.0148,118.432,5.26,28.13,94.74,20.62
Ah 8d 2c,AdJh,1.000,80.09,27.9725,145.525,30.57,33.05,69.43,25.74
Ah 8d 2c,AdQh,1.000,86.86,38.5243,184.807,70.42,40.87,29.58,32.95
Ah 8d 2c,AdKh,1.000,90.26,45.5606,210.323,99.65,45.58,0.35,38.64
Ah 8d 2c,AdTs,1.000,73.65,21.578,122.081,21.62,25.53,78.38,20.49
Ah 8d 2c,AdJs,1.000,79.79,27.6807,144.547,40.44,30.64,59.56,25.67
Ah 8d 2c,AdQs,1.000,86.71,37.6995,181.152,73.61,39.34,26.39,33.13
Ah 8d 2c,AdKs,1.000,90.10,45.4408,210.142,99.74,45.46,0.26,38.66
