Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,29.87,9.0912,126.795,72.80,9.09,27.20,9.09
Ah 8d 2c,6c5c,1.000,18.92,2.78842,61.413,87.33,2.79,12.67,2.78
Ah 8d 2c,7c6c,1.000,20.27,2.63434,54.1497,70.60,2.64,29.40,2.63
Ah 8d 2c,8c7c,1.000,51.76,9.49697,76.4565,54.94,9.49,45.06,9.50
Ah 8d 2c,9c8c,1.000,53.25,9.6457,75.4799,35.83,9.65,64.17,9.65
Ah 8d 2c,Tc8c,1.000,53.86,9.47367,73.2898,43.11,9.48,56.89,9.47
Ah 8d 2c,Tc9c,1.000,22.36,3.05563,56.9415,52.79,3.05,47.21,3.06
Ah 8d 2c,Jc9c,1.000,22.50,2.56855,47.575,73.51,2.57,26.49,2.57
Ah 8d 2c,JcTc,1.000,25.05,3.14423,52.2911,77.21,3.14,22.79,3.14
Ah 8d 2c,Qc9c,1.000,24.99,2.30917,38.5057,70.41,2.31,29.59,2.30
Ah 8d 2c,QcTc,1.000,27.63,2.80915,42.3647,67.27,2.81,32.73,2.81
Ah 8d 2c,QcJc,1.000,30.49,2.93662,40.1261,82.53,2.94,17.47,2.94
Ah 8d 2c,QcJd,1.000,27.25,1.63716,25.0331,13.74,1.63,86.26,1.64
Ah 8d 2c,QcJh,1.000,27.33,1.63637,24.9483,15.40,1.64,84.60,1.64
Ah 8d 2c,QcJs,1.000,27.20,1.5531,23.7874,12.78,1.55,87.22,1.55
Ah 8d 2c,Kc9c,1.000,29.74,2.18314,30.5891,36.63,2.18,63.37,2.19
Ah 8d 2c,KcTc,1.000,32.52,2.55697,32.7589,34.67,2.56,65.33,2.56
Ah 8d 2c,KcJc,1.000,35.34,2.6786,31.584,64.00,2.68,36.00,2.68
Ah 8d 2c,KcQc,1.000,38.10,3.16089,34.5712,28.35,3.16,71.65,3.16
Ah 8d 2c,KcJd,1.000,32.26,1.57904,20.393,1.76,1.34,98.24,1.58
Ah 8d 2c,KcQd,1.000,35.14,2.04559,24.2525,1.12,1.69,98.88,2.05
Ah 8d 2c,KcJh,1.000,32.37,1.58315,20.3758,1.83,1.36,98.17,1.59
Ah 8d 2c,KcQh,1.000,35.27,2.04827,24.1984,1.18,1.72,98.82,2.05
Ah 8d 2c,KcJs,1.000,32.23,1.51617,19.5988,1.81,1.33,98.19,1.52
Ah 8d 2c,KcQs,1.000,35.13,2.01383,23.887,1.05,1.68,98.95,2.02
Ah 8d 2c,Ac9c,1.000,76.94,20.8654,112.995,14.94,20.87,85.06,20.87
Ah 8d 2c,AcTc,1.000,78.89,21.6077,114.128,47.52,21.61,52.48,21.61
Ah 8d 2c,AcJc,1.000,81.71,24.5621,125.245,30.98,24.55,69.02,24.57
Ah 8d 2c,AcQc,1.000,84.69,29.0611,142.983,58.61,29.06,41.39,29.06
Ah 8d 2c,AcKc,1.000,86.81,33.4856,160.724,57.50,33.49,42.50,33.48
Ah 8d 2c,AcTd,1.000,77.77,19.8948,106.587,53.82,19.90,46.18,19.89
Ah 8d 2c,AcJd,1.000,80.73,22.942,118.41,55.43,22.94,44.57,22.94
Ah 8d 2c,AcQd,1.000,83.84,27.6403,137.369,60.49,27.64,39.51,27.64
Ah 8d 2c,AcKd,1.000,86.04,32.199,155.921,56.06,32.20,43.94,32.20
Ah 8d 2c,AcTh,1.000,77.70,19.8122,106.238,50.07,19.81,49.93,19.81
Ah 8d 2c,AcJh,1.000,80.68,22.8614,118.072,50.21,22.86,49.79,22.86
Ah 8d 2c,AcQh,1.000,83.80,27.5353,136.907,54.72,27.53,45.28,27.54
Ah 8d 2c,AcKh,1.000,86.02,32.0957,155.46,46.57,32.10,53.43,32.09
Ah 8d 2c,AcTs,1.000,77.53,19.7048,105.902,41.19,19.70,58.81,19.71
Ah 8d 2c,AcJs,1.000,80.50,22.6775,117.38,37.09,22.67,62.91,22.68
Ah 8d 2c,AcQs,1.000,83.62,27.3222,136.135,47.10,27.32,52.90,27.33
Ah 8d 2c,AcKs,1.000,85.84,32.0127,155.382,38.74,32.00,61.26,32.02
Ah 8d 2c,5d4d,1.000,29.95,9.17848,127.673,67.45,9.18,32.55,9.17
Ah 8d 2c,6d6c,1.000,38.64,3.15312,34.001,48.90,3.16,51.10,3.15
Ah 8d 2c,6d5d,1.000,19.05,2.94415,64.3852,89.87,2.95,10.13,2.93
Ah 8d 2c,7d7c,1.000,41.71,3.70584,37.0195,35.36,3.71,64.64,3.70
Ah 8d 2c,7d6d,1.000,20.36,2.76695,56.6336,74.70,2.77,25.30,2.77
Ah 8d 2c,9d9c,1.000,50.41,6.43696,53.207,64.38,6.44,35.62,6.44
Ah 8d 2c,TdTc,1.000,53.75,7.32077,56.7493,55.69,7.32,44.31,7.33
Ah 8d 2c,Td9d,1.000,22.41,3.17557,59.032,64.28,3.17,35.72,3.18
Ah 8d 2c,JdJc,1.000,57.93,8.80779,63.3462,40.44,8.81,59.56,8.81
Ah 8d 2c,Jd9d,1.000,22.52,2.68083,49.6039,79.51,2.68,20.49,2.68
Ah 8d 2c,JdTd,1.000,25.06,3.24178,53.8927,77.49,3.24,22.51,3.25
Ah 8d 2c,QdJc,1.000,27.25,1.63283,24.967,13.42,1.63,86.58,1.63
Ah 8d 2c,QdQc,1.000,61.31,10.4205,70.8229,29.46,10.42,70.54,10.42
Ah 8d 2c,Qd9d,1.000,24.96,2.38507,39.8189,75.42,2.39,24.58,2.37
Ah 8d 2c,QdTd,1.000,27.58,2.87267,43.3947,68.90,2.87,31.10,2.87
Ah 8d 2c,QdJd,1.000,30.42,3.00218,41.123,88.57,3.00,11.43,2.99
Ah 8d 2c,QdJh,1.000,27.25,1.63905,25.0662,13.71,1.64,86.29,1.64
Ah 8d 2c,QdJs,1.000,27.12,1.55479,23.8864,13.06,1.55,86.94,1.55
Ah 8d 2c,KdJc,1.000,32.26,1.56968,20.272,1.76,1.33,98.24,1.57
Ah 8d 2c,KdQc,1.000,35.14,2.03259,24.0984,1.09,1.67,98.91,2.04
Ah 8d 2c,KdKc,1.000,63.32,11.2197,73.8344,13.74,11.22,86.26,11.22
Ah 8d 2c,Kd9d,1.000,29.63,2.20602,31.0173,39.21,2.20,60.79,2.21
Ah 8d 2c,KdTd,1.000,32.40,2.57052,33.0569,33.95,2.57,66.05,2.57
Ah 8d 2c,KdJd,1.000,35.19,2.70121,31.9876,64.91,2.70,35.09,2.70
Ah 8d 2c,KdQd,1.000,37.92,3.17375,34.8756,26.79,3.17,73.21,3.18
Ah 8d 2c,KdJh,1.000,32.26,1.57231,20.309,1.79,1.34,98.21,1.58
Ah 8d 2c,KdQh,1.000,35.14,2.03396,24.1177,1.13,1.69,98.87,2.04
Ah 8d 2c,KdJs,1.000,32.12,1.50658,19.5446,1.77,1.32,98.23,1.51
Ah 8d 2c,KdQs,1.000,35.00,1.99946,23.8037,1.00,1.64,99.00,2.00
Ah 8d 2c,AdTc,1.000,77.67,19.7837,106.135,51.49,19.79,48.51,19.78
Ah 8d 2c,AdJc,1.000,80.64,22.7955,117.788,56.80,22.80,43.20,22.79
Ah 8d 2c,AdQc,1.000,83.76,27.427,136.435,52.97,27.43,47.03,27.43
Ah 8d 2c,AdKc,1.000,85.98,31.9399,154.789,41.56,31.94,58.44,31.94
Ah 8d 2c,AdAc,1.000,97.26,50.9124,218.109,86.12,50.91,13.88,50.91
Ah 8d 2c,Ad2d,1.000,86.74,34.4567,165.516,17.30,34.45,82.70,34.46
Ah 8d 2c,Ad9d,1.000,76.81,20.7387,112.497,13.60,20.74,86.40,20.74
Ah 8d 2c,AdTd,1.000,78.74,21.5128,113.837,49.71,21.52,50.29,21.51
Ah 8d 2c,AdJd,1.000,81.55,24.3875,124.605,40.00,24.39,60.00,24.39
Ah 8d 2c,AdQd,1.000,84.51,28.8354,142.177,64.33,28.84,35.67,28.83
Ah 8d 2c,AdKd,1.000,86.61,33.1646,159.545,73.51,33.17,26.49,33.16
Ah 8d 2c,AdTh,1.000,77.63,19.7453,105.984,52.09,19.75,47.91,19.74
Ah 8d 2c,AdJh,1.000,80.60,22.7611,117.67,46.24,22.76,53.76,22.76
Ah 8d 2c,AdQh,1.000,83.72,27.3789,136.262,52.74,27.38,47.26,27.38
Ah 8d 2c,AdKh,1.000,85.94,31.8827,154.579,48.95,31.89,51.05,31.88
Ah 8d 2c,AdTs,1.000,77.45,19.635,105.632,42.45,19.63,57.55,19.64
Ah 8d 2c,AdJs,1.000,80.42,22.577,116.976,36.56,22.57,63.44,22.58
Ah 8d 2c,AdQs,1.000,83.54,27.1674,135.497,46.68,27.17,53.32,27.17
Ah 8d 2c,AdKs,1.000,85.76,31.8018,154.51,41.52,31.80,58.48,31.81
Ah 8d 2c,5h4h,1.000,29.95,9.4076,130.869,94.19,9.41,5.81,9.33
Ah 8d 2c,6h6c,1.000,38.50,3.12176,33.7812,46.34,3.13,53.66,3.12
Ah 8d 2c,6h6d,1.000,38.48,3.10389,33.6067,39.64,3.10,60.36,3.10
Ah 8d 2c,6h5h,1.000,19.04,3.00909,65.8652,94.90,3.01,5.10,2.96
Ah 8d 2c,7h7c,1.000,41.73,3.67958,36.7381,46.02,3.69,53.98,3.67
Ah 8d 2c,7h7d,1.000,41.54,3.63692,36.478,38.79,3.64,61.21,3.63
Ah 8d 2c,7h6h,1.000,20.40,2.88963,59.0261,80.77,2.89,19.23,2.89
Ah 8d 2c,8h8c,1.000,95.33,52.8186,230.866,99.17,52.82,0.83,52.39
Ah 8d 2c,8h7h,1.000,51.58,9.48868,76.6437,52.11,9.49,47.89,9.49
Ah 8d 2c,9h9c,1.000,50.15,6.24467,51.8789,75.88,6.25,24.12,6.24
Ah 8d 2c,9h9d,1.000,50.31,6.35678,52.647,80.94,6.36,19.06,6.35
Ah 8d 2c,9h8h,1.000,53.16,9.71962,76.1861,30.97,9.72,69.03,9.72
Ah 8d 2c,ThTc,1.000,53.57,7.14314,55.5594,56.81,7.14,43.19,7.15
Ah 8d 2c,ThTd,1.000,53.72,7.25319,56.2604,55.48,7.25,44.52,7.26
Ah 8d 2c,Th8h,1.000,53.82,9.58674,74.2129,44.32,9.59,55.68,9.58
Ah 8d 2c,Th9h,1.000,22.56,3.25638,60.1327,66.89,3.26,33.11,3.26
Ah 8d 2c,JhJc,1.000,57.77,8.69306,62.6939,41.16,8.69,58.84,8.69
Ah 8d 2c,JhJd,1.000,57.90,8.75883,63.0305,40.79,8.76,59.21,8.76
Ah 8d 2c,Jh9h,1.000,22.70,2.79205,51.2458,84.96,2.79,15.04,2.78
Ah 8d 2c,JhTh,1.000,25.28,3.36921,55.521,77.01,3.37,22.99,3.37
Ah 8d 2c,QhJc,1.000,27.33,1.63411,24.9139,14.33,1.64,85.67,1.63
