Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,29.87,9.37079,130.695,72.80,9.48,27.20,9.09
Ah 8d 2c,6c5c,1.000,18.92,5.43222,119.641,87.33,5.82,12.67,2.78
Ah 8d 2c,7c6c,1.000,20.27,4.58423,94.2304,70.60,5.40,29.40,2.63
Ah 8d 2c,8c7c,1.000,51.76,9.58182,77.1395,54.94,9.65,45.06,9.50
Ah 8d 2c,9c8c,1.000,53.25,9.99706,78.2294,35.83,10.63,64.17,9.65
Ah 8d 2c,Tc8c,1.000,53.86,10.1845,78.7888,43.11,11.12,56.89,9.47
Ah 8d 2c,Tc9c,1.000,22.36,4.87209,90.7913,52.79,6.49,47.21,3.06
Ah 8d 2c,Jc9c,1.000,22.50,5.41678,100.33,73.51,6.44,26.49,2.57
Ah 8d 2c,JcTc,1.000,25.05,5.93715,98.7396,77.21,6.76,22.79,3.14
Ah 8d 2c,Qc9c,1.000,24.99,4.90623,81.8122,70.41,6.00,29.59,2.30
Ah 8d 2c,QcTc,1.000,27.63,4.97238,74.9883,67.27,6.03,32.73,2.81
Ah 8d 2c,QcJc,1.000,30.49,5.46447,74.6667,82.53,6.00,17.47,2.94
Ah 8d 2c,QcJd,1.000,27.25,2.12496,32.4919,13.74,5.18,86.26,1.64
Ah 8d 2c,QcJh,1.000,27.33,2.18916,33.3763,15.40,5.23,84.60,1.64
Ah 8d 2c,QcJs,1.000,27.20,1.97474,30.2453,12.78,4.85,87.22,1.55
Ah 8d 2c,Kc9c,1.000,29.74,3.75448,52.606,36.63,6.47,63.37,2.19
Ah 8d 2c,KcTc,1.000,32.52,3.75718,48.1354,34.67,6.02,65.33,2.56
Ah 8d 2c,KcJc,1.000,35.34,5.08484,59.9565,64.00,6.44,36.00,2.68
Ah 8d 2c,KcQc,1.000,38.10,3.71758,40.6598,28.35,5.13,71.65,3.16
Ah 8d 2c,KcJd,1.000,32.26,1.65342,21.3536,1.76,5.57,98.24,1.58
Ah 8d 2c,KcQd,1.000,35.14,2.08206,24.6849,1.12,4.94,98.88,2.05
Ah 8d 2c,KcJh,1.000,32.37,1.66168,21.3865,1.83,5.64,98.17,1.59
Ah 8d 2c,KcQh,1.000,35.27,2.08694,24.6553,1.18,5.00,98.82,2.05
Ah 8d 2c,KcJs,1.000,32.23,1.59021,20.5559,1.81,5.43,98.19,1.52
Ah 8d 2c,KcQs,1.000,35.13,2.04426,24.2479,1.05,4.57,98.95,2.02
Ah 8d 2c,Ac9c,1.000,76.94,20.1289,109.006,14.94,15.94,85.06,20.87
Ah 8d 2c,AcTc,1.000,78.89,19.755,104.342,47.52,17.71,52.48,21.61
Ah 8d 2c,AcJc,1.000,81.71,23.275,118.682,30.98,20.40,69.02,24.57
Ah 8d 2c,AcQc,1.000,84.69,26.7083,131.407,58.61,25.05,41.39,29.06
Ah 8d 2c,AcKc,1.000,86.81,31.5509,151.438,57.50,30.12,42.50,33.48
Ah 8d 2c,AcTd,1.000,77.77,17.9692,96.2705,53.82,16.32,46.18,19.89
Ah 8d 2c,AcJd,1.000,80.73,20.802,107.365,55.43,19.08,44.57,22.94
Ah 8d 2c,AcQd,1.000,83.84,25.6838,127.646,60.49,24.40,39.51,27.64
Ah 8d 2c,AcKd,1.000,86.04,30.9512,149.879,56.06,29.98,43.94,32.20
Ah 8d 2c,AcTh,1.000,77.70,17.9475,96.2389,50.07,16.09,49.93,19.81
Ah 8d 2c,AcJh,1.000,80.68,20.8572,107.721,50.21,18.87,49.79,22.86
Ah 8d 2c,AcQh,1.000,83.80,25.4638,126.607,54.72,23.75,45.28,27.54
Ah 8d 2c,AcKh,1.000,86.02,30.8384,149.37,46.57,29.40,53.43,32.09
Ah 8d 2c,AcTs,1.000,77.53,18.2628,98.1521,41.19,16.20,58.81,19.71
Ah 8d 2c,AcJs,1.000,80.50,21.4351,110.949,37.09,19.32,62.91,22.68
Ah 8d 2c,AcQs,1.000,83.62,25.607,127.589,47.10,23.68,52.90,27.33
Ah 8d 2c,AcKs,1.000,85.84,30.9971,150.453,38.74,29.38,61.26,32.02
Ah 8d 2c,5d4d,1.000,29.95,9.421,131.047,67.45,9.54,32.55,9.17
Ah 8d 2c,6d6c,1.000,38.64,5.10966,55.0989,48.90,7.16,51.10,3.15
Ah 8d 2c,6d5d,1.000,19.05,5.68181,124.255,89.87,5.99,10.13,2.93
Ah 8d 2c,7d7c,1.000,41.71,5.17416,51.6873,35.36,7.86,64.64,3.70
Ah 8d 2c,7d6d,1.000,20.36,4.57499,93.6404,74.70,5.19,25.30,2.77
Ah 8d 2c,9d9c,1.000,50.41,8.67916,71.7408,64.38,9.92,35.62,6.44
Ah 8d 2c,TdTc,1.000,53.75,9.4384,73.1649,55.69,11.12,44.31,7.33
Ah 8d 2c,Td9d,1.000,22.41,5.4705,101.694,64.28,6.74,35.72,3.18
Ah 8d 2c,JdJc,1.000,57.93,9.60527,69.0818,40.44,10.78,59.56,8.81
Ah 8d 2c,Jd9d,1.000,22.52,5.70815,105.619,79.51,6.49,20.49,2.68
Ah 8d 2c,JdTd,1.000,25.06,6.08194,101.109,77.49,6.91,22.51,3.25
Ah 8d 2c,QdJc,1.000,27.25,2.0943,32.0231,13.42,5.07,86.58,1.63
Ah 8d 2c,QdQc,1.000,61.31,10.6372,72.2955,29.46,11.16,70.54,10.42
Ah 8d 2c,Qd9d,1.000,24.96,5.16013,86.1489,75.42,6.07,24.58,2.37
Ah 8d 2c,QdTd,1.000,27.58,5.10573,77.1275,68.90,6.11,31.10,2.87
Ah 8d 2c,QdJd,1.000,30.42,5.63945,77.2475,88.57,5.98,11.43,2.99
Ah 8d 2c,QdJh,1.000,27.25,2.11278,32.3109,13.71,5.09,86.29,1.64
Ah 8d 2c,QdJs,1.000,27.12,1.97178,30.2926,13.06,4.75,86.94,1.55
Ah 8d 2c,KdJc,1.000,32.26,1.6445,21.2383,1.76,5.58,98.24,1.57
Ah 8d 2c,KdQc,1.000,35.14,2.07178,24.563,1.09,5.26,98.91,2.04
Ah 8d 2c,KdKc,1.000,63.32,11.3264,74.5369,13.74,12.00,86.26,11.22
Ah 8d 2c,Kd9d,1.000,29.63,3.91872,55.0982,39.21,6.57,60.79,2.21
Ah 8d 2c,KdTd,1.000,32.40,3.77746,48.5783,33.95,6.13,66.05,2.57
Ah 8d 2c,KdJd,1.000,35.19,5.15011,60.9874,64.91,6.48,35.09,2.70
Ah 8d 2c,KdQd,1.000,37.92,3.76202,41.3398,26.79,5.36,73.21,3.18
Ah 8d 2c,KdJh,1.000,32.26,1.64858,21.2941,1.79,5.60,98.21,1.58
Ah 8d 2c,KdQh,1.000,35.14,2.07462,24.5999,1.13,5.28,98.87,2.04
Ah 8d 2c,KdJs,1.000,32.12,1.57901,20.4842,1.77,5.40,98.23,1.51
Ah 8d 2c,KdQs,1.000,35.00,2.02889,24.154,1.00,4.57,99.00,2.00
Ah 8d 2c,AdTc,1.000,77.67,17.8372,95.692,51.49,16.01,48.51,19.78
Ah 8d 2c,AdJc,1.000,80.64,20.5311,106.088,56.80,18.81,43.20,22.79
Ah 8d 2c,AdQc,1.000,83.76,25.4382,126.542,52.97,23.67,47.03,27.43
Ah 8d 2c,AdKc,1.000,85.98,30.7712,149.126,41.56,29.13,58.44,31.94
Ah 8d 2c,AdAc,1.000,97.26,43.2662,185.353,86.12,42.03,13.88,50.91
Ah 8d 2c,Ad2d,1.000,86.74,33.8007,162.365,17.30,30.66,82.70,34.46
Ah 8d 2c,Ad9d,1.000,76.81,20.1072,109.072,13.60,16.10,86.40,20.74
Ah 8d 2c,AdTd,1.000,78.74,19.7418,104.466,49.71,17.95,50.29,21.51
Ah 8d 2c,AdJd,1.000,81.55,22.7626,116.302,40.00,20.32,60.00,24.39
Ah 8d 2c,AdQd,1.000,84.51,26.4712,130.521,64.33,25.16,35.67,28.83
Ah 8d 2c,AdKd,1.000,86.61,31.1019,149.623,73.51,30.36,26.49,33.16
Ah 8d 2c,AdTh,1.000,77.63,17.8523,95.8239,52.09,16.11,47.91,19.74
Ah 8d 2c,AdJh,1.000,80.60,20.9523,108.319,46.24,18.85,53.76,22.76
Ah 8d 2c,AdQh,1.000,83.72,25.384,126.334,52.74,23.60,47.26,27.38
Ah 8d 2c,AdKh,1.000,85.94,30.5056,147.902,48.95,29.07,51.05,31.88
Ah 8d 2c,AdTs,1.000,77.45,18.1711,97.7569,42.45,16.18,57.55,19.64
Ah 8d 2c,AdJs,1.000,80.42,21.3782,110.765,36.56,19.29,63.44,22.58
Ah 8d 2c,AdQs,1.000,83.54,25.4665,127.013,46.68,23.52,53.32,27.17
Ah 8d 2c,AdKs,1.000,85.76,30.6795,149.057,41.52,29.09,58.48,31.81
Ah 8d 2c,5h4h,1.000,29.95,8.78428,122.198,94.19,8.75,5.81,9.33
Ah 8d 2c,6h6c,1.000,38.50,4.98147,53.9056,46.34,7.14,53.66,3.12
Ah 8d 2c,6h6d,1.000,38.48,4.68942,50.7737,39.64,7.10,60.36,3.10
Ah 8d 2c,6h5h,1.000,19.04,5.31038,116.238,94.90,5.44,5.10,2.96
Ah 8d 2c,7h7c,1.000,41.73,5.6876,56.7867,46.02,8.05,53.98,3.67
Ah 8d 2c,7h7d,1.000,41.54,5.34233,53.583,38.79,8.04,61.21,3.63
Ah 8d 2c,7h6h,1.000,20.40,4.7955,97.957,80.77,5.25,19.23,2.89
Ah 8d 2c,8h8c,1.000,95.33,49.7871,217.615,99.17,49.77,0.83,52.39
Ah 8d 2c,8h7h,1.000,51.58,9.98886,80.6838,52.11,10.45,47.89,9.49
Ah 8d 2c,9h9c,1.000,50.15,9.04625,75.1537,75.88,9.94,24.12,6.24
Ah 8d 2c,9h9d,1.000,50.31,9.35806,77.5037,80.94,10.07,19.06,6.35
Ah 8d 2c,9h8h,1.000,53.16,10.2956,80.7009,30.97,11.58,69.03,9.72
Ah 8d 2c,ThTc,1.000,53.57,9.23798,71.853,56.81,10.83,43.19,7.15
Ah 8d 2c,ThTd,1.000,53.72,9.30722,72.1928,55.48,10.95,44.52,7.26
Ah 8d 2c,Th8h,1.000,53.82,10.4645,81.0079,44.32,11.57,55.68,9.58
Ah 8d 2c,Th9h,1.000,22.56,5.62417,103.857,66.89,6.79,33.11,3.26
Ah 8d 2c,JhJc,1.000,57.77,9.50188,68.5271,41.16,10.66,58.84,8.69
Ah 8d 2c,JhJd,1.000,57.90,9.55078,68.7295,40.79,10.70,59.21,8.76
Ah 8d 2c,Jh9h,1.000,22.70,6.16833,113.215,84.96,6.77,15.04,2.78
Ah 8d 2c,JhTh,1.000,25.28,6.08135,100.214,77.01,6.89,22.99,3.37
Ah 8d 2c,QhJc,1.000,27.33,2.1453,32.7076,14.33,5.20,85.67,1.63
Ah 8d 2c,QhQc,1.000,61.17,10.4734,71.3461,27.87,10.87,72.13,10.32
Ah 8d 2c,QhJd,1.000,27.25,2.10372,32.1723,13.09,5.17,86.91,1.64
Ah 8d 2c,QhQd,1.000,61.27,10.5744,71.9074,31.64,11.03,68.36,10.37
Ah 8d 2c,Qh9h,1.000,25.20,5.70982,94.4264,82.41,6.39,17.59,2.52
Ah 8d 2c,QhTh,1.000,27.87,5.13958,76.8468,66.85,6.18,33.15,3.04
Ah 8d 2c,QhJh,1.000,30.73,5.60261,75.9536,78.55,6.26,21.45,3.20
Ah 8d 2c,QhJs,1.000,27.20,2.07535,31.7914,15.82,4.84,84.18,1.56
Ah 8d 2c,KhJc,1.000,32.37,1.65842,21.3443,1.72,5.55,98.28,1.59
Ah 8d 2c,KhQc,1.000,35.27,2.0928,24.7238,1.11,4.94,98.89,2.06
Ah 8d 2c,KhKc,1.000,63.18,11.1835,73.7489,15.02,11.76,84.98,11.08
Ah 8d 2c,KhJd,1.000,32.26,1.65669,21.3986,1.70,5.55,98.30,1.59
Ah 8d 2c,KhQd,1.000,35.14,2.09154,24.7998,1.10,5.00,98.90,2.06
Ah 8d 2c,KhKd,1.000,63.28,11.2592,74.1349,14.45,11.91,85.55,11.15
Ah 8d 2c,Kh9h,1.000,29.96,5.18366,72.091,63.26,6.78,36.74,2.43
Ah 8d 2c,KhTh,1.000,32.79,4.08664,51.9372,37.84,6.17,62.16,2.82
Ah 8d 2c,KhJh,1.000,35.60,5.11393,59.8503,58.11,6.66,41.89,2.97
Ah 8d 2c,KhQh,1.000,38.36,3.97821,43.2142,26.80,5.42,73.20,3.45
Ah 8d 2c,KhJs,1.000,32.23,1.59238,20.5867,1.75,5.38,98.25,1.52
Ah 8d 2c,KhQs,1.000,35.12,2.05518,24.38,1.04,4.69,98.96,2.03
Ah 8d 2c,5s4s,1.000,26.93,8.19885,126.87,63.95,8.47,36.05,7.73
Ah 8d 2c,6s6c,1.000,38.54,3.28324,35.5005,8.28,6.38,91.72,3.00
Ah 8d 2c,6s6d,1.000,38.51,3.26481,35.321,7.79,6.49,92.21,2.99
Ah 8d 2c,6s6h,1.000,38.38,3.19376,34.6739,6.57,6.35,93.43,2.97
Ah 8d 2c,6s5s,1.000,15.44,1.99236,53.7748,5.96,4.04,94.04,1.86
Ah 8d 2c,7s7c,1.000,41.80,4.44403,44.3018,24.49,6.94,75.51,3.63
Ah 8d 2c,7s7d,1.000,41.61,4.2866,42.9283,20.15,7.06,79.85,3.59
Ah 8d 2c,7s7h,1.000,41.63,4.31402,43.1804,20.55,7.22,79.45,3.56
Ah 8d 2c,7s6s,1.000,16.82,1.79788,44.5466,4.00,3.85,96.00,1.71
Ah 8d 2c,8s8c,1.000,95.24,49.4103,216.167,98.57,49.37,1.43,52.24
Ah 8d 2c,8s8h,1.000,95.21,49.5994,217.069,98.59,49.56,1.41,52.41
Ah 8d 2c,8s7s,1.000,49.15,7.5251,63.7898,65.01,7.65,34.99,7.30
Ah 8d 2c,9s9c,1.000,50.07,7.3139,60.8659,50.67,8.45,49.33,6.15
Ah 8d 2c,9s9d,1.000,50.22,7.53304,62.4946,51.31,8.75,48.69,6.25
Ah 8d 2c,9s9h,1.000,49.97,7.67024,63.9569,62.82,8.63,37.18,6.05
Ah 8d 2c,9s8s,1.000,50.66,7.62073,62.6789,29.06,8.22,70.94,7.37
Ah 8d 2c,TsTc,1.000,53.41,8.52423,66.4984,45.26,10.35,54.74,7.01
Ah 8d 2c,TsTd,1.000,53.56,8.64148,67.2264,45.49,10.48,54.51,7.11
Ah 8d 2c,TsTh,1.000,53.38,8.44053,65.8868,47.52,10.09,52.48,6.94
Ah 8d 2c,Ts8s,1.000,51.31,7.72647,62.7395,26.99,9.16,73.01,7.20
Ah 8d 2c,Ts9s,1.000,18.76,2.2207,49.3181,14.02,4.14,85.98,1.91
Ah 8d 2c,JsJc,1.000,57.61,9.16786,66.3013,28.52,10.52,71.48,8.63
Ah 8d 2c,JsJd,1.000,57.74,9.24765,66.7312,29.11,10.59,70.89,8.70
Ah 8d 2c,JsJh,1.000,57.58,9.1141,65.951,28.75,10.44,71.25,8.58
Ah 8d 2c,Js9s,1.000,18.84,1.60994,35.6044,5.40,4.30,94.60,1.46
Ah 8d 2c,JsTs,1.000,21.53,2.57449,49.828,20.83,5.07,79.17,1.92
Ah 8d 2c,QsJc,1.000,27.20,2.06021,31.5548,13.95,5.16,86.05,1.56
Ah 8d 2c,QsQc,1.000,61.01,10.3598,70.7563,20.13,10.88,79.87,10.23
Ah 8d 2c,QsJd,1.000,27.12,2.04342,31.3938,13.29,5.18,86.71,1.56
Ah 8d 2c,QsQd,1.000,61.11,10.4417,71.1892,22.04,11.05,77.96,10.27
Ah 8d 2c,QsJh,1.000,27.20,2.20635,33.7988,17.81,5.18,82.19,1.56
Ah 8d 2c,QsQh,1.000,60.97,10.2891,70.3116,19.75,10.77,80.25,10.17
Ah 8d 2c,Qs9s,1.000,21.39,1.33756,26.0554,1.48,3.63,98.52,1.30
Ah 8d 2c,QsTs,1.000,24.16,1.80479,31.1312,5.69,4.19,94.31,1.66
