Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,29.87,9.54469,133.12,72.80,9.72,27.20,9.09
Ah 8d 2c,6c5c,1.000,18.92,-2.29182,-50.4758,87.33,-3.03,12.67,2.78
Ah 8d 2c,7c6c,1.000,20.27,-1.52684,-31.3847,70.60,-3.26,29.40,2.63
Ah 8d 2c,8c7c,1.000,51.76,9.16858,73.8127,54.94,8.90,45.06,9.50
Ah 8d 2c,9c8c,1.000,53.25,9.31974,72.9292,35.83,8.74,64.17,9.65
Ah 8d 2c,Tc8c,1.000,53.86,8.97348,69.4202,43.11,8.31,56.89,9.47
Ah 8d 2c,Tc9c,1.000,22.36,-0.29739,-5.5418,52.79,-3.30,47.21,3.06
Ah 8d 2c,Jc9c,1.000,22.50,-2.1218,-39.3002,73.51,-3.81,26.49,2.57
Ah 8d 2c,JcTc,1.000,25.05,-1.72419,-28.6746,77.21,-3.16,22.79,3.14
Ah 8d 2c,Qc9c,1.000,24.99,-2.21862,-36.9958,70.41,-4.12,29.59,2.30
Ah 8d 2c,QcTc,1.000,27.63,-1.32957,-20.0512,67.27,-3.34,32.73,2.81
Ah 8d 2c,QcJc,1.000,30.49,-1.98076,-27.0651,82.53,-3.02,17.47,2.94
Ah 8d 2c,QcJd,1.000,27.25,0.76849,11.7507,13.74,-4.69,86.26,1.64
Ah 8d 2c,QcJh,1.000,27.33,0.6521,9.94196,15.40,-4.75,84.60,1.64
Ah 8d 2c,QcJs,1.000,27.20,0.76619,11.735,12.78,-4.60,87.22,1.55
Ah 8d 2c,Kc9c,1.000,29.74,-0.10198,-1.42893,36.63,-4.06,63.37,2.19
Ah 8d 2c,KcTc,1.000,32.52,0.53982,6.91592,34.67,-3.26,65.33,2.56
Ah 8d 2c,KcJc,1.000,35.34,-0.21089,-2.48666,64.00,-1.83,36.00,2.68
Ah 8d 2c,KcQc,1.000,38.10,4.39714,48.0923,28.35,7.52,71.65,3.16
