Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 8%,BET 8 EV,CHECK%,CHECK EV
Ah 8d 2c,5c4c,1.000,29.87,8.819,122.999,72.80,9.09,27.20,8.09
Ah 8d 2c,6c5c,1.000,18.92,2.47985,54.617,87.33,2.79,12.67,0.35
Ah 8d 2c,7c6c,1.000,20.27,2.69662,55.43,70.60,2.64,29.40,2.84
Ah 8d 2c,8c7c,1.000,51.76,9.46658,76.2117,54.94,9.49,45.06,9.43
Ah 8d 2c,9c8c,1.000,53.25,8.95742,70.0939,35.83,9.65,64.17,8.57
Ah 8d 2c,Tc8c,1.000,53.86,8.73308,67.5605,43.11,9.48,56.89,8.17
Ah 8d 2c,Tc9c,1.000,22.36,1.62578,30.2964,52.79,3.05,47.21,0.03
Ah 8d 2c,Jc9c,1.000,22.50,1.90031,35.1978,73.51,2.57,26.49,0.05
Ah 8d 2c,JcTc,1.000,25.05,2.42773,40.3752,77.21,3.14,22.79,0.00
Ah 8d 2c,Qc9c,1.000,24.99,1.64986,27.5117,70.41,2.31,29.59,0.07
Ah 8d 2c,QcTc,1.000,27.63,1.85316,27.9475,67.27,2.81,32.73,-0.11
Ah 8d 2c,QcJc,1.000,30.49,2.47324,33.7944,82.53,2.94,17.47,0.29
Ah 8d 2c,QcJd,1.000,27.25,0.22897,3.50115,13.74,1.63,86.26,0.01
Ah 8d 2c,QcJh,1.000,27.33,0.25511,3.88945,15.40,1.64,84.60,0.00
Ah 8d 2c,QcJs,1.000,27.20,0.20134,3.08367,12.78,1.55,87.22,0.00
Ah 8d 2c,Kc9c,1.000,29.74,0.80531,11.2837,36.63,2.18,63.37,0.01
Ah 8d 2c,KcTc,1.000,32.52,0.89033,11.4065,34.67,2.56,65.33,0.00
Ah 8d 2c,KcJc,1.000,35.34,1.60425,18.9161,64.00,2.68,36.00,-0.31
Ah 8d 2c,KcQc,1.000,38.10,1.16376,12.7283,28.35,3.16,71.65,0.37
Ah 8d 2c,KcJd,1.000,32.26,0.02249,0.29046,1.76,1.34,98.24,0.00
Ah 8d 2c,KcQd,1.000,35.14,0.02557,0.30312,1.12,1.69,98.88,0.01
Ah 8d 2c,KcJh,1.000,32.37,0.02244,0.28886,1.83,1.36,98.17,0.00
Ah 8d 2c,KcQh,1.000,35.27,0.02587,0.30558,1.18,1.72,98.82,0.01
Ah 8d 2c,KcJs,1.000,32.23,0.02059,0.26613,1.81,1.33,98.19,0.00
Ah 8d 2c,KcQs,1.000,35.13,0.02333,0.27668,1.05,1.68,98.95,0.01
Ah 8d 2c,Ac9c,1.000,76.94,25.2098,136.521,14.94,20.87,85.06,25.97
Ah 8d 2c,AcTc,1.000,78.89,24.1946,127.791,47.52,21.61,52.48,26.54
Ah 8d 2c,AcJc,1.000,81.71,28.7106,146.399,30.98,24.55,69.02,30.58
Ah 8d 2c,AcQc,1.000,84.69,31.7059,155.996,58.61,29.06,41.39,35.45
Ah 8d 2c,AcKc,1.000,86.81,36.2855,174.164,57.50,33.49,42.50,40.07
Ah 8d 2c,AcTd,1.000,77.77,21.983,117.774,53.82,19.90,46.18,24.41
