Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 39%,RAISE 39 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,5c4c,0.272,30.89,7.21805,97.353,18.49,7.22,81.42,7.23,0.09,0.00
Ah 8d 2c,6c5c,0.127,20.83,-0.01037,-0.20744,6.88,-0.11,0.25,-1.04,92.87,0.00
Ah 8d 2c,7c6c,0.294,22.59,0.01448,0.26698,70.73,0.02,0.29,-0.57,28.98,0.00
Ah 8d 2c,8c7c,0.451,53.50,7.65134,59.5867,38.35,7.66,61.56,7.66,0.08,0.00
Ah 8d 2c,9c8c,0.642,54.69,7.73396,58.9237,0.49,7.65,99.43,7.74,0.08,0.00
Ah 8d 2c,Tc8c,0.569,55.63,7.17137,53.7139,0.20,7.00,99.71,7.18,0.09,0.00
Ah 8d 2c,Tc9c,0.472,23.64,-0.00771,-0.13586,0.86,-0.81,0.20,-0.37,98.94,0.00
Ah 8d 2c,Jc9c,0.265,24.87,-0.00533,-0.08939,1.75,-0.27,8.85,-0.01,89.40,0.00
Ah 8d 2c,JcTc,0.228,27.48,-0.0132,-0.20007,0.91,-0.70,53.17,-0.01,45.92,0.00
Ah 8d 2c,Qc9c,0.296,29.21,-0.00482,-0.06877,2.59,-0.16,0.30,-0.23,97.11,0.00
Ah 8d 2c,QcTc,0.327,32.30,-0.00852,-0.10997,1.41,-0.46,25.54,-0.01,73.04,0.00
Ah 8d 2c,QcJc,0.175,36.11,0.95689,11.0412,0.29,0.76,98.45,0.97,1.26,0.00
Ah 8d 2c,QcJd,0.863,33.21,-0.00633,-0.07945,0.49,-1.25,0.07,-0.32,99.44,0.00
Ah 8d 2c,QcJh,0.846,33.28,-0.00646,-0.08084,0.49,-1.27,0.07,-0.36,99.44,0.00
Ah 8d 2c,QcJs,0.872,33.35,-0.00626,-0.07816,0.62,-1.01,0.09,-0.05,99.29,0.00
Ah 8d 2c,Kc9c,0.634,35.10,-0.00735,-0.0872,0.59,-1.12,0.09,-0.79,99.32,0.00
Ah 8d 2c,KcTc,0.653,38.16,-0.00765,-0.08351,0.42,-1.42,0.81,-0.21,98.77,0.00
Ah 8d 2c,KcJc,0.360,40.74,0.42931,4.39101,0.26,-0.41,97.10,0.44,2.64,0.00
Ah 8d 2c,KcQc,0.717,41.88,0.53405,5.31318,1.46,0.53,95.89,0.55,2.65,0.00
Ah 8d 2c,KcJd,0.982,37.97,-0.00702,-0.07703,0.27,-2.40,0.04,-0.97,99.68,0.00
Ah 8d 2c,KcQd,0.989,39.16,-0.0068,-0.07239,0.40,-1.53,0.07,-0.84,99.52,0.00
Ah 8d 2c,KcJh,0.982,38.06,-0.00714,-0.07814,0.28,-2.43,0.04,-1.01,99.68,0.00
Ah 8d 2c,KcQh,0.988,39.22,-0.00696,-0.07398,0.40,-1.57,0.07,-0.80,99.52,0.00
Ah 8d 2c,KcJs,0.982,38.34,-0.00699,-0.07599,0.32,-2.06,0.05,-0.60,99.62,0.00
Ah 8d 2c,KcQs,0.990,39.38,-0.00734,-0.07763,0.51,-1.35,0.09,-0.50,99.40,0.00
Ah 8d 2c,Ac9c,0.851,68.44,15.8621,96.5764,0.32,14.34,99.67,15.87,0.01,0.00
Ah 8d 2c,AcTc,0.525,68.07,14.3634,87.9143,0.73,13.65,99.26,14.37,0.01,0.00
Ah 8d 2c,AcJc,0.690,70.46,17.1296,101.301,0.73,16.24,99.26,17.14,0.00,0.00
Ah 8d 2c,AcQc,0.414,75.42,25.3575,140.092,1.15,24.76,98.85,25.37,0.00,0.00
Ah 8d 2c,AcKc,0.425,80.55,35.955,185.979,3.64,35.63,96.35,35.97,0.00,0.00
Ah 8d 2c,AcTd,0.462,66.43,11.4276,71.6797,1.38,11.25,98.60,11.43,0.02,0.00
Ah 8d 2c,AcJd,0.446,68.95,14.2256,85.9669,1.25,13.89,98.74,14.23,0.01,0.00
Ah 8d 2c,AcQd,0.395,74.06,22.8776,128.712,1.64,22.45,98.35,22.89,0.00,0.00
Ah 8d 2c,AcKd,0.439,79.46,33.8581,177.55,93.58,33.87,6.40,33.83,0.02,0.00
Ah 8d 2c,AcTh,0.499,66.25,11.2674,70.8596,0.99,10.94,98.99,11.27,0.01,0.00
Ah 8d 2c,AcJh,0.498,68.87,14.1637,85.6957,1.06,13.74,98.93,14.17,0.01,0.00
Ah 8d 2c,AcQh,0.453,74.02,22.7222,127.907,1.57,22.33,98.42,22.73,0.00,0.00
Ah 8d 2c,AcKh,0.534,79.37,33.696,176.885,68.69,33.70,31.29,33.70,0.02,0.00
Ah 8d 2c,AcTs,0.588,66.70,11.4832,71.7365,4.11,11.48,95.87,11.49,0.02,0.00
Ah 8d 2c,AcJs,0.629,69.04,14.1023,85.1116,1.87,14.01,98.12,14.11,0.01,0.00
Ah 8d 2c,AcQs,0.529,74.02,22.457,126.417,3.66,22.41,96.33,22.46,0.01,0.00
Ah 8d 2c,AcKs,0.613,79.60,33.6455,176.128,85.34,33.65,14.65,33.65,0.02,0.00
Ah 8d 2c,5d4d,0.326,30.99,7.30952,98.2843,11.30,7.31,88.61,7.32,0.08,0.00
Ah 8d 2c,6d6c,0.511,42.28,0.0173,0.17046,1.21,-0.51,70.45,0.03,28.34,0.00
Ah 8d 2c,6d5d,0.101,20.97,0.11902,2.36485,85.92,0.14,0.20,-0.94,13.88,0.00
