Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 39%,RAISE 39 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,5c4c,0.272,29.87,8.08792,112.803,18.49,13.73,81.42,6.82,0.09,0.00
Ah 8d 2c,6c5c,0.127,18.92,0.34728,7.64868,6.88,5.09,0.25,-1.12,92.87,0.00
Ah 8d 2c,7c6c,0.294,20.27,2.844,58.4594,70.73,4.02,0.29,-0.63,28.98,0.00
Ah 8d 2c,8c7c,0.451,51.76,9.43245,75.937,38.35,10.50,61.56,8.78,0.08,0.00
Ah 8d 2c,9c8c,0.642,53.25,8.57249,67.0818,0.49,11.11,99.43,8.57,0.08,0.00
Ah 8d 2c,Tc8c,0.569,53.86,8.17095,63.2118,0.20,10.16,99.71,8.17,0.09,0.00
Ah 8d 2c,Tc9c,0.472,22.36,0.02868,0.53438,0.86,3.41,0.20,-0.33,98.94,0.00
Ah 8d 2c,Jc9c,0.265,22.50,0.04574,0.84718,1.75,3.26,8.85,-0.13,89.40,0.00
Ah 8d 2c,JcTc,0.228,25.05,0.00049,0.00823,0.91,3.71,53.17,-0.06,45.92,0.00
Ah 8d 2c,Qc9c,0.296,24.99,0.06953,1.15935,2.59,2.73,0.30,-0.39,97.11,0.00
Ah 8d 2c,QcTc,0.327,27.63,-0.11261,-1.69822,1.41,3.29,25.54,-0.62,73.04,0.00
Ah 8d 2c,QcJc,0.175,30.49,0.29051,3.96957,0.29,4.90,98.45,0.28,1.26,0.00
Ah 8d 2c,QcJd,0.863,27.25,0.0052,0.07947,0.49,1.31,0.07,-1.64,99.44,0.00
Ah 8d 2c,QcJh,0.846,27.33,0.00333,0.05078,0.49,0.92,0.07,-1.66,99.44,0.00
Ah 8d 2c,QcJs,0.872,27.20,0.00323,0.04948,0.62,0.73,0.09,-1.42,99.29,0.00
Ah 8d 2c,Kc9c,0.634,29.74,0.01145,0.16044,0.59,2.09,0.09,-1.05,99.32,0.00
Ah 8d 2c,KcTc,0.653,32.52,0.00446,0.05717,0.42,1.86,0.81,-0.42,98.77,0.00
Ah 8d 2c,KcJc,0.360,35.34,-0.30884,-3.64158,0.26,3.70,97.10,-0.33,2.64,0.00
Ah 8d 2c,KcQc,0.717,38.10,0.37348,4.08482,1.46,5.67,95.89,0.30,2.65,0.00
Ah 8d 2c,KcJd,0.982,32.26,-0.00108,-0.01396,0.27,-0.06,0.04,-2.10,99.68,0.00
Ah 8d 2c,KcQd,0.989,35.14,0.00664,0.07867,0.40,1.95,0.07,-1.69,99.52,0.00
Ah 8d 2c,KcJh,0.982,32.37,-0.00248,-0.0319,0.28,-0.56,0.04,-2.10,99.68,0.00
Ah 8d 2c,KcQh,0.988,35.27,0.00569,0.06723,0.40,1.71,0.07,-1.63,99.52,0.00
Ah 8d 2c,KcJs,0.982,32.23,-0.00358,-0.04631,0.32,-0.85,0.05,-1.56,99.62,0.00
Ah 8d 2c,KcQs,0.990,35.13,0.0058,0.06875,0.51,1.38,0.09,-1.31,99.40,0.00
