Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 39%,RAISE 39 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,5c4c,0.272,30.89,7.3129,98.6323,18.49,7.73,81.42,7.23,0.09,0.00
Ah 8d 2c,6c5c,0.127,20.83,0.08894,1.77913,6.88,1.33,0.25,-1.04,92.87,0.00
Ah 8d 2c,7c6c,0.294,22.59,1.18704,21.8911,70.73,1.68,0.29,-0.57,28.98,0.00
Ah 8d 2c,8c7c,0.451,53.50,8.19513,63.8216,38.35,9.08,61.56,7.66,0.08,0.00
Ah 8d 2c,9c8c,0.642,54.69,7.74015,58.9709,0.49,8.91,99.43,7.74,0.08,0.00
Ah 8d 2c,Tc8c,0.569,55.63,7.17414,53.7346,0.20,8.35,99.71,7.18,0.09,0.00
Ah 8d 2c,Tc9c,0.472,23.64,0.01074,0.18937,0.86,1.33,0.20,-0.37,98.94,0.00
Ah 8d 2c,Jc9c,0.265,24.87,0.03028,0.5074,1.75,1.77,8.85,-0.01,89.40,0.00
Ah 8d 2c,JcTc,0.228,27.48,0.00592,0.08968,0.91,1.39,53.17,-0.01,45.92,0.00
Ah 8d 2c,Qc9c,0.296,29.21,0.05248,0.74866,2.59,2.05,0.30,-0.23,97.11,0.00
Ah 8d 2c,QcTc,0.327,32.30,0.0198,0.25547,1.41,1.54,25.54,-0.01,73.04,0.00
Ah 8d 2c,QcJc,0.175,36.11,0.96079,11.0862,0.29,2.10,98.45,0.97,1.26,0.00
Ah 8d 2c,QcJd,0.863,33.21,0.00261,0.03276,0.49,0.58,0.07,-0.32,99.44,0.00
Ah 8d 2c,QcJh,0.846,33.28,0.00338,0.04236,0.49,0.74,0.07,-0.36,99.44,0.00
Ah 8d 2c,QcJs,0.872,33.35,0.00506,0.06322,0.62,0.83,0.09,-0.05,99.29,0.00
Ah 8d 2c,Kc9c,0.634,35.10,0.00555,0.06584,0.59,1.06,0.09,-0.79,99.32,0.00
Ah 8d 2c,KcTc,0.653,38.16,0.00235,0.02569,0.42,0.96,0.81,-0.21,98.77,0.00
Ah 8d 2c,KcJc,0.360,40.74,0.43377,4.43657,0.26,1.28,97.10,0.44,2.64,0.00
Ah 8d 2c,KcQc,0.717,41.88,0.55165,5.48821,1.46,1.74,95.89,0.55,2.65,0.00
Ah 8d 2c,KcJd,0.982,37.97,-0.00103,-0.01131,0.27,-0.22,0.04,-0.97,99.68,0.00
Ah 8d 2c,KcQd,0.989,39.16,0.00028,0.00295,0.40,0.22,0.07,-0.84,99.52,0.00
Ah 8d 2c,KcJh,0.982,38.06,-0.00061,-0.00668,0.28,-0.06,0.04,-1.01,99.68,0.00
Ah 8d 2c,KcQh,0.988,39.22,0.0001,0.00109,0.40,0.17,0.07,-0.80,99.52,0.00
Ah 8d 2c,KcJs,0.982,38.34,0.00064,0.00695,0.32,0.30,0.05,-0.60,99.62,0.00
Ah 8d 2c,KcQs,0.990,39.38,0.00248,0.02622,0.51,0.58,0.09,-0.50,99.40,0.00
Ah 8d 2c,Ac9c,0.851,68.44,15.8558,96.5378,0.32,12.36,99.67,15.87,0.01,0.00
Ah 8d 2c,AcTc,0.525,68.07,14.3489,87.8257,0.73,11.67,99.26,14.37,0.01,0.00
Ah 8d 2c,AcJc,0.690,70.46,17.1127,101.201,0.73,13.94,99.26,17.14,0.00,0.00
Ah 8d 2c,AcQc,0.414,75.42,25.3315,139.948,1.15,22.49,98.85,25.37,0.00,0.00
Ah 8d 2c,AcKc,0.425,80.55,35.9043,185.717,3.64,34.24,96.35,35.97,0.00,0.00
Ah 8d 2c,AcTd,0.462,66.43,11.4057,71.5419,1.38,9.66,98.60,11.43,0.02,0.00
Ah 8d 2c,AcJd,0.446,68.95,14.2009,85.8173,1.25,11.91,98.74,14.23,0.01,0.00
Ah 8d 2c,AcQd,0.395,74.06,22.8438,128.522,1.64,20.39,98.35,22.89,0.00,0.00
Ah 8d 2c,AcKd,0.439,79.46,32.8144,172.077,93.58,32.75,6.40,33.83,0.02,0.00
Ah 8d 2c,AcTh,0.499,66.25,11.2516,70.7604,0.99,9.35,98.99,11.27,0.01,0.00
Ah 8d 2c,AcJh,0.498,68.87,14.142,85.5645,1.06,11.70,98.93,14.17,0.01,0.00
Ah 8d 2c,AcQh,0.453,74.02,22.6892,127.721,1.57,20.23,98.42,22.73,0.00,0.00
Ah 8d 2c,AcKh,0.534,79.37,32.9422,172.928,68.69,32.61,31.29,33.70,0.02,0.00
Ah 8d 2c,AcTs,0.588,66.70,11.4001,71.2173,4.11,9.46,95.87,11.49,0.02,0.00
Ah 8d 2c,AcJs,0.629,69.04,14.0648,84.8851,1.87,12.00,98.12,14.11,0.01,0.00
Ah 8d 2c,AcQs,0.529,74.02,22.3814,125.991,3.66,20.34,96.33,22.46,0.01,0.00
Ah 8d 2c,AcKs,0.613,79.60,32.8815,172.128,85.34,32.76,14.65,33.65,0.02,0.00
Ah 8d 2c,5d4d,0.326,30.99,7.41733,99.7339,11.30,8.26,88.61,7.32,0.08,0.00
Ah 8d 2c,6d6c,0.511,42.28,0.04101,0.40414,1.21,1.45,70.45,0.03,28.34,0.00
Ah 8d 2c,6d5d,0.101,20.97,1.86701,37.0965,85.92,2.18,0.20,-0.94,13.88,0.00
Ah 8d 2c,7d7c,0.646,43.86,0.28179,2.67667,1.77,2.77,95.05,0.24,3.18,0.00
Ah 8d 2c,7d6d,0.253,22.62,1.0762,19.8232,87.32,1.23,0.26,-0.32,12.42,0.00
Ah 8d 2c,9d9c,0.356,50.20,2.78793,23.1399,0.87,5.52,98.87,2.77,0.26,0.00
Ah 8d 2c,TdTc,0.443,51.57,2.56852,20.7515,0.23,4.46,99.58,2.57,0.19,0.00
Ah 8d 2c,Td9d,0.357,23.67,0.00825,0.14523,0.83,1.07,0.38,-0.15,98.79,0.00
Ah 8d 2c,JdJc,0.596,55.90,4.42429,32.9787,0.10,6.74,99.74,4.43,0.16,0.00
Ah 8d 2c,Jd9d,0.205,24.80,0.02949,0.49547,1.40,1.44,47.69,0.02,50.91,0.00
Ah 8d 2c,JdTd,0.225,27.46,0.01635,0.248,0.73,1.06,57.49,0.01,41.79,0.00
Ah 8d 2c,QdJc,0.866,33.24,0.00308,0.03857,0.48,0.69,0.07,-0.36,99.45,0.00
Ah 8d 2c,QdQc,0.705,59.26,6.22857,43.7948,0.11,7.86,99.78,6.23,0.11,0.00
Ah 8d 2c,Qd9d,0.246,29.06,0.03277,0.46994,1.97,1.69,0.32,-0.19,97.71,0.00
Ah 8d 2c,QdTd,0.311,32.22,0.01844,0.23847,1.05,1.39,30.17,0.01,68.78,0.00
Ah 8d 2c,QdJd,0.114,36.00,0.93216,10.7881,0.33,2.20,98.37,0.94,1.30,0.00
Ah 8d 2c,QdJh,0.863,33.20,0.00291,0.03657,0.46,0.71,0.07,-0.45,99.48,0.00
Ah 8d 2c,QdJs,0.869,33.27,0.00463,0.05793,0.56,0.84,0.08,-0.16,99.35,0.00
Ah 8d 2c,KdJc,0.982,38.01,-0.00092,-0.01005,0.28,-0.18,0.04,-0.92,99.68,0.00
Ah 8d 2c,KdQc,0.989,39.16,0.00002,0.0002,0.42,0.14,0.08,-0.73,99.51,0.00
Ah 8d 2c,KdKc,0.863,59.61,6.46857,45.2164,0.11,8.28,99.80,6.47,0.09,0.00
Ah 8d 2c,Kd9d,0.608,34.90,0.00263,0.03135,0.47,0.80,0.18,-0.62,99.34,0.00
Ah 8d 2c,KdTd,0.661,38.00,0.00121,0.01325,0.38,0.58,2.20,-0.04,97.42,0.00
Ah 8d 2c,KdJd,0.351,40.54,0.42608,4.37969,0.28,1.19,97.17,0.44,2.55,0.00
Ah 8d 2c,KdQd,0.732,41.69,0.53142,5.31144,0.80,1.76,96.56,0.54,2.64,0.00
Ah 8d 2c,KdJh,0.982,37.94,-0.00079,-0.00871,0.27,-0.13,0.04,-1.02,99.69,0.00
Ah 8d 2c,KdQh,0.989,39.08,0,-0.00002,0.39,0.15,0.07,-0.82,99.54,0.00
Ah 8d 2c,KdJs,0.982,38.22,0.00005,0.00053,0.31,0.12,0.05,-0.62,99.63,0.00
Ah 8d 2c,KdQs,0.990,39.25,0.00198,0.02099,0.49,0.50,0.09,-0.52,99.42,0.00
Ah 8d 2c,AdTc,0.485,66.24,11.1657,70.2325,1.07,9.33,98.91,11.19,0.02,0.00
Ah 8d 2c,AdJc,0.432,68.83,13.9716,84.5833,1.21,11.68,98.78,14.00,0.01,0.00
Ah 8d 2c,AdQc,0.470,73.92,22.406,126.297,1.82,20.08,98.17,22.45,0.01,0.00
Ah 8d 2c,AdKc,0.584,79.21,32.3312,170.08,78.79,32.11,21.19,33.19,0.02,0.00
Ah 8d 2c,AdAc,0.139,95.92,65.4325,284.245,0.30,59.60,99.70,65.45,0.00,0.00
Ah 8d 2c,Ad2d,0.827,82.43,39.6283,200.302,0.84,36.68,99.15,39.65,0.00,0.00
Ah 8d 2c,Ad9d,0.864,68.36,15.7617,96.0732,0.34,12.56,99.66,15.77,0.01,0.00
Ah 8d 2c,AdTd,0.503,67.84,14.2159,87.3131,0.72,11.85,99.27,14.23,0.01,0.00
Ah 8d 2c,AdJd,0.600,70.20,16.805,99.7492,0.74,13.93,99.25,16.83,0.00,0.00
Ah 8d 2c,AdQd,0.357,75.05,24.8782,138.126,1.01,22.03,98.99,24.91,0.00,0.00
Ah 8d 2c,AdKd,0.265,80.19,35.2145,182.974,3.29,33.49,96.70,35.27,0.00,0.00
Ah 8d 2c,AdTh,0.479,66.09,11.088,69.8995,0.95,9.28,99.03,11.11,0.01,0.00
Ah 8d 2c,AdJh,0.538,68.72,13.917,84.3848,1.11,11.66,98.88,13.94,0.01,0.00
Ah 8d 2c,AdQh,0.473,73.82,22.2985,125.859,1.64,19.94,98.36,22.34,0.01,0.00
Ah 8d 2c,AdKh,0.510,79.12,32.3674,170.461,65.61,31.99,34.37,33.10,0.02,0.00
Ah 8d 2c,AdTs,0.576,66.54,11.2732,70.5919,2.25,9.41,97.73,11.32,0.02,0.00
Ah 8d 2c,AdJs,0.634,68.89,13.8375,83.6938,2.18,11.97,97.81,13.88,0.01,0.00
Ah 8d 2c,AdQs,0.533,73.83,21.9938,124.125,3.93,20.03,96.06,22.08,0.01,0.00
Ah 8d 2c,AdKs,0.585,79.34,32.2827,169.528,88.20,32.19,11.78,33.06,0.02,0.00
Ah 8d 2c,5h4h,0.058,31.04,7.9286,106.413,16.88,8.25,83.04,7.87,0.07,0.00
Ah 8d 2c,6h6c,0.537,42.24,0.03461,0.34138,1.17,1.38,71.48,0.03,27.35,0.00
Ah 8d 2c,6h6d,0.604,42.22,0.03456,0.34112,1.11,1.37,62.13,0.03,36.76,0.00
Ah 8d 2c,6h5h,0.051,21.04,2.11253,41.8377,93.02,2.27,0.09,-0.67,6.89,0.00
Ah 8d 2c,7h7c,0.540,44.11,0.83008,7.84073,22.72,2.98,71.26,0.21,6.02,0.00
Ah 8d 2c,7h7d,0.612,43.78,0.2168,2.06317,1.90,2.59,94.38,0.18,3.71,0.00
Ah 8d 2c,7h6h,0.192,22.80,1.91791,35.047,96.05,2.00,0.07,-0.20,3.88,0.00
Ah 8d 2c,8h8c,0.008,94.25,66.8281,295.425,0.63,63.48,99.37,66.85,0.00,0.00
Ah 8d 2c,8h7h,0.479,53.13,7.93143,62.1981,22.54,9.27,77.37,7.55,0.09,0.00
Ah 8d 2c,9h9c,0.241,49.88,2.4393,20.3777,1.00,5.15,98.69,2.42,0.31,0.00
Ah 8d 2c,9h9d,0.191,50.17,2.65639,22.0608,1.11,5.37,98.62,2.63,0.27,0.00
Ah 8d 2c,9h8h,0.690,54.29,7.70928,59.1621,0.20,8.91,99.73,7.71,0.08,0.00
Ah 8d 2c,ThTc,0.432,51.17,2.25363,18.3517,0.24,4.31,99.53,2.25,0.23,0.00
Ah 8d 2c,ThTd,0.445,51.43,2.41276,19.5464,0.24,4.35,99.56,2.41,0.20,0.00
Ah 8d 2c,Th8h,0.557,55.30,7.1914,54.1832,0.18,8.43,99.73,7.20,0.08,0.00
Ah 8d 2c,Th9h,0.331,23.85,0.01452,0.25367,1.13,1.42,0.36,-0.41,98.51,0.00
Ah 8d 2c,JhJc,0.588,55.73,4.31999,32.2981,0.10,6.72,99.74,4.32,0.16,0.00
Ah 8d 2c,JhJd,0.592,55.72,4.3032,32.1765,0.10,6.66,99.73,4.31,0.16,0.00
Ah 8d 2c,Jh9h,0.150,25.00,0.05514,0.91914,2.86,1.93,0.60,-0.04,96.54,0.00
Ah 8d 2c,JhTh,0.230,27.63,0.01157,0.17447,1.02,1.49,45.47,-0.01,53.51,0.00
Ah 8d 2c,QhJc,0.857,33.28,0.00291,0.03647,0.49,0.65,0.07,-0.37,99.44,0.00
Ah 8d 2c,QhQc,0.721,59.29,6.21743,43.6929,0.11,7.85,99.78,6.22,0.11,0.00
Ah 8d 2c,QhJd,0.869,33.16,0.00233,0.02923,0.47,0.56,0.07,-0.42,99.47,0.00
Ah 8d 2c,QhQd,0.684,59.15,6.11386,43.0642,0.11,7.75,99.78,6.12,0.11,0.00
Ah 8d 2c,Qh9h,0.176,29.37,0.12081,1.71374,5.66,2.15,0.64,-0.16,93.71,0.00
Ah 8d 2c,QhTh,0.331,32.44,0.03165,0.40652,1.67,1.74,40.06,0.01,58.27,0.00
Ah 8d 2c,QhJh,0.214,36.19,1.00514,11.5724,0.36,2.24,98.56,1.01,1.08,0.00
Ah 8d 2c,QhJs,0.842,33.30,0.00448,0.0561,0.58,0.80,0.09,-0.16,99.34,0.00
Ah 8d 2c,KhJc,0.983,38.05,-0.00076,-0.00828,0.28,-0.11,0.04,-1.01,99.68,0.00
Ah 8d 2c,KhQc,0.989,39.19,-0.00042,-0.00445,0.41,0.05,0.08,-0.84,99.52,0.00
Ah 8d 2c,KhKc,0.850,59.42,6.26339,43.9171,0.11,8.20,99.80,6.27,0.09,0.00
Ah 8d 2c,KhJd,0.983,37.89,-0.0011,-0.01215,0.27,-0.24,0.04,-1.07,99.69,0.00
Ah 8d 2c,KhQd,0.989,39.05,-0.00041,-0.00435,0.39,0.07,0.07,-0.95,99.54,0.00
Ah 8d 2c,KhKd,0.856,59.48,6.31023,44.203,0.11,8.17,99.80,6.31,0.09,0.00
Ah 8d 2c,Kh9h,0.367,35.29,0.00583,0.06882,0.64,1.22,0.27,-0.73,99.08,0.00
Ah 8d 2c,KhTh,0.622,38.29,0.00167,0.01821,0.44,1.12,2.67,-0.12,96.89,0.00
Ah 8d 2c,KhJh,0.419,40.82,0.57437,5.86329,0.24,1.49,98.01,0.58,1.75,0.00
Ah 8d 2c,KhQh,0.732,41.91,0.68068,6.76746,1.78,1.86,96.31,0.67,1.91,0.00
Ah 8d 2c,KhJs,0.982,38.26,0.00037,0.00399,0.31,0.23,0.05,-0.71,99.63,0.00
Ah 8d 2c,KhQs,0.990,39.27,0.0018,0.01905,0.48,0.49,0.09,-0.62,99.43,0.00
Ah 8d 2c,5s4s,0.361,28.04,6.11131,90.8249,41.82,6.66,58.06,5.73,0.12,0.00
Ah 8d 2c,6s6c,0.917,42.57,0.02332,0.22823,1.58,1.69,59.33,-0.01,39.09,0.00
Ah 8d 2c,6s6d,0.922,42.54,0.02434,0.23843,1.53,1.67,51.66,0.00,46.80,0.00
Ah 8d 2c,6s6h,0.934,42.51,0.01956,0.19175,1.42,1.61,50.80,-0.01,47.78,0.00
Ah 8d 2c,6s5s,0.940,17.70,0.00344,0.08097,0.56,0.76,0.03,-2.49,99.41,0.00
Ah 8d 2c,7s7c,0.755,44.15,1.16542,10.9975,34.52,3.00,59.67,0.22,5.82,0.00
Ah 8d 2c,7s7d,0.799,43.83,0.20076,1.90861,1.88,2.64,94.26,0.16,3.86,0.00
Ah 8d 2c,7s7h,0.795,44.07,0.62581,5.91637,17.93,2.92,73.38,0.14,8.69,0.00
