Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 39%,RAISE 39 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2c,5c4c,0.272,30.89,5.3594,72.2846,18.49,-2.84,81.42,7.23,0.09,0.00
Ah 8d 2c,6c5c,0.127,20.83,-0.84083,-16.8202,6.88,-12.19,0.25,-1.04,92.87,0.00
Ah 8d 2c,7c6c,0.294,22.59,-8.93446,-164.768,70.73,-12.63,0.29,-0.57,28.98,0.00
Ah 8d 2c,8c7c,0.451,53.50,8.40605,65.4641,38.35,9.63,61.56,7.66,0.08,0.00
Ah 8d 2c,9c8c,0.642,54.69,7.74785,59.0296,0.49,10.48,99.43,7.74,0.08,0.00
Ah 8d 2c,Tc8c,0.569,55.63,7.17708,53.7566,0.20,9.79,99.71,7.18,0.09,0.00
Ah 8d 2c,Tc9c,0.472,23.64,-0.10332,-1.82124,0.86,-11.92,0.20,-0.37,98.94,0.00
Ah 8d 2c,Jc9c,0.265,24.87,-0.20682,-3.46535,1.75,-11.80,8.85,-0.01,89.40,0.00
Ah 8d 2c,JcTc,0.228,27.48,-0.12041,-1.82542,0.91,-12.44,53.17,-0.01,45.92,0.00
Ah 8d 2c,Qc9c,0.296,29.21,-0.30592,-4.36389,2.59,-11.78,0.30,-0.23,97.11,0.00
Ah 8d 2c,QcTc,0.327,32.30,-0.17465,-2.25314,1.41,-12.21,25.54,-0.01,73.04,0.00
Ah 8d 2c,QcJc,0.175,36.11,0.92601,10.6849,0.29,-9.82,98.45,0.97,1.26,0.00
Ah 8d 2c,QcJd,0.863,33.21,-0.05927,-0.74366,0.49,-12.10,0.07,-0.32,99.44,0.00
Ah 8d 2c,QcJh,0.846,33.28,-0.06235,-0.78061,0.49,-12.71,0.07,-0.36,99.44,0.00
Ah 8d 2c,QcJs,0.872,33.35,-0.08042,-1.00456,0.62,-13.05,0.09,-0.05,99.29,0.00
Ah 8d 2c,Kc9c,0.634,35.10,-0.07267,-0.86251,0.59,-12.15,0.09,-0.79,99.32,0.00
Ah 8d 2c,KcTc,0.653,38.16,-0.05706,-0.62298,0.42,-13.14,0.81,-0.21,98.77,0.00
Ah 8d 2c,KcJc,0.360,40.74,0.40229,4.11458,0.26,-10.65,97.10,0.44,2.64,0.00
Ah 8d 2c,KcQc,0.717,41.88,0.39458,3.92562,1.46,-9.00,95.89,0.55,2.65,0.00
Ah 8d 2c,KcJd,0.982,37.97,-0.03629,-0.39823,0.27,-13.06,0.04,-0.97,99.68,0.00
