Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,15.66,1.47299,156.753,62.54,1.66,37.46,1.17
Ah 8d 2c,7c6c,1.000,15.90,1.48883,156.014,56.33,1.78,43.67,1.12
Ah 8d 2c,8c7c,1.000,42.97,3.17634,123.202,99.19,3.18,0.81,3.05
Ah 8d 2c,9c8c,1.000,44.32,3.24506,122.02,99.00,3.25,1.00,3.06
Ah 8d 2c,Tc8c,1.000,44.25,2.99837,112.927,43.71,3.21,56.29,2.84
Ah 8d 2c,Tc9c,1.000,16.76,1.45411,144.568,48.89,1.86,51.11,1.07
Ah 8d 2c,Jc8c,1.000,44.35,2.97222,111.696,34.59,3.21,65.41,2.84
Ah 8d 2c,Jc9c,1.000,16.12,1.32434,136.941,45.18,1.82,54.82,0.91
Ah 8d 2c,JcTc,1.000,18.50,1.82287,164.222,89.40,1.91,10.60,1.07
Ah 8d 2c,JcTd,1.000,14.54,0.84128,96.4272,26.31,1.60,73.69,0.57
Ah 8d 2c,JcTh,1.000,14.55,1.21236,138.918,57.45,1.67,42.55,0.59
Ah 8d 2c,JcTs,1.000,14.41,0.67572,78.1798,15.48,1.45,84.52,0.53
Ah 8d 2c,Qc8c,1.000,44.21,2.84181,107.124,24.04,3.05,75.96,2.78
Ah 8d 2c,Qc9c,1.000,16.14,0.78084,80.6477,11.50,1.47,88.50,0.69
Ah 8d 2c,QcTc,1.000,18.62,1.56173,139.784,81.97,1.72,18.03,0.86
Ah 8d 2c,QcJc,1.000,21.12,1.73849,137.218,88.27,1.84,11.73,0.95
Ah 8d 2c,QcTd,1.000,14.69,0.42256,47.9559,4.71,1.33,95.29,0.38
Ah 8d 2c,QcJd,1.000,17.27,0.57282,55.2878,10.47,1.54,89.53,0.46
Ah 8d 2c,QcTh,1.000,14.72,0.52593,59.5498,14.13,1.39,85.87,0.38
Ah 8d 2c,QcJh,1.000,17.31,0.79176,76.2231,28.21,1.61,71.79,0.47
Ah 8d 2c,QcTs,1.000,14.37,0.38767,44.9604,3.28,1.10,96.72,0.36
Ah 8d 2c,QcJs,1.000,16.99,0.49267,48.323,6.03,1.33,93.97,0.44
Ah 8d 2c,Kc8c,1.000,43.97,3.03289,114.969,98.07,3.03,1.93,2.96
Ah 8d 2c,Kc9c,1.000,18.91,0.74135,65.3561,2.68,1.01,97.32,0.73
Ah 8d 2c,KcTc,1.000,21.39,1.05936,82.5562,54.24,1.28,45.76,0.80
Ah 8d 2c,KcJc,1.000,23.91,1.31099,91.3978,73.75,1.47,26.25,0.87
Ah 8d 2c,KcQc,1.000,28.99,1.03228,59.3536,15.64,1.11,84.36,1.02
Ah 8d 2c,KcTd,1.000,17.55,0.33579,31.8983,2.28,0.95,97.72,0.32
Ah 8d 2c,KcJd,1.000,20.17,0.41869,34.5907,4.11,1.16,95.89,0.39
Ah 8d 2c,KcQd,1.000,25.81,0.58749,37.9413,1.72,0.82,98.28,0.58
Ah 8d 2c,KcTh,1.000,17.62,0.34928,33.0304,4.21,0.91,95.79,0.32
Ah 8d 2c,KcJh,1.000,20.26,0.44067,36.2485,7.54,1.08,92.46,0.39
Ah 8d 2c,KcQh,1.000,25.92,0.59055,37.9786,2.50,0.84,97.50,0.58
Ah 8d 2c,KcTs,1.000,17.12,0.32311,31.4543,3.89,0.56,96.11,0.31
Ah 8d 2c,KcJs,1.000,19.83,0.39602,33.289,4.65,0.80,95.35,0.38
Ah 8d 2c,KcQs,1.000,25.46,0.57231,37.4606,2.99,0.71,97.01,0.57
Ah 8d 2c,Ac3c,1.000,69.81,4.44685,106.166,47.99,3.95,52.01,4.91
Ah 8d 2c,Ac4c,1.000,69.81,4.46267,106.543,47.29,3.96,52.71,4.91
Ah 8d 2c,Ac5c,1.000,69.81,4.44035,106.011,48.62,3.95,51.38,4.91
Ah 8d 2c,Ac6c,1.000,68.91,4.47187,108.156,27.06,3.93,72.94,4.67
Ah 8d 2c,Ac7c,1.000,68.87,4.56117,110.375,14.78,3.92,85.22,4.67
Ah 8d 2c,Ac8c,1.000,90.93,10.1449,185.954,97.87,10.13,2.13,10.77
Ah 8d 2c,Ac9c,1.000,69.11,4.59717,110.869,11.77,3.80,88.23,4.70
Ah 8d 2c,AcTc,1.000,71.66,4.94741,115.06,8.03,4.03,91.97,5.03
Ah 8d 2c,AcJc,1.000,77.36,5.71296,123.079,27.88,4.96,72.12,6.00
Ah 8d 2c,AcQc,1.000,82.62,6.9863,140.937,26.12,6.23,73.88,7.26
Ah 8d 2c,AcKc,1.000,87.98,8.67611,164.357,47.89,8.33,52.11,8.99
Ah 8d 2c,Ac9d,1.000,67.44,4.03608,99.739,30.47,3.44,69.53,4.30
Ah 8d 2c,AcTd,1.000,70.28,4.61457,109.438,6.72,3.74,93.28,4.68
Ah 8d 2c,AcJd,1.000,76.27,5.36611,117.257,32.83,4.68,67.17,5.70
Ah 8d 2c,AcQd,1.000,81.79,6.67294,135.977,32.32,5.98,67.68,7.00
Ah 8d 2c,AcKd,1.000,87.41,8.41307,160.421,59.43,8.15,40.57,8.80
Ah 8d 2c,Ac9h,1.000,67.42,4.02988,99.623,30.44,3.45,69.56,4.29
Ah 8d 2c,AcTh,1.000,70.28,4.62672,109.724,4.16,3.76,95.84,4.66
Ah 8d 2c,AcJh,1.000,76.27,5.42626,118.576,26.10,4.69,73.90,5.69
Ah 8d 2c,AcQh,1.000,81.78,6.7208,136.964,26.22,5.98,73.78,6.98
Ah 8d 2c,AcKh,1.000,87.37,8.45592,161.312,48.45,8.14,51.55,8.76
Ah 8d 2c,Ac9s,1.000,67.36,4.07258,100.762,24.00,3.44,76.00,4.27
Ah 8d 2c,AcTs,1.000,69.95,4.25396,101.364,40.48,3.68,59.52,4.64
Ah 8d 2c,AcJs,1.000,76.00,5.15203,112.987,50.99,4.64,49.01,5.69
Ah 8d 2c,AcQs,1.000,81.53,6.53682,133.629,43.87,5.94,56.13,7.00
Ah 8d 2c,AcKs,1.000,87.20,8.24512,157.588,69.76,8.00,30.24,8.81
Ah 8d 2c,3d3c,1.000,28.29,1.50919,88.9202,74.74,1.57,25.26,1.33
Ah 8d 2c,4d4c,1.000,28.29,1.51782,89.4289,77.31,1.57,22.69,1.34
Ah 8d 2c,5d5c,1.000,28.29,1.50332,88.5746,74.54,1.56,25.46,1.33
Ah 8d 2c,6d6c,1.000,28.06,1.28108,76.1005,12.99,2.22,87.01,1.14
Ah 8d 2c,6d5d,1.000,15.67,1.48237,157.645,66.48,1.63,33.52,1.19
Ah 8d 2c,7d7c,1.000,31.57,1.37776,72.7307,12.00,2.15,88.00,1.27
Ah 8d 2c,7d6d,1.000,15.93,1.49056,155.922,54.88,1.77,45.12,1.15
Ah 8d 2c,9d9c,1.000,36.15,1.7841,82.255,26.26,2.29,73.74,1.60
Ah 8d 2c,TdTc,1.000,41.68,2.181,87.2042,31.93,2.56,68.07,2.00
Ah 8d 2c,Td9d,1.000,16.78,1.51636,150.587,51.24,1.92,48.76,1.09
Ah 8d 2c,JdTc,1.000,14.54,0.82934,95.0648,25.36,1.60,74.64,0.57
Ah 8d 2c,JdJc,1.000,47.85,2.79241,97.2677,54.20,3.02,45.80,2.52
Ah 8d 2c,Jd9d,1.000,16.13,1.37018,141.574,43.66,1.94,56.34,0.93
Ah 8d 2c,JdTd,1.000,18.52,1.82602,164.33,87.23,1.93,12.77,1.08
