Flop,Hand,Weight IP,IP Equity,IP EV,IP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2c,6c5c,1.000,15.66,1.26974,135.123,62.54,1.33,37.46,1.17
Ah 8d 2c,7c6c,1.000,15.90,0.70159,73.5195,56.33,0.38,43.67,1.12
Ah 8d 2c,8c7c,1.000,42.97,4.2988,166.739,99.19,4.31,0.81,3.05
Ah 8d 2c,9c8c,1.000,44.32,4.47716,168.35,99.00,4.49,1.00,3.06
Ah 8d 2c,Tc8c,1.000,44.25,3.26733,123.057,43.71,3.82,56.29,2.84
Ah 8d 2c,Tc9c,1.000,16.76,1.15108,114.441,48.89,1.24,51.11,1.07
Ah 8d 2c,Jc8c,1.000,44.35,3.27806,123.19,34.59,4.10,65.41,2.84
Ah 8d 2c,Jc9c,1.000,16.12,0.19863,20.5392,45.18,-0.67,54.82,0.91
Ah 8d 2c,JcTc,1.000,18.50,-0.03967,-3.57408,89.40,-0.17,10.60,1.07
Ah 8d 2c,JcTd,1.000,14.54,0.12309,14.1087,26.31,-1.13,73.69,0.57
Ah 8d 2c,JcTh,1.000,14.55,-0.39189,-44.9045,57.45,-1.12,42.55,0.59
Ah 8d 2c,JcTs,1.000,14.41,0.27163,31.4273,15.48,-1.16,84.52,0.53
Ah 8d 2c,Qc8c,1.000,44.21,3.00662,113.337,24.04,3.73,75.96,2.78
Ah 8d 2c,Qc9c,1.000,16.14,0.50538,52.1975,11.50,-0.92,88.50,0.69
Ah 8d 2c,QcTc,1.000,18.62,-0.44721,-40.0277,81.97,-0.74,18.03,0.86
Ah 8d 2c,QcJc,1.000,21.12,-0.39609,-31.2634,88.27,-0.58,11.73,0.95
Ah 8d 2c,QcTd,1.000,14.69,0.30048,34.1013,4.71,-1.26,95.29,0.38
Ah 8d 2c,QcJd,1.000,17.27,0.28768,27.7664,10.47,-1.19,89.53,0.46
Ah 8d 2c,QcTh,1.000,14.72,0.15485,17.5338,14.13,-1.23,85.87,0.38
Ah 8d 2c,QcJh,1.000,17.31,0.00317,0.30475,28.21,-1.18,71.79,0.47
Ah 8d 2c,QcTs,1.000,14.37,0.30886,35.8202,3.28,-1.30,96.72,0.36
Ah 8d 2c,QcJs,1.000,16.99,0.34015,33.3628,6.03,-1.20,93.97,0.44
Ah 8d 2c,Kc8c,1.000,43.97,3.77017,142.918,98.07,3.79,1.93,2.96
Ah 8d 2c,Kc9c,1.000,18.91,0.69128,60.9422,2.68,-0.86,97.32,0.73
Ah 8d 2c,KcTc,1.000,21.39,-0.06899,-5.37668,54.24,-0.80,45.76,0.80
Ah 8d 2c,KcJc,1.000,23.91,-0.31638,-22.0566,73.75,-0.74,26.25,0.87
Ah 8d 2c,KcQc,1.000,28.99,0.78013,44.856,15.64,-0.51,84.36,1.02
Ah 8d 2c,KcTd,1.000,17.55,0.28431,27.0076,2.28,-1.31,97.72,0.32
Ah 8d 2c,KcJd,1.000,20.17,0.32126,26.5411,4.11,-1.21,95.89,0.39
Ah 8d 2c,KcQd,1.000,25.81,0.55577,35.893,1.72,-1.02,98.28,0.58
Ah 8d 2c,KcTh,1.000,17.62,0.25764,24.3641,4.21,-1.27,95.79,0.32
Ah 8d 2c,KcJh,1.000,20.26,0.26626,21.9018,7.54,-1.23,92.46,0.39
Ah 8d 2c,KcQh,1.000,25.92,0.54426,35.0019,2.50,-1.01,97.50,0.58
Ah 8d 2c,KcTs,1.000,17.12,0.24932,24.2713,3.89,-1.34,96.11,0.31
Ah 8d 2c,KcJs,1.000,19.83,0.30101,25.3024,4.65,-1.24,95.35,0.38
Ah 8d 2c,KcQs,1.000,25.46,0.52145,34.1314,2.99,-0.99,97.01,0.57
Ah 8d 2c,Ac3c,1.000,69.81,5.9019,140.904,47.99,6.98,52.01,4.91
Ah 8d 2c,Ac4c,1.000,69.81,5.88743,140.559,47.29,6.97,52.71,4.91
Ah 8d 2c,Ac5c,1.000,69.81,5.91416,141.197,48.62,6.98,51.38,4.91
Ah 8d 2c,Ac6c,1.000,68.91,4.83866,117.027,27.06,5.29,72.94,4.67
Ah 8d 2c,Ac7c,1.000,68.87,4.74715,114.876,14.78,5.18,85.22,4.67
Ah 8d 2c,Ac8c,1.000,90.93,13.0757,239.675,97.87,13.13,2.13,10.77
Ah 8d 2c,Ac9c,1.000,69.11,4.76553,114.93,11.77,5.23,88.23,4.70
Ah 8d 2c,AcTc,1.000,71.66,5.10078,118.627,8.03,5.94,91.97,5.03
Ah 8d 2c,AcJc,1.000,77.36,6.50005,140.036,27.88,7.79,72.12,6.00
Ah 8d 2c,AcQc,1.000,82.62,7.78914,157.133,26.12,9.30,73.88,7.26
