Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,BET 2%,BET 2 EV,CHECK%,CHECK EV
Ah 8d 2s,6c5c,1.000,15.47,0.33558,36.157,20.13,-0.97,79.87,0.67
Ah 8d 2s,7c5c,1.000,16.19,0.4434,45.6495,12.94,-1.00,87.06,0.66
Ah 8d 2s,7c6c,1.000,16.19,0.22722,23.3889,23.18,-1.07,76.82,0.62
Ah 8d 2s,8c6c,1.000,48.81,2.03212,69.3893,54.23,2.19,45.77,1.84
Ah 8d 2s,8c7c,1.000,49.13,2.22272,75.4022,52.45,2.55,47.55,1.86
Ah 8d 2s,9c6c,1.000,15.44,0.43427,46.8818,3.69,-1.16,96.31,0.50
Ah 8d 2s,9c7c,1.000,17.11,-0.22488,-21.9063,47.59,-1.12,52.41,0.59
Ah 8d 2s,9c8c,1.000,50.46,1.91168,63.1389,38.53,1.92,61.47,1.91
Ah 8d 2s,9c8h,1.000,50.55,2.15728,71.122,39.23,2.51,60.77,1.93
Ah 8d 2s,9c8s,1.000,50.57,2.1166,69.7618,42.26,2.36,57.74,1.94
Ah 8d 2s,Tc7c,1.000,14.77,0.38522,43.4643,2.05,-1.28,97.95,0.42
Ah 8d 2s,Tc8c,1.000,51.01,1.72341,56.3136,22.48,1.01,77.52,1.93
Ah 8d 2s,Tc9c,1.000,17.09,0.18734,18.2704,18.79,-1.16,81.21,0.50
Ah 8d 2s,Tc9d,1.000,17.04,0.16251,15.8973,21.22,-1.16,78.78,0.52
Ah 8d 2s,Tc8h,1.000,51.11,1.68474,54.9356,22.88,0.79,77.12,1.95
Ah 8d 2s,Tc9h,1.000,17.05,-0.00631,-0.61623,31.28,-1.17,68.72,0.52
Ah 8d 2s,Tc8s,1.000,51.13,1.66761,54.3594,24.36,0.78,75.64,1.95
Ah 8d 2s,Tc9s,1.000,17.05,0.02876,2.81076,29.19,-1.16,70.81,0.52
Ah 8d 2s,Jc7c,1.000,14.41,0.29235,33.8199,1.12,-1.44,98.88,0.31
Ah 8d 2s,Jc8c,1.000,51.15,1.6913,55.112,35.08,1.14,64.92,1.99
Ah 8d 2s,Jc9c,1.000,16.70,0.18241,18.207,11.92,-1.26,88.08,0.38
Ah 8d 2s,JcTc,1.000,18.97,-0.11272,-9.90175,37.13,-1.10,62.87,0.47
Ah 8d 2s,Jc9d,1.000,16.65,0.23889,23.9086,8.73,-1.34,91.27,0.39
Ah 8d 2s,JcTd,1.000,19.05,0.20102,17.5889,18.30,-1.08,81.70,0.49
Ah 8d 2s,Jc8h,1.000,51.26,1.61896,52.6352,32.61,0.81,67.39,2.01
Ah 8d 2s,Jc9h,1.000,16.67,0.08325,8.32268,17.80,-1.35,82.20,0.39
Ah 8d 2s,JcTh,1.000,19.07,0.03605,3.15032,28.87,-1.08,71.13,0.49
Ah 8d 2s,Jc8s,1.000,51.28,1.6007,52.0231,36.44,0.88,63.56,2.01
Ah 8d 2s,Jc9s,1.000,16.67,0.16392,16.3873,13.17,-1.34,86.83,0.39
Ah 8d 2s,JcTs,1.000,19.07,0.1467,12.8203,21.68,-1.08,78.32,0.49
Ah 8d 2s,Qc7c,1.000,16.96,0.25392,24.9602,0.64,-1.56,99.36,0.27
Ah 8d 2s,Qc8c,1.000,51.56,1.85247,59.8768,40.38,1.51,59.62,2.08
Ah 8d 2s,Qc9c,1.000,19.19,0.28829,25.0411,1.32,-1.44,98.68,0.31
Ah 8d 2s,QcTc,1.000,21.59,0.34562,26.6805,2.28,-1.23,97.72,0.38
Ah 8d 2s,QcJc,1.000,24.79,0.33189,22.3139,3.96,-1.16,96.04,0.39
Ah 8d 2s,Qc9d,1.000,19.15,0.29151,25.3728,1.35,-1.46,98.65,0.32
Ah 8d 2s,QcTd,1.000,21.66,0.35767,27.52,2.25,-1.24,97.75,0.39
Ah 8d 2s,QcJd,1.000,24.85,0.35595,23.8749,3.23,-1.18,96.77,0.41
Ah 8d 2s,Qc8h,1.000,51.69,1.81852,58.6343,47.20,1.50,52.80,2.10
Ah 8d 2s,Qc9h,1.000,19.18,0.2918,25.3532,1.48,-1.46,98.52,0.32
Ah 8d 2s,QcTh,1.000,21.70,0.35538,27.2952,2.49,-1.24,97.51,0.40
Ah 8d 2s,QcJh,1.000,24.98,0.3332,22.2335,5.02,-1.16,94.98,0.41
Ah 8d 2s,Qc8s,1.000,51.71,1.82,58.6576,45.16,1.47,54.84,2.11
Ah 8d 2s,Qc9s,1.000,19.18,0.29157,25.3336,1.47,-1.46,98.53,0.32
Ah 8d 2s,QcTs,1.000,21.70,0.35472,27.2451,2.45,-1.24,97.55,0.39
Ah 8d 2s,QcJs,1.000,24.90,0.35151,23.5304,3.55,-1.17,96.45,0.41
Ah 8d 2s,Kc2c,1.000,43.82,1.74765,66.4753,15.35,1.60,84.65,1.77
Ah 8d 2s,Kc3c,1.000,25.37,0.3088,20.2886,0.96,-1.39,99.04,0.33
Ah 8d 2s,Kc4c,1.000,25.39,0.31992,21.0012,1.10,-1.37,98.90,0.34
Ah 8d 2s,Kc5c,1.000,25.52,0.30545,19.9461,0.80,-1.41,99.20,0.32
Ah 8d 2s,Kc6c,1.000,24.82,0.21367,14.3494,0.58,-1.52,99.42,0.22
Ah 8d 2s,Kc7c,1.000,25.76,0.20007,12.9427,0.58,-1.60,99.42,0.21
Ah 8d 2s,Kc8c,1.000,51.86,2.03151,65.2909,16.34,1.43,83.66,2.15
Ah 8d 2s,Kc9c,1.000,27.82,0.22822,13.6732,0.72,-1.55,99.28,0.24
Ah 8d 2s,KcTc,1.000,30.58,0.31414,17.1231,0.78,-1.37,99.22,0.33
Ah 8d 2s,KcJc,1.000,33.75,0.47547,23.4784,0.52,-1.17,99.48,0.48
Ah 8d 2s,KcQc,1.000,36.88,0.65533,29.6183,0.29,-1.07,99.71,0.66
Ah 8d 2s,Kc7d,1.000,25.70,0.20295,13.1601,0.53,-1.61,99.47,0.21
Ah 8d 2s,Kc9d,1.000,27.78,0.23109,13.8617,0.78,-1.55,99.22,0.25
Ah 8d 2s,KcTd,1.000,30.62,0.32384,17.6251,0.77,-1.37,99.23,0.34
Ah 8d 2s,KcJd,1.000,33.79,0.48493,23.9216,0.51,-1.18,99.49,0.49
Ah 8d 2s,KcQd,1.000,36.90,0.66286,29.94,0.29,-1.05,99.71,0.67
Ah 8d 2s,Kc7h,1.000,25.75,0.20468,13.2456,0.55,-1.61,99.45,0.21
Ah 8d 2s,Kc8h,1.000,52.00,2.02097,64.7722,20.86,1.45,79.14,2.17
Ah 8d 2s,Kc9h,1.000,27.86,0.2319,13.8744,0.83,-1.54,99.17,0.25
Ah 8d 2s,KcTh,1.000,30.70,0.32556,17.6729,0.79,-1.37,99.21,0.34
Ah 8d 2s,KcJh,1.000,34.00,0.48926,23.9849,0.58,-1.17,99.42,0.50
Ah 8d 2s,KcQh,1.000,37.00,0.66514,29.9608,0.29,-1.05,99.71,0.67
Ah 8d 2s,Kc7s,1.000,25.75,0.20366,13.18,0.53,-1.61,99.47,0.21
Ah 8d 2s,Kc8s,1.000,52.03,2.01499,64.5491,22.41,1.45,77.59,2.18
Ah 8d 2s,Kc9s,1.000,27.86,0.23173,13.8642,0.82,-1.55,99.18,0.25
Ah 8d 2s,KcTs,1.000,30.70,0.32447,17.614,0.79,-1.37,99.21,0.34
Ah 8d 2s,KcJs,1.000,33.88,0.48627,23.9237,0.53,-1.18,99.47,0.50
Ah 8d 2s,KcQs,1.000,37.00,0.66453,29.9334,0.29,-1.05,99.71,0.67
Ah 8d 2s,Ac2c,1.000,86.12,8.16084,157.935,16.34,10.23,83.66,7.76
Ah 8d 2s,Ac3c,1.000,73.67,4.89328,110.7,21.64,6.06,78.36,4.57
Ah 8d 2s,Ac4c,1.000,73.78,5.07916,114.733,31.27,6.12,68.73,4.61
Ah 8d 2s,Ac5c,1.000,74.40,4.9815,111.588,25.58,5.91,74.42,4.66
Ah 8d 2s,Ac6c,1.000,74.88,4.78553,106.515,10.47,5.54,89.53,4.70
Ah 8d 2s,Ac7c,1.000,76.65,5.16137,112.23,9.87,6.14,90.13,5.05
Ah 8d 2s,Ac8c,1.000,93.04,12.3501,221.225,53.59,13.42,46.41,11.11
Ah 8d 2s,Ac9c,1.000,81.01,6.98282,143.661,51.07,7.91,48.93,6.01
Ah 8d 2s,AcTc,1.000,83.04,6.97886,140.063,25.08,8.32,74.92,6.53
Ah 8d 2s,AcJc,1.000,85.29,7.65587,149.606,28.80,8.85,71.20,7.17
Ah 8d 2s,AcQc,1.000,86.12,8.28082,160.251,37.61,9.51,62.39,7.54
Ah 8d 2s,AcKc,1.000,86.28,8.33117,160.928,43.20,9.10,56.80,7.75
