Flop,Hand,Weight OOP,OOP Equity,OOP EV,OOP EQR,RAISE 9%,RAISE 9 EV,CALL%,CALL EV,FOLD%,FOLD EV
Ah 8d 2s,6c5c,0.799,15.46,-0.01233,-1.32945,0.43,-2.84,0.02,-0.26,99.54,0.00
Ah 8d 2s,7c5c,0.871,16.62,-0.01465,-1.4694,0.51,-2.84,0.03,-0.22,99.46,0.00
Ah 8d 2s,7c6c,0.768,16.81,-0.01447,-1.435,0.51,-2.83,0.03,-0.19,99.46,0.00
Ah 8d 2s,8c6c,0.458,48.63,2.10708,72.2179,78.39,2.45,21.41,0.86,0.21,0.00
Ah 8d 2s,8c7c,0.476,49.17,2.1299,72.2021,69.23,2.70,30.56,0.85,0.21,0.00
Ah 8d 2s,9c6c,0.963,16.17,-0.01015,-1.04631,0.34,-3.01,0.02,-0.23,99.65,0.00
Ah 8d 2s,9c7c,0.524,17.94,-0.03638,-3.379,1.38,-2.64,12.34,0.00,86.28,0.00
Ah 8d 2s,9c8c,0.615,49.97,0.93871,31.3102,7.69,2.80,92.08,0.79,0.22,0.00
Ah 8d 2s,9c8h,0.608,50.24,0.64324,21.3369,34.34,0.32,65.44,0.82,0.22,0.00
Ah 8d 2s,9c8s,0.577,50.23,0.9282,30.8011,20.92,1.34,78.87,0.82,0.22,0.00
Ah 8d 2s,Tc7c,0.979,15.22,-0.00681,-0.74598,0.22,-3.12,0.01,-0.25,99.77,0.00
Ah 8d 2s,Tc8c,0.775,50.48,0.80912,26.7127,1.14,1.74,98.65,0.80,0.21,0.00
Ah 8d 2s,Tc9c,0.812,17.49,-0.01497,-1.42646,0.57,-2.55,18.64,0.00,80.78,0.00
Ah 8d 2s,Tc9d,0.788,17.48,-0.0111,-1.05871,0.43,-2.57,0.14,-0.04,99.43,0.00
Ah 8d 2s,Tc8h,0.771,50.68,0.68802,22.6269,6.51,-1.14,93.28,0.82,0.21,0.00
Ah 8d 2s,Tc9h,0.687,17.43,-0.01078,-1.03043,0.41,-2.59,0.13,-0.04,99.45,0.00
Ah 8d 2s,Tc8s,0.756,50.69,0.7976,26.2262,2.11,-0.22,97.68,0.82,0.20,0.00
Ah 8d 2s,Tc9s,0.708,17.47,-0.01164,-1.11068,0.46,-2.53,0.15,-0.03,99.39,0.00
Ah 8d 2s,Jc7c,0.989,15.08,-0.00531,-0.58715,0.15,-3.62,0.01,-0.44,99.85,0.00
Ah 8d 2s,Jc8c,0.649,50.80,0.9123,29.9301,2.04,2.20,97.77,0.89,0.19,0.00
Ah 8d 2s,Jc9c,0.881,17.40,-0.00842,-0.80669,0.29,-2.93,0.02,-0.07,99.70,0.00
Ah 8d 2s,JcTc,0.629,20.24,-0.00779,-0.64108,0.31,-2.47,50.73,0.00,48.95,0.00
Ah 8d 2s,Jc9d,0.913,17.25,-0.00722,-0.69735,0.25,-2.92,0.01,-0.12,99.74,0.00
Ah 8d 2s,JcTd,0.817,20.07,-0.00829,-0.68801,0.32,-2.55,0.14,-0.05,99.54,0.00
Ah 8d 2s,Jc8h,0.674,50.86,0.82066,26.892,3.75,-0.85,96.06,0.89,0.19,0.00
Ah 8d 2s,Jc9h,0.822,17.17,-0.00712,-0.69174,0.24,-2.95,0.01,-0.12,99.75,0.00
Ah 8d 2s,JcTh,0.711,19.96,-0.0085,-0.70936,0.32,-2.63,0.14,-0.07,99.54,0.00
Ah 8d 2s,Jc8s,0.636,50.89,0.87949,28.8014,2.71,0.42,97.10,0.89,0.19,0.00
Ah 8d 2s,Jc9s,0.868,17.21,-0.00736,-0.71271,0.25,-2.90,0.01,-0.10,99.73,0.00
Ah 8d 2s,JcTs,0.783,20.06,-0.00856,-0.71108,0.34,-2.51,0.15,-0.06,99.51,0.00
Ah 8d 2s,Qc7c,0.994,19.25,-0.00461,-0.39885,0.12,-3.91,0.01,-0.57,99.88,0.00
Ah 8d 2s,Qc8c,0.596,51.21,1.34497,43.776,17.51,2.89,82.32,1.02,0.18,0.00
Ah 8d 2s,Qc9c,0.987,21.67,-0.00552,-0.42458,0.16,-3.49,0.01,-0.33,99.83,0.00
Ah 8d 2s,QcTc,0.977,24.90,-0.0053,-0.35467,0.17,-3.05,0.03,-0.09,99.79,0.00
Ah 8d 2s,QcJc,0.960,29.54,-0.00512,-0.28911,0.17,-2.95,0.10,-0.01,99.73,0.00
Ah 8d 2s,Qc9d,0.987,21.40,-0.00506,-0.39413,0.14,-3.47,0.01,-0.36,99.85,0.00
Ah 8d 2s,QcTd,0.978,24.41,-0.00541,-0.36901,0.17,-3.07,0.04,-0.19,99.79,0.00
Ah 8d 2s,QcJd,0.968,29.09,-0.00493,-0.28238,0.17,-2.90,0.10,-0.14,99.74,0.00
Ah 8d 2s,Qc8h,0.528,51.18,1.06078,34.5434,6.24,1.88,93.59,1.01,0.17,0.00
Ah 8d 2s,Qc9h,0.985,21.34,-0.00502,-0.39189,0.14,-3.50,0.01,-0.37,99.85,0.00
Ah 8d 2s,QcTh,0.975,24.26,-0.00545,-0.37433,0.17,-3.08,0.04,-0.21,99.79,0.00
Ah 8d 2s,QcJh,0.950,29.31,-0.00557,-0.31681,0.18,-3.04,0.11,-0.10,99.71,0.00
Ah 8d 2s,Qc8s,0.548,51.23,1.09722,35.6971,5.39,2.50,94.44,1.02,0.17,0.00
